Year,Team_Name,Games_injured
2004,fc-chelsea,463
2004,manchester-united,728
2004,fc-arsenal,618
2004,fc-liverpool,680
2004,tottenham-hotspur,539
2004,newcastle-united,424
2004,birmingham-city,584
2004,manchester-city,622
2004,fc-middlesbrough,434
2004,fc-southampton,727
2004,aston-villa,364
2004,fc-everton,281
2004,blackburn-rovers,630
2004,fc-fulham,622
2004,bolton-wanderers,364
2004,fc-portsmouth,512
2004,charlton-athletic,345
2004,west-bromwich-albion,435
2004,crystal-palace,608
2004,norwich-city,400
2005,fc-chelsea,412
2005,manchester-united,533
2005,fc-arsenal,558
2005,fc-liverpool,475
2005,tottenham-hotspur,388
2005,newcastle-united,382
2005,fc-middlesbrough,599
2005,fc-everton,402
2005,manchester-city,443
2005,aston-villa,502
2005,fc-portsmouth,500
2005,charlton-athletic,641
2005,birmingham-city,547
2005,fc-fulham,494
2005,west-bromwich-albion,454
2005,blackburn-rovers,369
2005,west-ham-united,378
2005,bolton-wanderers,362
2005,wigan-athletic,414
2005,afc-sunderland,445
2006,fc-chelsea,512
2006,fc-arsenal,590
2006,manchester-united,475
2006,fc-liverpool,520
2006,tottenham-hotspur,700
2006,newcastle-united,566
2006,aston-villa,481
2006,fc-everton,410
2006,west-ham-united,525
2006,fc-portsmouth,359
2006,fc-middlesbrough,602
2006,manchester-city,524
2006,fc-fulham,548
2006,blackburn-rovers,449
2006,wigan-athletic,440
2006,bolton-wanderers,527
2006,charlton-athletic,555
2006,sheffield-united,689
2006,fc-watford,705
2006,fc-reading,513
2007,fc-chelsea,432
2007,manchester-united,493
2007,fc-liverpool,597
2007,fc-arsenal,487
2007,tottenham-hotspur,570
2007,fc-everton,407
2007,manchester-city,390
2007,fc-portsmouth,403
2007,newcastle-united,376
2007,fc-middlesbrough,482
2007,west-ham-united,622
2007,aston-villa,264
2007,bolton-wanderers,525
2007,fc-fulham,591
2007,blackburn-rovers,640
2007,afc-sunderland,715
2007,birmingham-city,363
2007,wigan-athletic,457
2007,fc-reading,555
2007,derby-county,480
2008,fc-chelsea,393
2008,manchester-united,635
2008,fc-liverpool,369
2008,fc-arsenal,575
2008,tottenham-hotspur,469
2008,manchester-city,537
2008,fc-everton,408
2008,aston-villa,256
2008,fc-portsmouth,397
2008,newcastle-united,545
2008,west-ham-united,473
2008,afc-sunderland,578
2008,wigan-athletic,288
2008,blackburn-rovers,328
2008,fc-middlesbrough,427
2008,fc-fulham,349
