Team_Name,Player_Name,Position,Games_injured
Arsenal,Aaron Ramsdale,GK,0
Arsenal,Matt Turner,GK,1
Arsenal,Karl Hein,GK,33
Arsenal,James Hillson,GK,23
Arsenal,William Saliba,CB,11
Arsenal,Gabriel Magalhães,CB,0
Arsenal,Jakub Kiwior,CB,1
Arsenal,Auston Trusty,CB,0
Arsenal,Rob Holding,CB,0
Arsenal,Oleksandr Zinchenko,LB,11
Arsenal,Kieran Tierney,LB,0
Arsenal,Lino Sousa,LB,13
Arsenal,Ben White,RB,0
Arsenal,Takehiro Tomiyasu,RB,14
Arsenal,Reuell Walters,RB,14
Arsenal,Cédric Soares,RB,7
Arsenal,Thomas Partey,DM,5
Arsenal,Granit Xhaka,DM,1
Arsenal,Jorginho,DM,0
Arsenal,Mohamed Elneny,DM,29
Arsenal,Bradley Ibrahim,DM,16
Arsenal,Albert Sambi Lokonga,CM,1
Arsenal,Cătălin Cîrjan,CM,17
Arsenal,Matt Smith,CM,15
Arsenal,Mauro Bandeira,CM,13
Arsenal,Ainsley Maitland-Niles,RM,5
Arsenal,Martin Ødegaard,AM,1
Arsenal,Fábio Vieira,AM,2
Arsenal,Emile Smith Rowe,AM,15
Arsenal,Ethan Nwaneri,AM,9
Arsenal,Gabriel Martinelli,LW,2
Arsenal,Leandro Trossard,LW,0
Arsenal,Charles Sagoe Jr,LW,11
Arsenal,Bukayo Saka,RW,0
Arsenal,Reiss Nelson,RW,16
Arsenal,Nicolas Pépé,RW,1
Arsenal,Marquinhos,RW,0
Arsenal,Amario Cozier-Duberry,RW,9
Arsenal,Gabriel Jesus,CF,12
Arsenal,Eddie Nketiah,CF,5
Arsenal,Khayon Edwards,CF,24
Arsenal,Nathan Butler-Oyedeji,CF,4
Manchester City,Ederson,GK,0
Manchester City,Stefan Ortega,GK,0
Manchester City,Zack Steffen,GK,0
Manchester City,Scott Carson,GK,33
Manchester City,Rúben Dias,CB,6
Manchester City,Manuel Akanji,CB,3
Manchester City,Nathan Aké,CB,8
Manchester City,John Stones,CB,9
Manchester City,Aymeric Laporte,CB,11
Manchester City,Luke Mbete,CB,2
Manchester City,Sergio Gómez,LB,4
Manchester City,Josh Wilson-Esbrand,LB,4
Manchester City,Benjamin Mendy,LB,38
Manchester City,João Cancelo,RB,0
Manchester City,Rico Lewis,RB,0
Manchester City,Kyle Walker,RB,6
Manchester City,Rodri,DM,1
Manchester City,Kalvin Phillips,DM,11
Manchester City,Shea Charles,DM,7
Manchester City,Máximo Perrone,DM,9
Manchester City,Claudio Gomes,DM,3
Manchester City,İlkay Gündoğan,CM,0
Manchester City,Bernardo Silva,AM,0
Manchester City,Kevin De Bruyne,AM,3
Manchester City,Cole Palmer,AM,7
Manchester City,Alex Robertson,AM,15
Manchester City,Nico O'Reilly,AM,15
Manchester City,Jack Grealish,LW,5
Manchester City,Phil Foden,RW,5
Manchester City,Riyad Mahrez,RW,0
Manchester City,Ben Knight,RW,23
Manchester City,Julián Álvarez,SS,1
Manchester City,Erling Haaland,CF,2
Manchester City,Liam Delap,CF,1
Manchester United,Dean Henderson,GK,0
Manchester United,David de Gea,GK,0
Manchester United,Matej Kovar,GK,5
Manchester United,Jack Butland,GK,9
Manchester United,Martin Dúbravka,GK,8
Manchester United,Nathan Bishop,GK,30
Manchester United,Radek Vitek,GK,17
Manchester United,Tom Heaton,GK,15
Manchester United,Lisandro Martínez,CB,11
Manchester United,Raphaël Varane,CB,8
Manchester United,Harry Maguire,CB,7
Manchester United,Victor Lindelöf,CB,8
Manchester United,Teden Mengi,CB,29
Manchester United,Axel Tuanzebe,CB,20
Manchester United,Phil Jones,CB,38
Manchester United,Tyler Fredricson,CB,26
Manchester United,Rhys Bennett,CB,25
Manchester United,Luke Shaw,LB,3
Manchester United,Tyrell Malacia,LB,1
Manchester United,Álvaro Carreras,LB,0
Manchester United,Brandon Williams,LB,28
Manchester United,Diogo Dalot,RB,5
Manchester United,Aaron Wan-Bissaka,RB,12
Manchester United,Marc Jurado,RB,11
Manchester United,Casemiro,DM,1
Manchester United,Scott McTominay,DM,11
Manchester United,James Garner,DM,2
Manchester United,Marcel Sabitzer,CM,6
Manchester United,Fred,CM,0
Manchester United,Christian Eriksen,CM,9
Manchester United,Donny van de Beek,CM,27
Manchester United,Kobbie Mainoo,CM,17
Manchester United,Zidane Iqbal,CM,19
Manchester United,Bruno Fernandes,AM,0
Manchester United,Hannibal,AM,4
Manchester United,Shola Shoretire,AM,8
Manchester United,Marcus Rashford,LW,3
Manchester United,Alejandro Garnacho,LW,8
Manchester United,Jadon Sancho,LW,8
Manchester United,Anthony Elanga,LW,11
Manchester United,Antony,RW,9
Manchester United,Amad Diallo,RW,4
Manchester United,Facundo Pellistri,RW,15
Manchester United,Mason Greenwood,RW,38
Manchester United,Cristiano Ronaldo,CF,2
Manchester United,Anthony Martial,CF,17
Manchester United,Wout Weghorst,CF,1
Manchester United,Charlie McNeill,CF,4
Newcastle,Nick Pope,GK,1
Newcastle,Martin Dúbravka,GK,2
Newcastle,Loris Karius,GK,24
Newcastle,Karl Darlow,GK,13
Newcastle,Mark Gillespie,GK,36
Newcastle,Sven Botman,CB,0
Newcastle,Fabian Schär,CB,1
Newcastle,Jamaal Lascelles,CB,8
Newcastle,Paul Dummett,CB,22
Newcastle,Federico Fernández,CB,5
Newcastle,Ciaran Clark,CB,0
Newcastle,Kell Watts,CB,5
Newcastle,Dan Burn,LB,0
Newcastle,Matt Targett,LB,9
Newcastle,Jamal Lewis,LB,16
Newcastle,Kieran Trippier,RB,0
Newcastle,Emil Krafth,RB,37
Newcastle,Javier Manquillo,RB,10
Newcastle,Harrison Ashby,RB,13
Newcastle,Bruno Guimarães,DM,6
Newcastle,Isaac Hayden,DM,0
Newcastle,Joelinton,CM,2
Newcastle,Joe Willock,CM,3
Newcastle,Sean Longstaff,CM,5
Newcastle,Lewis Miley,CM,17
Newcastle,Jonjo Shelvey,CM,14
Newcastle,Matty Longstaff,CM,26
Newcastle,Jeff Hendrick,CM,0
Newcastle,Matt Ritchie,RM,13
Newcastle,Elliot Anderson,AM,4
Newcastle,Anthony Gordon,LW,2
Newcastle,Allan Saint-Maximin,LW,12
Newcastle,Ryan Fraser,LW,22
Newcastle,Miguel Almirón,RW,4
Newcastle,Jacob Murphy,RW,1
Newcastle,Alexander Isak,CF,13
Newcastle,Callum Wilson,CF,6
Newcastle,Chris Wood,CF,0
liverpool,Alisson,GK,1
liverpool,Caoimhín Kelleher,GK,8
liverpool,Adrián,GK,26
liverpool,Harvey Davies,GK,17
liverpool,Ibrahima Konaté,CB,17
liverpool,Virgil van Dijk,CB,5
liverpool,Joe Gomez,CB,5
liverpool,Joel Matip,CB,9
liverpool,Jarell Quansah,CB,4
liverpool,Sepp van den Berg,CB,0
liverpool,Nathaniel Phillips,CB,19
liverpool,Rhys Williams,CB,12
liverpool,Luke Chambers,CB,4
liverpool,Andrew Robertson,LB,3
liverpool,Konstantinos Tsimikas,LB,1
liverpool,Trent Alexander-Arnold,RB,0
liverpool,Calvin Ramsay,RB,32
liverpool,Fabinho,DM,2
liverpool,Arthur Melo,DM,25
liverpool,Stefan Bajcetic,DM,14
liverpool,Curtis Jones,CM,15
liverpool,Thiago,CM,20
liverpool,Jordan Henderson,CM,3
liverpool,Alex Oxlade-Chamberlain,CM,25
liverpool,Naby Keïta,CM,28
liverpool,James Milner,CM,4
liverpool,Bobby Clark,CM,10
liverpool,Jake Cain,CM,6
liverpool,Harvey Elliott,AM,1
liverpool,Fábio Carvalho,AM,7
liverpool,Luis Díaz,LW,21
liverpool,Diogo Jota,LW,16
liverpool,Cody Gakpo,LW,1
liverpool,Mohamed Salah,RW,0
liverpool,Ben Doak,RW,12
liverpool,Melkamu Frauendorf,RW,13
liverpool,Darwin Núñez,CF,6
liverpool,Roberto Firmino,CF,13
liverpool,Layton Stewart,CF,18
Brighton,Robert Sánchez,GK,5
Brighton,Jason Steele,GK,1
Brighton,Tom McGill,GK,28
Brighton,Levi Colwill,CB,9
Brighton,Adam Webster,CB,7
Brighton,Jan Paul van Hecke,CB,5
Brighton,Lewis Dunk,CB,0
Brighton,Antef Tsoungui,CB,22
Brighton,Ed Turns,CB,7
Brighton,Odel Offiah,CB,21
Brighton,Pervis Estupiñán,LB,0
Brighton,Haydon Roberts,LB,0
Brighton,James Furlong,LB,9
Brighton,Imari Samuels,LB,15
Brighton,Tariq Lamptey,RB,15
Brighton,Joël Veltman,RB,5
