Player,Cmp%,Launch%,Launch%,MP,MP,Gls,Gls,Gls,SoT%,Age,Age,Age,Age,Age,Age,Age,Age,Pass,Tkl,Tkl,PKwon,Fld,Fld,Fld,Sh/90,Def,Def,Stp,Opp,G/Sh,Err,Int,Int,Succ%,Lost,Lost,PKsv,Att (GK),PSxG+/-,Save%,Save%,Nation,Nation,Nation,Nation,Nation,Nation,Pos,Pos,Pos,Pos,Pos,Pos,SoT/90,Rec,Blocks,Tkld,W,CS%,Recov,xAG,xAG,Att 3rd,Att 3rd,SCA,#OPA/90,TklW,TklW,AvgLen,AvgLen,PKcon,PrgR,PrgR,PrgDist,npxG/Sh,Saves,FK,FK,D,Tkl+Int,Live,Min,Min,Clr,np:G-xG,npxG+xAG,npxG+xAG,Crs,Def 3rd,Def 3rd,npxG,npxG,npxG,Def Pen,PKA,PKA,Mis,OG,OG,SoTA,xG+xAG,PassLive,PassLive,PSxG/SoT,Won%,Thr,TO,TO,G-xG,xG,xG,xG,G-PK,G-PK,PrgP,AvgDist,Ast,Ast,/90,CK,GA90,G+A-PK,TotDist,Starts,Starts,2CrdY,CrdR,CrdR,Dis,Sh,Sh,Sh,Sh,PSxG,Won,Stp%,Att Pen,Tkl%,Mid 3rd,Mid 3rd,PK,PK,Tkld%,PrgC,PrgC,SCA90,#OPA,CrdY,CrdY,PKatt,PKatt,PKatt,GCA90,Touches,CS,Dist,Fls,Succ,SoT,Carries,Att,Att,Att,Att,Off,Cmp,CPA,GCA,G/SoT,GA,GA,90s,90s,90s,90s,90s,90s,90s,90s,G+A,G+A,PassDead,PassDead,PKm,1/3,L
James Tarkowski,,,,38,,1.0,0.03,1.0,28.1,29.0,,,29.0,29.0,29.0,29.0,29.0,21.0,51.0,20.0,0.0,0.0,0.0,23.0,0.84,1.0,0.0,,,0.03,3.0,51.0,51.0,90.0,18.0,48.0,,,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,DF,DF,DF,DF,DF,DF,0.24,1209.0,99.0,1.0,,,173.0,2.9,0.08,2.0,113.0,23.0,,26.0,26.0,,,1.0,11.0,11.0,2295.0,0.1,,,0.0,,102.0,2119.0,3420.0,,201.0,-2.1,6.0,0.16,0.0,36.0,1090.0,3.1,0.08,3.1,369.0,,,22.0,,0.0,,0.16,17.0,1.0,,71.4,,0.0,0.0,-2.1,3.1,0.08,3.1,1.0,0.03,106.0,,1.0,0.03,,,,0.05,4413.0,38,,0.0,0.0,0.0,5.0,78.0,5.0,1.0,32.0,,120.0,,81.0,52.6,13.0,926.0,0.0,0.0,10.0,13.0,13.0,0.61,,6.0,6.0,0.0,,0.0,0.05,2119.0,,9.0,40.0,9.0,9.0,982.0,,,38.0,10.0,2.0,,1.0,2.0,0.11,,,38.0,,,38.0,38.0,38.0,38.0,38.0,2.0,0.05,0.0,0.0,,3.0,
Alex Iwobi,,,,38,,2.0,0.05,2.0,35.7,26.0,,,26.0,26.0,26.0,26.0,26.0,39.0,69.0,33.0,1.0,3.0,1.0,15.0,1.12,2.0,0.0,,,0.05,0.0,25.0,25.0,50.0,32.0,28.0,,,,,,ng NGA,ng NGA,ng NGA,ng NGA,ng NGA,ng NGA,"MF,FW","MF,FW","MF,FW","MF,FW","MF,FW","MF,FW",0.4,1285.0,41.0,50.0,,,259.0,6.1,0.16,4.0,709.0,120.0,,37.0,37.0,,,0.0,145.0,145.0,3434.0,0.06,,,0.0,,94.0,1912.0,3378.0,,29.0,-0.5,8.5,0.23,104.0,37.0,359.0,2.5,0.07,2.5,52.0,,,68.0,,0.0,,0.23,91.0,8.0,,26.3,,8.0,0.0,-0.5,2.5,0.07,2.5,2.0,0.05,194.0,,7.0,0.19,,,,0.24,6913.0,38,,0.0,0.0,0.0,42.0,2.0,7.0,0.0,42.0,,10.0,,59.0,50.8,28.0,892.0,0.0,0.0,45.5,90.0,90.0,3.2,,2.0,2.0,0.0,,0.0,0.24,1912.0,,21.0,19.0,55.0,15.0,1169.0,,,65.0,110.0,4.0,,15.0,9.0,0.13,,,37.5,,,37.5,37.5,37.5,37.5,37.5,9.0,0.24,9.0,0.0,,79.0,
Jordan Pickford,33.7,58.1,71.4,37,37.0,0.0,0.0,0.0,,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,22.0,566.0,,3.0,4.0,4.0,,1.0,3.0,1.0,992.0,3.0,71.3,16.7,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,GK,GK,GK,GK,GK,GK,0.0,548.0,0.0,0.0,7.0,21.6,36.0,0.1,0.0,0.0,0.0,10.0,1.41,0.0,0.0,43.0,52.7,1.0,0.0,0.0,3221.0,,123.0,2.0,0.0,12.0,4.0,1413.0,3330.0,3330.0,15.0,0.0,0.1,0.0,0.0,0.0,1359.0,0.0,0.0,0.0,1030.0,5.0,5.0,1.0,0.0,0.0,181.0,0.0,4.0,1.0,0.31,72.7,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.2,1.0,0.03,0.08,4.0,1.54,0.03,4810.0,37,37.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,60.0,8.0,3.9,0.0,0.0,0.0,57.0,0.0,0.0,,0.0,0.0,0.27,52.0,6.0,6.0,0.0,6.0,0.0,0.03,1413.0,8.0,,1.0,0.0,0.0,732.0,801.0,315.0,1.0,0.0,0.0,270.0,0.0,1.0,,57.0,57.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,1.0,0.03,6.0,0.0,0.0,0.0,18.0
Idrissa Gana Gueye,,,,33,,0.0,0.0,0.0,40.0,32.0,,,32.0,32.0,32.0,32.0,32.0,38.0,97.0,31.0,0.0,7.0,0.0,50.0,0.52,5.0,1.0,,,0.0,3.0,56.0,56.0,54.3,29.0,22.0,,,,,,sn SEN,sn SEN,sn SEN,sn SEN,sn SEN,sn SEN,MF,MF,MF,MF,MF,MF,0.21,845.0,50.0,9.0,,,266.0,1.1,0.04,13.0,237.0,51.0,,57.0,57.0,,,1.0,19.0,19.0,1829.0,0.05,,,1.0,,153.0,1563.0,2577.0,,34.0,-0.7,1.8,0.06,10.0,49.0,451.0,0.7,0.03,0.7,77.0,,,31.0,,0.0,,0.06,36.0,2.0,,55.1,,1.0,0.0,-0.7,0.7,0.03,0.7,0.0,0.0,98.0,,1.0,0.03,,,,0.03,3942.0,32,,0.0,0.0,0.0,18.0,12.0,2.0,0.0,15.0,,27.0,,11.0,51.7,35.0,893.0,0.0,0.0,25.7,27.0,27.0,1.78,,7.0,7.0,0.0,,0.0,0.1,1563.0,,25.1,43.0,19.0,6.0,821.0,,,60.0,35.0,0.0,,3.0,3.0,0.0,,,28.6,,,28.6,28.6,28.6,28.6,28.6,1.0,0.03,0.0,0.0,,26.0,
Vitaliy Mykolenko,,,,34,,0.0,0.0,0.0,30.0,23.0,,,23.0,23.0,23.0,23.0,23.0,34.0,58.0,28.0,0.0,2.0,0.0,21.0,0.34,0.0,0.0,,,0.0,0.0,46.0,46.0,44.0,23.0,34.0,,,,,,ua UKR,ua UKR,ua UKR,ua UKR,ua UKR,ua UKR,DF,DF,DF,DF,DF,DF,0.1,798.0,50.0,14.0,,,150.0,1.2,0.04,3.0,370.0,46.0,,34.0,34.0,,,0.0,72.0,72.0,1491.0,0.05,,,0.0,,104.0,1625.0,2655.0,,99.0,-0.5,1.8,0.06,57.0,36.0,576.0,0.5,0.02,0.5,124.0,,,32.0,,0.0,,0.06,41.0,2.0,,42.4,,0.0,0.0,-0.5,0.5,0.02,0.5,0.0,0.0,100.0,,0.0,0.0,,,,0.0,3103.0,30,,0.0,0.0,0.0,8.0,16.0,2.0,1.0,10.0,,25.0,,26.0,54.9,19.0,693.0,0.0,0.0,56.0,31.0,31.0,1.56,,4.0,4.0,0.0,,0.0,0.1,1625.0,,20.3,29.0,11.0,3.0,701.0,,,51.0,25.0,0.0,,7.0,3.0,0.0,,,29.5,,,29.5,29.5,29.5,29.5,29.5,0.0,0.0,1.0,0.0,,33.0,
Amadou Onana,,,,33,,1.0,0.04,1.0,17.6,20.0,,,20.0,20.0,20.0,20.0,20.0,19.0,72.0,30.0,0.0,5.0,0.0,49.0,1.23,2.0,0.0,,,0.03,0.0,37.0,37.0,34.6,12.0,55.0,,,,,,be BEL,be BEL,be BEL,be BEL,be BEL,be BEL,MF,MF,MF,MF,MF,MF,0.22,871.0,25.0,23.0,,,150.0,2.6,0.09,6.0,295.0,45.0,,43.0,43.0,,,0.0,49.0,49.0,1436.0,0.09,,,0.0,,109.0,1310.0,2488.0,,39.0,-2.0,5.6,0.2,5.0,24.0,287.0,3.0,0.11,3.0,58.0,,,49.0,,0.0,,0.2,35.0,2.0,,52.2,,1.0,0.0,-2.0,3.0,0.11,3.0,1.0,0.04,79.0,,2.0,0.07,,,,0.11,3563.0,29,,0.0,0.0,0.0,17.0,6.0,2.0,0.0,34.0,,60.0,,52.0,71.4,42.0,745.0,0.0,0.0,44.2,27.0,27.0,1.63,,9.0,9.0,0.0,,0.0,0.07,1310.0,,16.8,44.0,18.0,6.0,684.0,,,42.0,52.0,2.0,,4.0,2.0,0.17,,,27.6,,,27.6,27.6,27.6,27.6,27.6,3.0,0.11,0.0,0.0,,30.0,
Dwight McNeil,,,,36,,7.0,0.25,7.0,32.6,22.0,,,22.0,22.0,22.0,22.0,22.0,39.0,64.0,27.0,1.0,2.0,1.0,21.0,1.66,2.0,1.0,,,0.15,0.0,31.0,31.0,50.0,35.0,18.0,,,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,"FW,MF","FW,MF","FW,MF","FW,MF","FW,MF","FW,MF",0.54,762.0,46.0,51.0,,,175.0,6.1,0.22,15.0,614.0,108.0,,41.0,41.0,,,0.0,128.0,128.0,2144.0,0.08,,,1.0,,95.0,1357.0,2498.0,,41.0,3.5,9.6,0.35,194.0,35.0,266.0,3.5,0.13,3.5,52.0,,,53.0,,0.0,,0.35,53.0,4.0,,43.8,,9.0,3.0,3.5,3.5,0.13,3.5,7.0,0.25,69.0,,3.0,0.11,,,,0.36,5432.0,28,,0.0,0.0,0.0,45.0,7.0,6.0,0.0,46.0,,14.0,,61.0,43.5,14.0,505.0,0.0,0.0,47.2,76.0,76.0,3.89,,5.0,5.0,0.0,,0.0,0.43,1358.0,,20.5,22.0,54.0,15.0,738.0,,,62.0,108.0,1.0,,16.0,12.0,0.47,,,27.8,,,27.8,27.8,27.8,27.8,27.8,10.0,0.36,36.0,3.0,,44.0,
Demarai Gray,,,,33,,4.0,0.14,4.0,38.6,26.0,,,26.0,26.0,26.0,26.0,26.0,20.0,33.0,17.0,0.0,10.0,0.0,51.0,2.05,3.0,0.0,,,0.04,0.0,13.0,13.0,35.9,14.0,45.0,,,,,,jm JAM,jm JAM,jm JAM,jm JAM,jm JAM,jm JAM,"FW,MF","FW,MF","FW,MF","FW,MF","FW,MF","FW,MF",0.79,781.0,23.0,42.0,,,98.0,3.8,0.14,10.0,652.0,94.0,,24.0,24.0,,,0.0,199.0,199.0,2465.0,0.08,,,8.0,,46.0,1179.0,2507.0,,18.0,-2.7,8.5,0.3,173.0,9.0,110.0,4.7,0.17,4.7,22.0,,,86.0,,0.0,,0.36,41.0,3.0,,22.4,,4.0,0.0,-2.2,6.2,0.22,6.2,2.0,0.07,46.0,,1.0,0.04,,,,0.11,5100.0,27,,0.0,0.0,0.0,66.0,3.0,11.0,0.0,57.0,,13.0,,104.0,54.8,14.0,441.0,2.0,2.0,45.7,94.0,94.0,3.37,,3.0,3.0,2.0,,2.0,0.18,1181.0,,19.5,24.0,33.0,22.0,720.0,,,31.0,92.0,13.0,,48.0,5.0,0.09,,,27.9,,,27.9,27.9,27.9,27.9,27.9,5.0,0.18,25.0,2.0,,62.0,
Conor Coady,,,,24,,1.0,0.04,1.0,50.0,29.0,,,29.0,29.0,29.0,29.0,29.0,4.0,14.0,7.0,0.0,1.0,0.0,13.0,0.17,0.0,0.0,,,0.25,3.0,14.0,14.0,0.0,8.0,24.0,,,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,DF,DF,DF,DF,DF,DF,0.09,984.0,21.0,2.0,,,92.0,0.3,0.01,0.0,29.0,17.0,,9.0,9.0,,,0.0,1.0,1.0,2414.0,0.21,,,0.0,,28.0,1363.0,2096.0,,88.0,0.2,1.2,0.05,1.0,8.0,795.0,0.8,0.04,0.8,238.0,,,6.0,,0.0,,0.05,15.0,1.0,,51.0,,0.0,0.0,0.2,0.8,0.04,0.8,1.0,0.04,43.0,,1.0,0.04,,,,0.09,4154.0,23,,0.0,0.0,0.0,2.0,17.0,1.0,0.0,4.0,,25.0,,10.0,46.7,6.0,547.0,0.0,0.0,66.7,4.0,4.0,0.73,,2.0,2.0,0.0,,0.0,0.04,1363.0,,8.5,11.0,0.0,2.0,882.0,,,15.0,3.0,2.0,,0.0,1.0,0.5,,,23.3,,,23.3,23.3,23.3,23.3,23.3,2.0,0.09,0.0,0.0,,4.0,
Séamus Coleman,,,,23,,1.0,0.05,1.0,28.6,33.0,,,33.0,33.0,33.0,33.0,33.0,7.0,35.0,19.0,0.0,3.0,0.0,21.0,0.38,0.0,0.0,,,0.14,2.0,22.0,22.0,44.4,10.0,16.0,,,,,,ie IRL,ie IRL,ie IRL,ie IRL,ie IRL,ie IRL,DF,DF,DF,DF,DF,DF,0.11,481.0,14.0,15.0,,,100.0,0.9,0.05,4.0,246.0,21.0,,26.0,26.0,,,0.0,37.0,37.0,925.0,0.05,,,0.0,,57.0,990.0,1656.0,,58.0,0.6,1.2,0.07,22.0,21.0,334.0,0.4,0.02,0.4,81.0,,,30.0,,0.0,,0.07,15.0,2.0,,52.9,,1.0,0.0,0.6,0.4,0.02,0.4,1.0,0.05,61.0,,0.0,0.0,,,,0.05,2049.0,20,,0.0,0.0,0.0,6.0,7.0,1.0,0.0,7.0,,18.0,,21.0,65.5,10.0,416.0,0.0,0.0,41.7,13.0,13.0,1.14,,1.0,1.0,0.0,,0.0,0.11,990.0,,21.9,10.0,16.0,2.0,457.0,,,29.0,36.0,2.0,,3.0,2.0,0.5,,,18.4,,,18.4,18.4,18.4,18.4,18.4,1.0,0.05,1.0,0.0,,10.0,
