Player,Cmp%,Launch%,Launch%,MP,MP,Gls,Gls,Gls,SoT%,Age,Age,Age,Age,Age,Age,Age,Age,Pass,Tkl,Tkl,PKwon,Fld,Fld,Fld,Sh/90,Def,Def,Stp,Opp,G/Sh,Err,Int,Int,Succ%,Lost,Lost,PKsv,Att (GK),PSxG+/-,Save%,Save%,Nation,Nation,Nation,Nation,Nation,Nation,Pos,Pos,Pos,Pos,Pos,Pos,SoT/90,Rec,Blocks,Tkld,W,CS%,Recov,xAG,xAG,Att 3rd,Att 3rd,SCA,#OPA/90,TklW,TklW,AvgLen,AvgLen,PKcon,PrgR,PrgR,PrgDist,npxG/Sh,Saves,FK,FK,D,Tkl+Int,Live,Min,Min,Clr,np:G-xG,npxG+xAG,npxG+xAG,Crs,Def 3rd,Def 3rd,npxG,npxG,npxG,Def Pen,PKA,PKA,Mis,OG,OG,SoTA,xG+xAG,PassLive,PassLive,PSxG/SoT,Won%,Thr,TO,TO,G-xG,xG,xG,xG,G-PK,G-PK,PrgP,AvgDist,Ast,Ast,/90,CK,GA90,G+A-PK,TotDist,Starts,Starts,2CrdY,CrdR,CrdR,Dis,Sh,Sh,Sh,Sh,PSxG,Won,Stp%,Att Pen,Tkl%,Mid 3rd,Mid 3rd,PK,PK,Tkld%,PrgC,PrgC,SCA90,#OPA,CrdY,CrdY,PKatt,PKatt,PKatt,GCA90,Touches,CS,Dist,Fls,Succ,SoT,Carries,Att,Att,Att,Att,Off,Cmp,CPA,GCA,G/SoT,GA,GA,90s,90s,90s,90s,90s,90s,90s,90s,G+A,G+A,PassDead,PassDead,PKm,1/3,L
Robin Koch,,,,36,,0.0,0.0,0.0,23.5,26.0,,,26.0,26.0,26.0,26.0,26.0,23.0,53.0,24.0,0.0,0.0,0.0,17.0,0.48,0.0,0.0,,,0.0,1.0,43.0,43.0,33.3,32.0,69.0,,,,,,de GER,de GER,de GER,de GER,de GER,de GER,DF,DF,DF,DF,DF,DF,0.11,1102.0,44.0,2.0,,,193.0,0.4,0.01,5.0,106.0,15.0,,30.0,30.0,,,0.0,11.0,11.0,2583.0,0.09,,,0.0,,96.0,1963.0,3175.0,,152.0,-1.5,1.9,0.06,1.0,32.0,1051.0,1.5,0.04,1.5,263.0,,,15.0,,1.0,,0.06,11.0,2.0,,61.7,,0.0,0.0,-1.5,1.5,0.04,1.5,0.0,0.0,114.0,,0.0,0.0,,,,0.0,4700.0,36,,0.0,0.0,0.0,1.0,21.0,2.0,0.0,17.0,,111.0,,32.0,42.9,16.0,820.0,0.0,0.0,66.7,11.0,11.0,0.43,,7.0,7.0,0.0,,0.0,0.06,1963.0,,11.1,35.0,1.0,4.0,1013.0,,,56.0,3.0,1.0,,0.0,2.0,0.0,,,35.3,,,35.3,35.3,35.3,35.3,35.3,0.0,0.0,2.0,0.0,,8.0,
Illan Meslier,23.6,39.4,56.2,34,34.0,0.0,0.0,0.0,100.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.03,0.0,0.0,34.0,432.0,0.0,3.0,1.0,1.0,,2.0,3.0,0.0,794.0,-12.4,59.5,0.0,fr FRA,fr FRA,fr FRA,fr FRA,fr FRA,fr FRA,GK,GK,GK,GK,GK,GK,0.03,424.0,0.0,0.0,7.0,14.7,34.0,0.0,0.0,0.0,2.0,4.0,1.94,1.0,1.0,33.7,43.5,0.0,0.0,0.0,1969.0,0.12,92.0,1.0,0.0,9.0,3.0,1122.0,3060.0,3060.0,30.0,-0.1,0.1,0.0,0.0,2.0,1116.0,0.1,0.0,0.1,903.0,3.0,3.0,1.0,1.0,0.0,158.0,0.0,2.0,0.0,0.32,76.9,194.0,0.0,0.0,-0.1,0.1,0.0,0.1,0.0,0.0,0.0,15.8,0.0,0.0,-0.36,7.0,1.97,0.0,3396.0,34,34.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,53.6,10.0,7.9,1.0,50.0,0.0,5.0,0.0,0.0,,0.0,0.0,0.12,66.0,3.0,3.0,0.0,3.0,0.0,0.0,1122.0,5.0,9.0,1.0,0.0,1.0,596.0,449.0,242.0,4.0,0.0,0.0,106.0,0.0,0.0,0.0,67.0,67.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,0.0,0.0,2.0,0.0,0.0,0.0,18.0
Jack Harrison,,,,36,,5.0,0.17,5.0,35.9,25.0,,,25.0,25.0,25.0,25.0,25.0,45.0,41.0,12.0,0.0,5.0,0.0,37.0,1.3,2.0,0.0,,,0.13,0.0,22.0,22.0,40.7,40.0,42.0,,,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,"FW,MF","FW,MF","FW,MF","FW,MF","FW,MF","FW,MF",0.47,1037.0,47.0,59.0,,,174.0,5.1,0.17,21.0,836.0,114.0,,17.0,17.0,,,0.0,255.0,255.0,2584.0,0.12,,,3.0,,63.0,1556.0,2708.0,,25.0,0.3,9.8,0.33,186.0,5.0,192.0,4.7,0.16,4.7,31.0,,,92.0,,0.0,,0.33,68.0,6.0,,10.6,,7.0,1.0,0.3,4.7,0.16,4.7,5.0,0.17,103.0,,7.0,0.23,,,,0.4,5271.0,34,,0.0,0.0,0.0,61.0,2.0,5.0,1.0,39.0,,5.0,,81.0,23.1,15.0,549.0,0.0,0.0,50.0,103.0,103.0,3.79,,2.0,2.0,0.0,,0.0,0.3,1556.0,,17.8,38.0,48.0,14.0,959.0,,,52.0,118.0,3.0,,24.0,9.0,0.36,,,30.1,,,30.1,30.1,30.1,30.1,30.1,12.0,0.4,27.0,1.0,,56.0,
Marc Roca,,,,32,,1.0,0.04,1.0,37.1,25.0,,,25.0,25.0,25.0,25.0,25.0,24.0,66.0,20.0,0.0,2.0,1.0,29.0,1.36,1.0,0.0,,,0.03,2.0,23.0,23.0,56.7,45.0,13.0,,,,,,es ESP,es ESP,es ESP,es ESP,es ESP,es ESP,MF,MF,MF,MF,MF,MF,0.51,948.0,34.0,10.0,,,169.0,2.9,0.11,5.0,333.0,52.0,,40.0,40.0,,,0.0,28.0,28.0,1914.0,0.06,,,4.0,,89.0,1571.0,2315.0,,24.0,-1.1,5.0,0.19,76.0,27.0,333.0,2.1,0.08,2.1,47.0,,,26.0,,0.0,,0.19,34.0,1.0,,58.1,,2.0,0.0,-1.1,2.1,0.08,2.1,1.0,0.04,172.0,,2.0,0.08,,,,0.12,3627.0,29,,0.0,0.0,0.0,26.0,10.0,3.0,1.0,35.0,,18.0,,26.0,30.8,34.0,914.0,0.0,0.0,33.3,25.0,25.0,2.02,,7.0,7.0,0.0,,0.0,0.16,1571.0,,22.3,40.0,17.0,13.0,822.0,,,65.0,30.0,0.0,,6.0,4.0,0.08,,,25.7,,,25.7,25.7,25.7,25.7,25.7,3.0,0.12,10.0,1.0,,18.0,
Brenden Aaronson,,,,36,,1.0,0.04,1.0,22.0,21.0,,,21.0,21.0,21.0,21.0,21.0,40.0,45.0,15.0,0.0,8.0,1.0,55.0,1.56,1.0,1.0,,,0.02,1.0,5.0,5.0,34.0,31.0,39.0,,,,,,us USA,us USA,us USA,us USA,us USA,us USA,"MF,FW","MF,FW","MF,FW","MF,FW","MF,FW","MF,FW",0.34,767.0,43.0,48.0,,,128.0,4.2,0.16,7.0,554.0,95.0,,18.0,18.0,,,0.0,151.0,151.0,1532.0,0.09,,,2.0,,50.0,1143.0,2372.0,,6.0,-2.9,8.1,0.31,72.0,16.0,116.0,3.9,0.15,3.9,12.0,,,71.0,,0.0,,0.31,57.0,3.0,,17.0,,7.0,0.0,-2.9,3.9,0.15,3.9,1.0,0.04,86.0,,3.0,0.11,,,,0.15,3646.0,28,,0.0,0.0,0.0,82.0,3.0,5.0,1.0,41.0,,8.0,,72.0,32.6,22.0,495.0,0.0,0.0,48.0,43.0,43.0,3.6,,2.0,2.0,0.0,,0.0,0.27,1143.0,,18.4,16.0,34.0,9.0,686.0,,,46.0,100.0,6.0,,13.0,7.0,0.11,,,26.4,,,26.4,26.4,26.4,26.4,26.4,4.0,0.15,17.0,1.0,,34.0,
Pascal Struijk,,,,29,,2.0,0.08,2.0,43.8,22.0,,,22.0,22.0,22.0,22.0,22.0,20.0,84.0,49.0,0.0,0.0,0.0,12.0,0.65,1.0,0.0,,,0.13,1.0,32.0,32.0,50.0,26.0,43.0,,,,,,nl NED,nl NED,nl NED,nl NED,nl NED,nl NED,DF,DF,DF,DF,DF,DF,0.29,803.0,32.0,7.0,,,139.0,2.4,0.1,10.0,379.0,35.0,,57.0,57.0,,,2.0,53.0,53.0,1465.0,0.09,,,0.0,,116.0,1619.0,2200.0,,70.0,0.6,3.7,0.15,21.0,43.0,538.0,1.4,0.06,1.4,92.0,,,25.0,,0.0,,0.15,25.0,0.0,,58.3,,0.0,0.0,0.6,1.4,0.06,1.4,2.0,0.08,119.0,,1.0,0.04,,,,0.12,2806.0,26,,0.0,0.0,0.0,12.0,12.0,5.0,2.0,16.0,,60.0,,31.0,65.3,31.0,708.0,0.0,0.0,38.9,24.0,24.0,1.43,,5.0,5.0,0.0,,0.0,0.08,1619.0,,13.4,29.0,9.0,7.0,700.0,,,75.0,18.0,0.0,,1.0,2.0,0.29,,,24.4,,,24.4,24.4,24.4,24.4,24.4,3.0,0.12,4.0,0.0,,25.0,
Tyler Adams,,,,24,,0.0,0.0,0.0,0.0,23.0,,,23.0,23.0,23.0,23.0,23.0,40.0,89.0,50.0,0.0,1.0,0.0,21.0,0.17,0.0,0.0,,,0.0,0.0,35.0,35.0,31.8,27.0,15.0,,,,,,us USA,us USA,us USA,us USA,us USA,us USA,MF,MF,MF,MF,MF,MF,0.0,919.0,48.0,12.0,,,199.0,1.4,0.06,10.0,254.0,43.0,,46.0,46.0,,,0.0,20.0,20.0,1555.0,0.03,,,0.0,,124.0,1628.0,2156.0,,29.0,-0.1,1.5,0.06,2.0,44.0,376.0,0.1,0.0,0.1,44.0,,,28.0,,0.0,,0.06,42.0,1.0,,62.5,,0.0,0.0,-0.1,0.1,0.0,0.1,0.0,0.0,136.0,,0.0,0.0,,,,0.0,3342.0,24,,1.0,1.0,1.0,18.0,8.0,0.0,0.0,4.0,,25.0,,5.0,64.9,35.0,1010.0,0.0,0.0,54.5,19.0,19.0,1.79,,6.0,6.0,0.0,,0.0,0.04,1628.0,,27.5,37.0,7.0,0.0,818.0,,,77.0,22.0,1.0,,0.0,1.0,,,,24.0,,,24.0,24.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,,21.0,
Rodrigo,,,,31,,13.0,0.6,13.0,37.9,31.0,,,31.0,31.0,31.0,31.0,31.0,12.0,24.0,8.0,0.0,2.0,0.0,11.0,3.07,1.0,0.0,,,0.18,1.0,6.0,6.0,41.4,11.0,66.0,,,,,,es ESP,es ESP,es ESP,es ESP,es ESP,es ESP,"FW,MF","FW,MF","FW,MF","FW,MF","FW,MF","FW,MF",1.16,547.0,16.0,15.0,,,66.0,1.8,0.08,7.0,341.0,45.0,,10.0,10.0,,,0.0,143.0,143.0,825.0,0.11,,,2.0,,30.0,803.0,1935.0,,21.0,4.7,9.1,0.42,21.0,2.0,94.0,7.3,0.34,7.3,26.0,,,57.0,,0.0,,0.46,30.0,2.0,,34.0,,4.0,0.0,4.9,8.1,0.38,8.1,12.0,0.56,44.0,,1.0,0.05,,,,0.6,2217.0,23,,0.0,0.0,0.0,24.0,4.0,8.0,2.0,66.0,,34.0,,110.0,42.1,15.0,372.0,1.0,1.0,51.7,40.0,40.0,2.09,,6.0,6.0,1.0,,1.0,0.19,804.0,,15.8,29.0,12.0,25.0,451.0,,,19.0,29.0,10.0,,24.0,4.0,0.48,,,21.5,,,21.5,21.5,21.5,21.5,21.5,14.0,0.65,0.0,0.0,,17.0,
Luke Ayling,,,,29,,2.0,0.09,2.0,20.8,30.0,,,30.0,30.0,30.0,30.0,30.0,23.0,66.0,42.0,0.0,2.0,0.0,35.0,1.05,2.0,0.0,,,0.08,2.0,26.0,26.0,39.4,43.0,57.0,,,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,DF,DF,DF,DF,DF,DF,0.22,700.0,34.0,17.0,,,152.0,2.0,0.09,9.0,390.0,40.0,,37.0,37.0,,,1.0,100.0,100.0,1480.0,0.13,,,0.0,,92.0,1413.0,2054.0,,52.0,-1.2,5.2,0.23,62.0,42.0,466.0,3.2,0.14,3.2,79.0,,,23.0,,0.0,,0.23,33.0,1.0,,45.2,,0.0,0.0,-1.2,3.2,0.14,3.2,2.0,0.09,77.0,,1.0,0.04,,,,0.13,2963.0,22,,0.0,0.0,0.0,12.0,11.0,3.0,0.0,24.0,,47.0,,56.0,49.4,15.0,578.0,0.0,0.0,51.5,28.0,28.0,1.75,,3.0,3.0,0.0,,0.0,0.04,1413.0,,15.1,15.0,13.0,5.0,648.0,,,85.0,33.0,1.0,,4.0,1.0,0.4,,,22.8,,,22.8,22.8,22.8,22.8,22.8,3.0,0.13,0.0,0.0,,20.0,
Rasmus Kristensen,,,,26,,3.0,0.14,3.0,38.5,25.0,,,25.0,25.0,25.0,25.0,25.0,18.0,62.0,42.0,0.0,0.0,0.0,6.0,0.6,1.0,0.0,,,0.23,0.0,35.0,35.0,46.7,34.0,27.0,,,,,,dk DEN,dk DEN,dk DEN,dk DEN,dk DEN,dk DEN,DF,DF,DF,DF,DF,DF,0.23,633.0,32.0,7.0,,,119.0,1.0,0.05,6.0,282.0,35.0,,35.0,35.0,,,0.0,70.0,70.0,833.0,0.06,,,0.0,,97.0,1276.0,1960.0,,61.0,2.2,1.9,0.09,35.0,35.0,470.0,0.8,0.04,0.8,90.0,,,6.0,,0.0,,0.09,30.0,2.0,,55.7,,2.0,1.0,2.2,0.8,0.04,0.8,3.0,0.14,89.0,,1.0,0.05,,,,0.18,1725.0,21,,0.0,0.0,0.0,5.0,14.0,1.0,0.0,13.0,,34.0,,23.0,55.3,21.0,529.0,0.0,0.0,46.7,15.0,15.0,1.61,,4.0,4.0,0.0,,0.0,0.14,1276.0,,15.2,19.0,7.0,5.0,548.0,,,76.0,15.0,1.0,,4.0,3.0,0.6,,,21.8,,,21.8,21.8,21.8,21.8,21.8,4.0,0.18,1.0,0.0,,10.0,
