Player,Cmp%,Launch%,Launch%,MP,MP,Gls,Gls,Gls,SoT%,Age,Age,Age,Age,Age,Age,Age,Age,Pass,Tkl,Tkl,PKwon,Fld,Fld,Fld,Sh/90,Def,Def,Stp,Opp,G/Sh,Err,Int,Int,Succ%,Lost,Lost,PKsv,Att (GK),PSxG+/-,Save%,Save%,Nation,Nation,Nation,Nation,Nation,Nation,Pos,Pos,Pos,Pos,Pos,Pos,SoT/90,Rec,Blocks,Tkld,W,CS%,Recov,xAG,xAG,Att 3rd,Att 3rd,SCA,#OPA/90,TklW,TklW,AvgLen,AvgLen,PKcon,PrgR,PrgR,PrgDist,npxG/Sh,Saves,FK,FK,D,Tkl+Int,Live,Min,Min,Clr,np:G-xG,npxG+xAG,npxG+xAG,Crs,Def 3rd,Def 3rd,npxG,npxG,npxG,Def Pen,PKA,PKA,Mis,OG,OG,SoTA,xG+xAG,PassLive,PassLive,PSxG/SoT,Won%,Thr,TO,TO,G-xG,xG,xG,xG,G-PK,G-PK,PrgP,AvgDist,Ast,Ast,/90,CK,GA90,G+A-PK,TotDist,Starts,Starts,2CrdY,CrdR,CrdR,Dis,Sh,Sh,Sh,Sh,PSxG,Won,Stp%,Att Pen,Tkl%,Mid 3rd,Mid 3rd,PK,PK,Tkld%,PrgC,PrgC,SCA90,#OPA,CrdY,CrdY,PKatt,PKatt,PKatt,GCA90,Touches,CS,Dist,Fls,Succ,SoT,Carries,Att,Att,Att,Att,Off,Cmp,CPA,GCA,G/SoT,GA,GA,90s,90s,90s,90s,90s,90s,90s,90s,G+A,G+A,PassDead,PassDead,PKm,1/3,L
David de Gea,31.4,32.6,63.1,38,38.0,0.0,0.0,0.0,,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,15.0,526.0,,3.0,1.0,1.0,,1.0,1.0,1.0,1032.0,-0.7,71.1,33.3,es ESP,es ESP,es ESP,es ESP,es ESP,es ESP,GK,GK,GK,GK,GK,GK,0.0,783.0,0.0,0.0,23.0,44.7,25.0,0.1,0.0,0.0,0.0,5.0,0.84,0.0,0.0,32.3,47.1,0.0,0.0,0.0,2147.0,,99.0,2.0,0.0,6.0,1.0,1302.0,3420.0,3420.0,15.0,0.0,0.1,0.0,0.0,0.0,1297.0,0.0,0.0,0.0,1116.0,2.0,2.0,0.0,1.0,0.0,142.0,0.0,3.0,0.0,0.27,83.3,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,0.0,0.0,-0.02,6.0,1.13,0.0,3589.0,38,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.3,5.0,2.9,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,0.0,0.13,32.0,0.0,0.0,0.0,3.0,0.0,0.0,1302.0,17.0,,0.0,0.0,0.0,781.0,449.0,179.0,1.0,0.0,0.0,141.0,0.0,0.0,,43.0,43.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0
Bruno Fernandes,,,,37,,8.0,0.22,8.0,35.6,27.0,,,27.0,27.0,27.0,27.0,27.0,32.0,68.0,30.0,1.0,9.0,1.0,39.0,2.44,0.0,0.0,,,0.07,1.0,25.0,25.0,48.5,41.0,43.0,,,,,,pt POR,pt POR,pt POR,pt POR,pt POR,pt POR,"MF,FW","MF,FW","MF,FW","MF,FW","MF,FW","MF,FW",0.87,1689.0,37.0,28.0,,,222.0,16.7,0.45,19.0,1078.0,219.0,,42.0,42.0,,,0.0,231.0,231.0,3272.0,0.09,,,6.0,,93.0,2406.0,3316.0,,40.0,-1.7,24.4,0.66,141.0,24.0,386.0,7.7,0.21,7.7,68.0,,,42.0,,0.0,,0.71,164.0,16.0,,29.5,,8.0,0.0,-1.3,9.3,0.25,9.3,6.0,0.16,263.0,,8.0,0.22,,,,0.38,6213.0,37,,0.0,0.0,0.0,42.0,5.0,12.0,1.0,90.0,,18.0,,149.0,42.3,25.0,966.0,2.0,2.0,42.4,89.0,89.0,5.94,,6.0,6.0,2.0,,2.0,0.49,2408.0,,20.8,42.0,32.0,32.0,1385.0,,,71.0,66.0,15.0,,28.0,18.0,0.19,,,36.8,,,36.8,36.8,36.8,36.8,36.8,16.0,0.43,26.0,0.0,,68.0,
Marcus Rashford,,,,35,,17.0,0.53,17.0,45.4,24.0,,,24.0,24.0,24.0,24.0,24.0,27.0,20.0,9.0,0.0,4.0,1.0,23.0,3.38,1.0,0.0,,,0.16,0.0,7.0,7.0,39.1,15.0,40.0,,,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,FW,FW,FW,FW,FW,FW,1.53,928.0,31.0,73.0,,,100.0,3.4,0.11,5.0,704.0,98.0,,10.0,10.0,,,0.0,245.0,245.0,2344.0,0.15,,,7.0,,27.0,1212.0,2879.0,,14.0,1.6,18.8,0.59,24.0,7.0,102.0,15.4,0.48,15.4,22.0,,,80.0,,0.0,,0.59,61.0,8.0,,33.3,,17.0,3.0,1.6,15.4,0.48,15.4,17.0,0.53,88.0,,5.0,0.16,,,,0.69,4830.0,32,,0.0,0.0,0.0,44.0,4.0,14.0,2.0,108.0,,20.0,,183.0,37.5,8.0,429.0,0.0,0.0,52.9,85.0,85.0,3.06,,2.0,2.0,0.0,,0.0,0.44,1212.0,,16.4,15.0,54.0,49.0,765.0,,,24.0,138.0,15.0,,55.0,14.0,0.35,,,32.0,,,32.0,32.0,32.0,32.0,32.0,22.0,0.69,1.0,0.0,,51.0,
Luke Shaw,,,,31,,1.0,0.04,1.0,28.6,27.0,,,27.0,27.0,27.0,27.0,27.0,34.0,55.0,32.0,0.0,4.0,1.0,27.0,0.49,0.0,0.0,,,0.07,2.0,36.0,36.0,35.9,13.0,29.0,,,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,DF,DF,DF,DF,DF,DF,0.14,1459.0,51.0,17.0,,,189.0,3.6,0.13,2.0,475.0,67.0,,36.0,36.0,,,1.0,76.0,76.0,3352.0,0.08,,,1.0,,91.0,2388.0,2552.0,,55.0,-0.1,4.7,0.16,89.0,31.0,810.0,1.1,0.04,1.1,175.0,,,24.0,,0.0,,0.16,50.0,6.0,,61.3,,3.0,0.0,-0.1,1.1,0.04,1.1,1.0,0.04,140.0,,2.0,0.07,,,,0.11,6356.0,30,,0.0,0.0,0.0,8.0,17.0,1.0,0.0,14.0,,46.0,,22.0,71.1,22.0,1124.0,0.0,0.0,43.6,53.0,53.0,2.36,,8.0,8.0,0.0,,0.0,0.25,2388.0,,18.7,46.0,14.0,4.0,1298.0,,,45.0,39.0,1.0,,3.0,7.0,0.25,,,28.4,,,28.4,28.4,28.4,28.4,28.4,3.0,0.11,9.0,0.0,,44.0,
Christian Eriksen,,,,28,,1.0,0.04,1.0,28.2,30.0,,,30.0,30.0,30.0,30.0,30.0,14.0,22.0,10.0,0.0,0.0,0.0,10.0,1.71,0.0,0.0,,,0.03,1.0,11.0,11.0,47.1,22.0,13.0,,,,,,dk DEN,dk DEN,dk DEN,dk DEN,dk DEN,dk DEN,MF,MF,MF,MF,MF,MF,0.48,1220.0,23.0,9.0,,,151.0,4.2,0.19,5.0,465.0,71.0,,18.0,18.0,,,0.0,66.0,66.0,1756.0,0.13,,,4.0,,33.0,1644.0,2048.0,,20.0,-4.0,9.2,0.4,81.0,10.0,269.0,5.0,0.22,5.0,43.0,,,24.0,,0.0,,0.4,50.0,6.0,,40.9,,1.0,0.0,-4.0,5.0,0.22,5.0,1.0,0.04,164.0,,8.0,0.35,,,,0.4,3499.0,25,,0.0,0.0,0.0,19.0,9.0,3.0,0.0,39.0,,9.0,,35.0,31.3,7.0,914.0,0.0,0.0,52.9,23.0,23.0,3.12,,3.0,3.0,0.0,,0.0,0.4,1644.0,,19.3,13.0,8.0,11.0,967.0,,,32.0,17.0,3.0,,3.0,9.0,0.09,,,22.8,,,22.8,22.8,22.8,22.8,22.8,9.0,0.4,17.0,3.0,,24.0,
Diogo Dalot,,,,26,,1.0,0.04,1.0,31.8,23.0,,,23.0,23.0,23.0,23.0,23.0,18.0,54.0,33.0,0.0,0.0,0.0,3.0,0.92,1.0,0.0,,,0.05,2.0,37.0,37.0,60.0,12.0,18.0,,,,,,pt POR,pt POR,pt POR,pt POR,pt POR,pt POR,DF,DF,DF,DF,DF,DF,0.29,994.0,25.0,7.0,,,152.0,1.9,0.08,1.0,390.0,52.0,,41.0,41.0,,,0.0,85.0,85.0,2161.0,0.11,,,0.0,,91.0,1673.0,2154.0,,55.0,-1.5,4.4,0.18,44.0,40.0,580.0,2.5,0.1,2.5,125.0,,,18.0,,0.0,,0.18,48.0,2.0,,68.4,,1.0,0.0,-1.5,2.5,0.1,2.5,1.0,0.04,92.0,,2.0,0.08,,,,0.13,4258.0,24,,0.0,0.0,0.0,5.0,7.0,2.0,0.0,22.0,,39.0,,38.0,73.3,13.0,714.0,0.0,0.0,20.0,46.0,46.0,2.17,,6.0,6.0,0.0,,0.0,0.08,1673.0,,19.9,21.0,21.0,7.0,878.0,,,45.0,35.0,0.0,,12.0,2.0,0.14,,,23.9,,,23.9,23.9,23.9,23.9,23.9,3.0,0.13,0.0,0.0,,32.0,
Casemiro,,,,28,,4.0,0.17,4.0,32.4,30.0,,,30.0,30.0,30.0,30.0,30.0,38.0,89.0,48.0,0.0,2.0,0.0,24.0,1.44,0.0,0.0,,,0.12,0.0,34.0,34.0,45.0,44.0,30.0,,,,,,br BRA,br BRA,br BRA,br BRA,br BRA,br BRA,MF,MF,MF,MF,MF,MF,0.47,1103.0,49.0,8.0,,,205.0,3.1,0.13,11.0,293.0,68.0,,46.0,46.0,,,1.0,34.0,34.0,1404.0,0.1,,,0.0,,123.0,1758.0,2124.0,,64.0,0.6,6.5,0.28,19.0,43.0,531.0,3.4,0.14,3.4,110.0,,,18.0,,0.0,,0.28,61.0,8.0,,65.1,,0.0,0.0,0.6,3.4,0.14,3.4,4.0,0.17,152.0,,3.0,0.13,,,,0.3,2828.0,24,,0.0,2.0,2.0,14.0,11.0,5.0,0.0,34.0,,56.0,,24.0,52.2,35.0,949.0,0.0,0.0,40.0,14.0,14.0,2.88,,7.0,7.0,0.0,,0.0,0.34,1758.0,,21.6,48.0,9.0,11.0,850.0,,,92.0,20.0,1.0,,1.0,8.0,0.36,,,23.6,,,23.6,23.6,23.6,23.6,23.6,7.0,0.3,0.0,0.0,,17.0,
Lisandro Martínez,,,,27,,1.0,0.04,1.0,10.0,24.0,,,24.0,24.0,24.0,24.0,24.0,24.0,54.0,30.0,0.0,0.0,0.0,10.0,0.43,1.0,0.0,,,0.1,0.0,33.0,33.0,87.5,13.0,31.0,,,,,,ar ARG,ar ARG,ar ARG,ar ARG,ar ARG,ar ARG,DF,DF,DF,DF,DF,DF,0.04,1138.0,51.0,0.0,,,164.0,0.3,0.01,3.0,60.0,18.0,,28.0,28.0,,,0.0,2.0,2.0,2986.0,0.05,,,0.0,,87.0,1809.0,2114.0,,103.0,0.5,0.8,0.03,0.0,33.0,934.0,0.5,0.02,0.5,281.0,,,11.0,,0.0,,0.03,16.0,1.0,,50.8,,0.0,0.0,0.5,0.5,0.02,0.5,1.0,0.04,83.0,,0.0,0.0,,,,0.04,5256.0,24,,0.0,0.0,0.0,9.0,27.0,1.0,0.0,10.0,,32.0,,11.0,69.8,18.0,829.0,0.0,0.0,0.0,12.0,12.0,0.77,,6.0,6.0,0.0,,0.0,0.04,1809.0,,14.8,21.0,14.0,1.0,1061.0,,,43.0,16.0,0.0,,0.0,1.0,1.0,,,23.5,,,23.5,23.5,23.5,23.5,23.5,1.0,0.04,0.0,0.0,,16.0,
Antony,,,,25,,4.0,0.2,4.0,33.3,22.0,,,22.0,22.0,22.0,22.0,22.0,18.0,22.0,8.0,0.0,4.0,0.0,25.0,3.6,1.0,0.0,,,0.06,0.0,11.0,11.0,39.0,20.0,19.0,,,,,,br BRA,br BRA,br BRA,br BRA,br BRA,br BRA,FW,FW,FW,FW,FW,FW,1.2,813.0,18.0,38.0,,,99.0,2.9,0.14,4.0,609.0,74.0,,9.0,9.0,,,0.0,168.0,168.0,2569.0,0.09,,,0.0,,33.0,1066.0,1802.0,,6.0,-2.6,9.4,0.47,32.0,9.0,134.0,6.6,0.33,6.6,12.0,,,37.0,,0.0,,0.47,61.0,6.0,,20.8,,5.0,1.0,-2.6,6.6,0.33,6.6,4.0,0.2,74.0,,2.0,0.1,,,,0.3,4783.0,23,,0.0,0.0,0.0,12.0,0.0,3.0,0.0,72.0,,5.0,,85.0,28.6,9.0,348.0,0.0,0.0,49.4,95.0,95.0,3.69,,5.0,5.0,0.0,,0.0,0.35,1066.0,,19.6,15.0,30.0,24.0,763.0,,,28.0,77.0,2.0,,32.0,7.0,0.17,,,20.0,,,20.0,20.0,20.0,20.0,20.0,6.0,0.3,0.0,0.0,,60.0,
Raphaël Varane,,,,24,,0.0,0.0,0.0,50.0,29.0,,,29.0,29.0,29.0,29.0,29.0,7.0,24.0,7.0,0.0,0.0,0.0,3.0,0.38,1.0,0.0,,,0.0,0.0,11.0,11.0,60.0,10.0,16.0,,,,,,fr FRA,fr FRA,fr FRA,fr FRA,fr FRA,fr FRA,DF,DF,DF,DF,DF,DF,0.19,850.0,24.0,4.0,,,100.0,0.2,0.01,0.0,54.0,17.0,,9.0,9.0,,,0.0,4.0,4.0,3030.0,0.09,,,0.0,,35.0,1293.0,1911.0,,91.0,-0.7,0.9,0.04,1.0,18.0,611.0,0.7,0.03,0.7,153.0,,,2.0,,1.0,,0.04,12.0,0.0,,72.4,,0.0,0.0,-0.7,0.7,0.03,0.7,0.0,0.0,63.0,,0.0,0.0,,,,0.0,5357.0,22,,0.0,0.0,0.0,1.0,17.0,3.0,0.0,8.0,,42.0,,18.0,41.2,6.0,631.0,0.0,0.0,40.0,17.0,17.0,0.8,,1.0,1.0,0.0,,0.0,0.0,1293.0,,11.6,12.0,6.0,4.0,797.0,,,17.0,10.0,2.0,,0.0,0.0,0.0,,,21.2,,,21.2,21.2,21.2,21.2,21.2,0.0,0.0,1.0,0.0,,15.0,
