Player,Cmp%,Launch%,Launch%,MP,MP,Gls,Gls,Gls,SoT%,Age,Age,Age,Age,Age,Age,Age,Age,Pass,Tkl,Tkl,PKwon,Fld,Fld,Fld,Sh/90,Def,Def,Stp,Opp,G/Sh,Err,Int,Int,Succ%,Lost,Lost,PKsv,Att (GK),PSxG+/-,Save%,Save%,Nation,Nation,Nation,Nation,Nation,Nation,Pos,Pos,Pos,Pos,Pos,Pos,SoT/90,Rec,Blocks,Tkld,W,CS%,Recov,xAG,xAG,Att 3rd,Att 3rd,SCA,#OPA/90,TklW,TklW,AvgLen,AvgLen,PKcon,PrgR,PrgR,PrgDist,npxG/Sh,Saves,FK,FK,D,Tkl+Int,Live,Min,Min,Clr,np:G-xG,npxG+xAG,npxG+xAG,Crs,Def 3rd,Def 3rd,npxG,npxG,npxG,Def Pen,PKA,PKA,Mis,OG,OG,SoTA,xG+xAG,PassLive,PassLive,PSxG/SoT,Won%,Thr,TO,TO,G-xG,xG,xG,xG,G-PK,G-PK,PrgP,AvgDist,Ast,Ast,/90,CK,GA90,G+A-PK,TotDist,Starts,Starts,2CrdY,CrdR,CrdR,Dis,Sh,Sh,Sh,Sh,PSxG,Won,Stp%,Att Pen,Tkl%,Mid 3rd,Mid 3rd,PK,PK,Tkld%,PrgC,PrgC,SCA90,#OPA,CrdY,CrdY,PKatt,PKatt,PKatt,GCA90,Touches,CS,Dist,Fls,Succ,SoT,Carries,Att,Att,Att,Att,Off,Cmp,CPA,GCA,G/SoT,GA,GA,90s,90s,90s,90s,90s,90s,90s,90s,G+A,G+A,PassDead,PassDead,PKm,1/3,L
James Ward-Prowse,,,,38,,9.0,0.24,9.0,40.0,27.0,,,27.0,27.0,27.0,27.0,27.0,20.0,65.0,21.0,0.0,1.0,0.0,19.0,1.07,1.0,0.0,,,0.18,0.0,55.0,55.0,35.0,40.0,52.0,,,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,MF,MF,MF,MF,MF,MF,0.43,1462.0,30.0,12.0,,,222.0,6.2,0.17,7.0,667.0,127.0,,37.0,37.0,,,0.0,58.0,58.0,2014.0,0.06,,,17.0,,120.0,2480.0,3371.0,,48.0,4.5,8.7,0.23,241.0,31.0,447.0,2.5,0.07,2.5,97.0,,,26.0,,1.0,,0.32,62.0,3.0,,45.8,,1.0,1.0,3.3,5.7,0.15,5.7,7.0,0.19,189.0,,4.0,0.11,,,,0.29,4364.0,38,,0.0,0.0,0.0,22.0,10.0,3.0,2.0,40.0,,44.0,,28.0,34.4,27.0,1380.0,2.0,2.0,60.0,19.0,19.0,3.39,,6.0,6.0,4.0,,4.0,0.24,2484.0,,27.1,34.0,7.0,16.0,1172.0,,,61.0,20.0,0.0,,1.0,9.0,0.44,,,37.5,,,37.5,37.5,37.5,37.5,37.5,13.0,0.35,59.0,3.0,,27.0,
Gavin Bazunu,33.7,50.2,67.5,32,32.0,0.0,0.0,0.0,,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,36.0,456.0,,2.0,1.0,1.0,,0.0,0.0,1.0,935.0,-16.6,54.2,50.0,ie IRL,ie IRL,ie IRL,ie IRL,ie IRL,ie IRL,GK,GK,GK,GK,GK,GK,0.0,599.0,0.0,0.0,6.0,12.5,39.0,0.1,0.0,0.0,0.0,7.0,1.5,0.0,0.0,38.1,50.0,1.0,0.0,0.0,2072.0,,67.0,1.0,0.0,6.0,2.0,1253.0,2880.0,2880.0,24.0,0.0,0.1,0.0,0.0,1.0,1234.0,0.0,0.0,0.0,910.0,1.0,1.0,0.0,4.0,0.0,120.0,0.0,5.0,0.0,0.28,100.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.1,0.0,0.0,-0.52,7.0,1.75,0.0,3699.0,32,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.4,13.0,7.9,0.0,100.0,0.0,19.0,0.0,0.0,,0.0,0.0,0.22,48.0,0.0,0.0,0.0,2.0,0.0,0.0,1253.0,4.0,,1.0,0.0,0.0,746.0,629.0,237.0,1.0,0.0,0.0,212.0,0.0,0.0,,56.0,56.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,0.0,0.0,2.0,0.0,0.0,0.0,20.0
Kyle Walker-Peters,,,,31,,1.0,0.03,1.0,38.5,25.0,,,25.0,25.0,25.0,25.0,25.0,39.0,61.0,22.0,0.0,4.0,0.0,41.0,0.44,1.0,1.0,,,0.08,0.0,27.0,27.0,47.6,21.0,28.0,,,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,DF,DF,DF,DF,DF,DF,0.17,917.0,47.0,39.0,,,156.0,1.4,0.05,3.0,520.0,53.0,,32.0,32.0,,,1.0,114.0,114.0,3236.0,0.08,,,0.0,,88.0,1692.0,2650.0,,52.0,0.0,2.5,0.08,50.0,34.0,469.0,1.0,0.03,1.0,90.0,,,39.0,,0.0,,0.08,33.0,1.0,,36.4,,8.0,0.0,0.0,1.0,0.03,1.0,1.0,0.03,97.0,,0.0,0.0,,,,0.03,5862.0,30,,0.0,0.0,0.0,43.0,8.0,3.0,0.0,13.0,,16.0,,50.0,51.2,24.0,731.0,0.0,0.0,37.9,102.0,102.0,1.8,,4.0,4.0,0.0,,0.0,0.1,1692.0,,18.1,25.0,49.0,5.0,877.0,,,43.0,103.0,1.0,,19.0,3.0,0.2,,,29.4,,,29.4,29.4,29.4,29.4,29.4,1.0,0.03,4.0,1.0,,76.0,
Mohamed Elyounoussi,,,,33,,1.0,0.04,1.0,27.8,27.0,,,27.0,27.0,27.0,27.0,27.0,37.0,46.0,19.0,0.0,3.0,0.0,18.0,1.49,1.0,0.0,,,0.03,0.0,27.0,27.0,52.1,24.0,44.0,,,,,,no NOR,no NOR,no NOR,no NOR,no NOR,no NOR,"MF,FW","MF,FW","MF,FW","MF,FW","MF,FW","MF,FW",0.42,533.0,40.0,20.0,,,132.0,2.1,0.09,4.0,362.0,41.0,,28.0,28.0,,,0.0,98.0,98.0,1463.0,0.1,,,0.0,,73.0,952.0,2168.0,,37.0,-2.5,5.6,0.23,34.0,22.0,204.0,3.5,0.15,3.5,60.0,,,38.0,,0.0,,0.23,34.0,4.0,,45.7,,1.0,0.0,-2.5,3.5,0.15,3.5,1.0,0.04,50.0,,1.0,0.04,,,,0.08,3141.0,27,,0.0,0.0,0.0,38.0,3.0,2.0,0.0,36.0,,37.0,,54.0,44.2,20.0,399.0,0.0,0.0,41.7,56.0,56.0,1.7,,4.0,4.0,0.0,,0.0,0.17,952.0,,15.8,41.0,25.0,10.0,484.0,,,43.0,48.0,3.0,,12.0,4.0,0.1,,,24.1,,,24.1,24.1,24.1,24.1,24.1,2.0,0.08,0.0,0.0,,41.0,
Roméo Lavia,,,,29,,1.0,0.04,1.0,25.0,18.0,,,18.0,18.0,18.0,18.0,18.0,36.0,60.0,21.0,1.0,3.0,1.0,48.0,0.49,1.0,1.0,,,0.08,1.0,33.0,33.0,56.0,32.0,10.0,,,,,,be BEL,be BEL,be BEL,be BEL,be BEL,be BEL,MF,MF,MF,MF,MF,MF,0.12,794.0,47.0,13.0,,,187.0,0.6,0.03,4.0,177.0,41.0,,35.0,35.0,,,0.0,14.0,14.0,1903.0,0.03,,,0.0,,93.0,1288.0,2221.0,,23.0,0.6,1.0,0.04,3.0,27.0,298.0,0.4,0.02,0.4,58.0,,,24.0,,0.0,,0.04,31.0,1.0,,41.2,,3.0,0.0,0.6,0.4,0.02,0.4,1.0,0.04,102.0,,0.0,0.0,,,,0.04,4275.0,26,,0.0,0.0,0.0,31.0,11.0,1.0,0.0,12.0,,7.0,,1.0,39.6,29.0,828.0,0.0,0.0,26.0,22.0,22.0,1.66,,9.0,9.0,0.0,,0.0,0.12,1288.0,,27.0,28.0,28.0,3.0,804.0,,,53.0,50.0,0.0,,0.0,3.0,0.33,,,24.7,,,24.7,24.7,24.7,24.7,24.7,1.0,0.04,2.0,0.0,,21.0,
Armel Bella Kotchap,,,,24,,0.0,0.0,0.0,14.3,20.0,,,20.0,20.0,20.0,20.0,20.0,17.0,37.0,15.0,0.0,2.0,0.0,33.0,0.67,1.0,0.0,,,0.0,0.0,44.0,44.0,36.4,5.0,28.0,,,,,,de GER,de GER,de GER,de GER,de GER,de GER,DF,DF,DF,DF,DF,DF,0.1,682.0,29.0,3.0,,,145.0,1.0,0.05,0.0,46.0,14.0,,17.0,17.0,,,0.0,2.0,2.0,1899.0,0.07,,,0.0,,81.0,1211.0,1879.0,,110.0,-1.0,2.1,0.1,4.0,28.0,654.0,1.0,0.05,1.0,209.0,,,9.0,,0.0,,0.1,7.0,1.0,,58.8,,1.0,0.0,-1.0,1.0,0.05,1.0,0.0,0.0,39.0,,2.0,0.1,,,,0.1,3570.0,24,,0.0,0.0,0.0,6.0,12.0,3.0,1.0,14.0,,40.0,,22.0,75.0,9.0,519.0,0.0,0.0,27.3,9.0,9.0,0.67,,4.0,4.0,0.0,,0.0,0.1,1211.0,,16.1,9.0,4.0,2.0,697.0,,,20.0,11.0,0.0,,2.0,2.0,0.0,,,20.9,,,20.9,20.9,20.9,20.9,20.9,2.0,0.1,0.0,0.0,,12.0,
Che Adams,,,,28,,5.0,0.23,5.0,29.8,26.0,,,26.0,26.0,26.0,26.0,26.0,9.0,17.0,7.0,0.0,5.0,2.0,27.0,2.12,0.0,0.0,,,0.11,0.0,4.0,4.0,50.0,5.0,103.0,,,,,,sct SCO,sct SCO,sct SCO,sct SCO,sct SCO,sct SCO,FW,FW,FW,FW,FW,FW,0.63,558.0,13.0,13.0,,,53.0,2.8,0.13,2.0,377.0,57.0,,13.0,13.0,,,0.0,115.0,115.0,471.0,0.14,,,0.0,,21.0,717.0,1992.0,,22.0,-1.6,9.4,0.42,12.0,7.0,66.0,6.6,0.3,6.6,29.0,,,66.0,,0.0,,0.42,44.0,5.0,,37.2,,2.0,0.0,-1.6,6.6,0.3,6.6,5.0,0.23,34.0,,3.0,0.14,,,,0.36,1623.0,23,,0.0,0.0,0.0,28.0,4.0,5.0,0.0,47.0,,61.0,,103.0,58.3,8.0,286.0,0.0,0.0,38.2,17.0,17.0,2.57,,1.0,1.0,0.0,,0.0,0.32,717.0,,13.8,38.0,17.0,14.0,406.0,,,12.0,34.0,14.0,,9.0,7.0,0.36,,,22.1,,,22.1,22.1,22.1,22.1,22.1,8.0,0.36,1.0,0.0,,11.0,
Romain Perraud,,,,29,,2.0,0.1,2.0,20.0,24.0,,,24.0,24.0,24.0,24.0,24.0,18.0,54.0,28.0,0.0,1.0,1.0,15.0,1.47,1.0,0.0,,,0.07,0.0,20.0,20.0,26.3,24.0,23.0,,,,,,fr FRA,fr FRA,fr FRA,fr FRA,fr FRA,fr FRA,DF,DF,DF,DF,DF,DF,0.29,626.0,24.0,25.0,,,97.0,1.9,0.09,8.0,395.0,38.0,,33.0,33.0,,,0.0,122.0,122.0,1388.0,0.04,,,0.0,,74.0,1153.0,1835.0,,42.0,0.7,3.2,0.16,77.0,23.0,360.0,1.3,0.06,1.3,54.0,,,27.0,,1.0,,0.16,23.0,3.0,,37.8,,4.0,1.0,0.7,1.3,0.06,1.3,2.0,0.1,62.0,,2.0,0.1,,,,0.2,2999.0,22,,0.0,0.0,0.0,14.0,6.0,8.0,0.0,30.0,,14.0,,39.0,53.8,23.0,406.0,0.0,0.0,65.8,33.0,33.0,1.86,,4.0,4.0,0.0,,0.0,0.25,1153.0,,22.3,31.0,10.0,6.0,609.0,,,52.0,38.0,3.0,,5.0,5.0,0.33,,,20.4,,,20.4,20.4,20.4,20.4,20.4,4.0,0.2,1.0,0.0,,35.0,
Mohammed Salisu,,,,22,,0.0,0.0,0.0,21.1,23.0,,,23.0,23.0,23.0,23.0,23.0,31.0,51.0,24.0,0.0,0.0,0.0,3.0,0.87,0.0,0.0,,,0.0,1.0,31.0,31.0,72.7,10.0,26.0,,,,,,gh GHA,gh GHA,gh GHA,gh GHA,gh GHA,gh GHA,DF,DF,DF,DF,DF,DF,0.18,757.0,56.0,3.0,,,158.0,0.6,0.03,2.0,124.0,25.0,,29.0,29.0,,,0.0,4.0,4.0,1556.0,0.08,,,0.0,,82.0,1504.0,1973.0,,122.0,-1.5,2.1,0.1,13.0,33.0,755.0,1.5,0.07,1.5,220.0,,,5.0,,1.0,,0.1,16.0,1.0,,67.9,,1.0,0.0,-1.5,1.5,0.07,1.5,0.0,0.0,82.0,,1.0,0.05,,,,0.05,3391.0,21,,0.0,0.0,0.0,9.0,25.0,3.0,1.0,19.0,,55.0,,25.0,70.6,16.0,635.0,0.0,0.0,27.3,5.0,5.0,1.14,,5.0,5.0,0.0,,0.0,0.14,1504.0,,12.2,26.0,8.0,4.0,725.0,,,34.0,11.0,1.0,,0.0,3.0,0.0,,,21.9,,,21.9,21.9,21.9,21.9,21.9,1.0,0.05,5.0,1.0,,11.0,
Jan Bednarek,,,,20,,0.0,0.0,0.0,0.0,26.0,,,26.0,26.0,26.0,26.0,26.0,11.0,27.0,12.0,0.0,0.0,0.0,7.0,0.43,0.0,0.0,,,0.0,0.0,49.0,49.0,50.0,4.0,16.0,,,,,,pl POL,pl POL,pl POL,pl POL,pl POL,pl POL,DF,DF,DF,DF,DF,DF,0.0,605.0,38.0,1.0,,,98.0,0.1,0.01,0.0,37.0,7.0,,21.0,21.0,,,0.0,2.0,2.0,1580.0,0.05,,,0.0,,76.0,1127.0,1672.0,,87.0,-0.4,0.5,0.03,1.0,20.0,635.0,0.4,0.02,0.4,205.0,,,2.0,,1.0,,0.03,5.0,0.0,,71.4,,0.0,0.0,-0.4,0.4,0.02,0.4,0.0,0.0,45.0,,0.0,0.0,,,,0.0,2671.0,20,,0.0,0.0,0.0,1.0,27.0,1.0,0.0,8.0,,40.0,,14.0,75.0,7.0,460.0,0.0,0.0,50.0,8.0,8.0,0.38,,5.0,5.0,0.0,,0.0,0.0,1127.0,,14.2,15.0,1.0,0.0,579.0,,,16.0,2.0,0.0,,0.0,0.0,,,,18.6,,,18.6,18.6,18.6,18.6,18.6,0.0,0.0,1.0,0.0,,1.0,
