Season,Squad,Games_injured
2004,Chelsea,463
2004,Manchester Utd,728
2004,Arsenal,618
2004,Liverpool,680
2004,Tottenham,539
2004,Newcastle Utd,424
2004,Birmingham City,584
2004,Manchester City,622
2004,Middlesbrough,434
2004,Southampton,727
2004,Aston Villa,364
2004,Everton,281
2004,Blackburn Rovers,630
2004,Fulham,622
2004,Bolton Wanderers,364
2004,Portsmouth,512
2004,Charlton Athletic,345
2004,West Bromwich Albion,435
2004,Crystal Palace,608
2004,Norwich City,400
2005,Chelsea,412
2005,Manchester Utd,533
2005,Arsenal,558
2005,Liverpool,475
2005,Tottenham,388
2005,Newcastle Utd,382
2005,Middlesbrough,599
2005,Everton,402
2005,Manchester City,443
2005,Aston Villa,502
2005,Portsmouth,500
2005,Charlton Athletic,641
2005,Birmingham City,547
2005,Fulham,494
2005,West Bromwich Albion,454
2005,Blackburn Rovers,369
2005,West Ham United,378
2005,Bolton Wanderers,362
2005,Wigan Athletic,414
2005,Sunderland AFC,445
2006,Chelsea,512
2006,Arsenal,590
2006,Manchester Utd,475
2006,Liverpool,520
2006,Tottenham,700
2006,Newcastle Utd,566
2006,Aston Villa,481
2006,Everton,410
2006,West Ham United,525
2006,Portsmouth,359
2006,Middlesbrough,602
2006,Manchester City,524
2006,Fulham,548
2006,Blackburn Rovers,449
2006,Wigan Athletic,440
2006,Bolton Wanderers,527
2006,Charlton Athletic,555
2006,Sheffield Utd,689
2006,Watford,705
2006,Reading,513
2007,Chelsea,432
2007,Manchester Utd,493
2007,Liverpool,597
2007,Arsenal,487
2007,Tottenham,570
2007,Everton,407
2007,Manchester City,390
2007,Portsmouth,403
2007,Newcastle Utd,376
2007,Middlesbrough,482
2007,West Ham United,622
2007,Aston Villa,264
2007,Bolton Wanderers,525
2007,Fulham,591
2007,Blackburn Rovers,640
2007,Sunderland AFC,715
2007,Birmingham City,363
2007,Wigan Athletic,457
2007,Reading,555
2007,Derby County,480
2008,Chelsea,393
2008,Manchester Utd,635
2008,Liverpool,369
2008,Arsenal,575
2008,Tottenham,469
2008,Manchester City,537
2008,Everton,408
2008,Aston Villa,256
2008,Portsmouth,397
2008,Newcastle Utd,545
2008,West Ham United,473
2008,Sunderland AFC,578
2008,Wigan Athletic,288
2008,Blackburn Rovers,328
2008,Middlesbrough,427
