Player,Cmp%,Launch%,Launch%,MP,MP,Gls,Gls,Gls,SoT%,Age,Age,Age,Age,Age,Age,Age,Age,Pass,Tkl,Tkl,PKwon,Fld,Fld,Fld,Sh/90,Def,Def,Stp,Opp,G/Sh,Err,Int,Int,Succ%,Lost,Lost,PKsv,Att (GK),PSxG+/-,Save%,Save%,Nation,Nation,Nation,Nation,Nation,Nation,Pos,Pos,Pos,Pos,Pos,Pos,SoT/90,Rec,Blocks,Tkld,W,CS%,Recov,xAG,xAG,Att 3rd,Att 3rd,SCA,#OPA/90,TklW,TklW,AvgLen,AvgLen,PKcon,PrgR,PrgR,PrgDist,npxG/Sh,Saves,FK,FK,D,Tkl+Int,Live,Min,Min,Clr,np:G-xG,npxG+xAG,npxG+xAG,Crs,Def 3rd,Def 3rd,npxG,npxG,npxG,Def Pen,PKA,PKA,Mis,OG,OG,SoTA,xG+xAG,PassLive,PassLive,PSxG/SoT,Won%,Thr,TO,TO,G-xG,xG,xG,xG,G-PK,G-PK,PrgP,AvgDist,Ast,Ast,/90,CK,GA90,G+A-PK,TotDist,Starts,Starts,2CrdY,CrdR,CrdR,Dis,Sh,Sh,Sh,Sh,PSxG,Won,Stp%,Att Pen,Tkl%,Mid 3rd,Mid 3rd,PK,PK,Tkld%,PrgC,PrgC,SCA90,#OPA,CrdY,CrdY,PKatt,PKatt,PKatt,GCA90,Touches,CS,Dist,Fls,Succ,SoT,Carries,Att,Att,Att,Att,Off,Cmp,CPA,GCA,G/SoT,GA,GA,90s,90s,90s,90s,90s,90s,90s,90s,G+A,G+A,PassDead,PassDead,PKm,1/3,L
Aaron Ramsdale,25.4,35.4,59.5,38,38.0,0.0,0.0,0.0,,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,22.0,381.0,,6.0,0.0,0.0,100.0,0.0,0.0,0.0,956.0,-2.0,70.6,0.0,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,GK,GK,GK,GK,GK,GK,0.0,629.0,0.0,0.0,26.0,36.8,33.0,0.0,0.0,0.0,0.0,3.0,1.13,1.0,1.0,33.3,49.2,0.0,0.0,0.0,2459.0,,94.0,0.0,0.0,6.0,1.0,1196.0,3420.0,3420.0,20.0,0.0,0.0,0.0,0.0,1.0,1170.0,0.0,0.0,0.0,872.0,3.0,3.0,0.0,1.0,0.0,136.0,0.0,3.0,0.0,0.28,100.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,16.1,0.0,0.0,-0.05,6.0,1.13,0.0,3934.0,38,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,6.0,5.8,0.0,100.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.08,43.0,1.0,1.0,0.0,5.0,0.0,0.0,1196.0,14.0,,0.0,1.0,0.0,722.0,429.0,153.0,1.0,1.0,0.0,109.0,0.0,0.0,,43.0,43.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0
Gabriel Magalhães,,,,38,,3.0,0.08,3.0,28.1,24.0,,,24.0,24.0,24.0,24.0,24.0,23.0,48.0,18.0,0.0,0.0,0.0,40.0,0.84,1.0,0.0,,,0.09,3.0,32.0,32.0,66.7,9.0,76.0,,,,,,br BRA,br BRA,br BRA,br BRA,br BRA,br BRA,DF,DF,DF,DF,DF,DF,0.24,1934.0,49.0,0.0,,,191.0,0.3,0.01,4.0,215.0,24.0,,30.0,30.0,,,2.0,16.0,16.0,5471.0,0.16,,,0.0,,80.0,2776.0,3409.0,,125.0,-2.1,5.3,0.14,5.0,29.0,1153.0,5.1,0.13,5.1,307.0,,,19.0,,0.0,,0.14,21.0,2.0,,56.8,,0.0,0.0,-2.1,5.1,0.13,5.1,3.0,0.08,153.0,,0.0,0.0,,,,0.08,8780.0,38,,0.0,0.0,0.0,4.0,26.0,2.0,0.0,32.0,,100.0,,53.0,66.7,15.0,1419.0,0.0,0.0,0.0,18.0,18.0,0.63,,5.0,5.0,0.0,,0.0,0.05,2776.0,,11.9,25.0,2.0,9.0,1746.0,,,27.0,3.0,1.0,,3.0,2.0,0.33,,,37.9,,,37.9,37.9,37.9,37.9,37.9,3.0,0.08,0.0,0.0,,43.0,
Bukayo Saka,,,,38,,14.0,0.4,14.0,33.7,20.0,,,20.0,20.0,20.0,20.0,20.0,38.0,63.0,20.0,0.0,7.0,0.0,65.0,2.43,2.0,1.0,,,0.14,0.0,14.0,14.0,37.9,24.0,38.0,,,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,FW,FW,FW,FW,FW,FW,0.82,1361.0,38.0,69.0,,,127.0,8.5,0.24,26.0,1270.0,161.0,,34.0,34.0,,,0.0,520.0,520.0,4557.0,0.11,,,1.0,,77.0,1879.0,3181.0,,19.0,2.9,17.6,0.5,172.0,22.0,160.0,9.1,0.26,9.1,21.0,,,78.0,,0.0,,0.56,106.0,20.0,,29.6,,8.0,2.0,2.8,11.2,0.32,11.2,12.0,0.34,109.0,,11.0,0.31,,,,0.65,8403.0,37,,0.0,0.0,0.0,59.0,0.0,11.0,1.0,86.0,,16.0,,237.0,45.5,15.0,474.0,2.0,2.0,42.9,179.0,179.0,4.56,,6.0,6.0,3.0,,3.0,0.79,1882.0,,16.3,43.0,61.0,29.0,1191.0,,,44.0,161.0,9.0,,84.0,28.0,0.41,,,35.3,,,35.3,35.3,35.3,35.3,35.3,25.0,0.71,27.0,4.0,,92.0,
Martin Ødegaard,,,,37,,15.0,0.43,15.0,33.3,23.0,,,23.0,23.0,23.0,23.0,23.0,15.0,36.0,14.0,0.0,6.0,0.0,26.0,2.68,3.0,0.0,,,0.16,1.0,6.0,6.0,57.8,33.0,20.0,,,,,,no NOR,no NOR,no NOR,no NOR,no NOR,no NOR,MF,MF,MF,MF,MF,MF,0.89,1550.0,20.0,29.0,,,178.0,8.1,0.23,10.0,1060.0,163.0,,23.0,23.0,,,0.0,193.0,193.0,3022.0,0.11,,,9.0,,42.0,2100.0,3127.0,,12.0,5.0,18.1,0.52,91.0,12.0,199.0,10.0,0.29,10.0,27.0,,,42.0,,0.0,,0.52,123.0,15.0,,39.4,,4.0,0.0,5.0,10.0,0.29,10.0,15.0,0.43,266.0,,7.0,0.2,,,,0.63,6930.0,37,,0.0,0.0,0.0,45.0,5.0,12.0,2.0,93.0,,13.0,,122.0,29.8,14.0,864.0,0.0,0.0,34.9,83.0,83.0,4.69,,4.0,4.0,0.0,,0.0,0.49,2100.0,,19.2,30.0,48.0,31.0,1284.0,,,47.0,83.0,1.0,,26.0,17.0,0.48,,,34.7,,,34.7,34.7,34.7,34.7,34.7,22.0,0.63,15.0,0.0,,60.0,
Ben White,,,,38,,2.0,0.06,2.0,20.0,24.0,,,24.0,24.0,24.0,24.0,24.0,36.0,60.0,42.0,0.0,1.0,0.0,30.0,0.29,0.0,0.0,,,0.2,1.0,22.0,22.0,27.6,28.0,41.0,,,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,DF,DF,DF,DF,DF,DF,0.06,1698.0,47.0,15.0,,,155.0,3.2,0.09,7.0,685.0,64.0,,31.0,31.0,,,0.0,124.0,124.0,3565.0,0.13,,,0.0,,82.0,2532.0,3055.0,,79.0,0.7,4.5,0.13,57.0,23.0,554.0,1.3,0.04,1.3,103.0,,,27.0,,0.0,,0.13,56.0,12.0,,44.6,,0.0,0.0,0.7,1.3,0.04,1.3,2.0,0.06,249.0,,5.0,0.15,,,,0.21,6506.0,36,,0.0,0.0,0.0,7.0,11.0,0.0,0.0,10.0,,33.0,,48.0,60.0,30.0,1305.0,0.0,0.0,51.7,64.0,64.0,1.89,,5.0,5.0,0.0,,0.0,0.38,2532.0,,16.7,28.0,8.0,2.0,1448.0,,,70.0,29.0,1.0,,3.0,13.0,1.0,,,33.9,,,33.9,33.9,33.9,33.9,33.9,7.0,0.21,7.0,1.0,,46.0,
Granit Xhaka,,,,37,,7.0,0.21,7.0,35.0,29.0,,,29.0,29.0,29.0,29.0,29.0,18.0,34.0,16.0,0.0,3.0,0.0,39.0,1.2,1.0,0.0,,,0.18,1.0,15.0,15.0,53.6,25.0,30.0,,,,,,ch SUI,ch SUI,ch SUI,ch SUI,ch SUI,ch SUI,MF,MF,MF,MF,MF,MF,0.42,1397.0,28.0,10.0,,,152.0,5.2,0.16,5.0,658.0,110.0,,27.0,27.0,,,0.0,175.0,175.0,2162.0,0.12,,,3.0,,49.0,1891.0,2993.0,,45.0,2.3,9.9,0.3,39.0,11.0,341.0,4.7,0.14,4.7,84.0,,,35.0,,0.0,,0.3,94.0,16.0,,55.2,,5.0,0.0,2.3,4.7,0.14,4.7,7.0,0.21,196.0,,7.0,0.21,,,,0.42,4243.0,36,,0.0,0.0,0.0,25.0,10.0,4.0,1.0,40.0,,37.0,,106.0,39.0,18.0,900.0,0.0,0.0,35.7,42.0,42.0,3.31,,4.0,4.0,0.0,,0.0,0.51,1891.0,,16.6,26.0,15.0,14.0,1113.0,,,41.0,28.0,5.0,,9.0,17.0,0.5,,,33.3,,,33.3,33.3,33.3,33.3,33.3,14.0,0.42,3.0,0.0,,38.0,
Gabriel Martinelli,,,,36,,15.0,0.48,15.0,38.0,21.0,,,21.0,21.0,21.0,21.0,21.0,23.0,31.0,9.0,0.0,4.0,0.0,37.0,2.55,2.0,0.0,,,0.19,0.0,9.0,9.0,44.7,13.0,63.0,,,,,,br BRA,br BRA,br BRA,br BRA,br BRA,br BRA,FW,FW,FW,FW,FW,FW,0.97,1115.0,24.0,55.0,,,103.0,9.1,0.29,6.0,965.0,127.0,,18.0,18.0,,,0.0,350.0,350.0,3297.0,0.12,,,2.0,,40.0,1490.0,2789.0,,14.0,5.7,18.4,0.59,113.0,13.0,129.0,9.3,0.3,9.3,19.0,,,83.0,,0.0,,0.59,89.0,10.0,,18.2,,12.0,2.0,5.7,9.3,0.3,9.3,15.0,0.48,94.0,,5.0,0.16,,,,0.65,7180.0,34,,0.0,0.0,0.0,56.0,1.0,12.0,5.0,79.0,,14.0,,223.0,40.9,12.0,419.0,0.0,0.0,41.7,124.0,124.0,4.1,,3.0,3.0,0.0,,0.0,0.55,1490.0,,15.4,39.0,59.0,30.0,1019.0,,,22.0,132.0,8.0,,70.0,17.0,0.5,,,31.0,,,31.0,31.0,31.0,31.0,31.0,20.0,0.65,8.0,0.0,,65.0,
Thomas Partey,,,,33,,3.0,0.11,3.0,14.3,29.0,,,29.0,29.0,29.0,29.0,29.0,21.0,70.0,25.0,0.0,1.0,0.0,23.0,1.01,3.0,0.0,,,0.11,1.0,28.0,28.0,77.8,27.0,25.0,,,,,,gh GHA,gh GHA,gh GHA,gh GHA,gh GHA,gh GHA,MF,MF,MF,MF,MF,MF,0.14,1654.0,26.0,8.0,,,225.0,1.5,0.06,15.0,466.0,71.0,,40.0,40.0,,,0.0,35.0,35.0,3847.0,0.08,,,0.0,,98.0,2267.0,2483.0,,41.0,0.8,3.8,0.14,9.0,20.0,418.0,2.2,0.08,2.2,78.0,,,33.0,,0.0,,0.14,62.0,6.0,,59.7,,1.0,0.0,0.8,2.2,0.08,2.2,3.0,0.11,231.0,,0.0,0.0,,,,0.11,6866.0,28,,0.0,0.0,0.0,19.0,5.0,2.0,0.0,28.0,,37.0,,29.0,48.1,35.0,1406.0,0.0,0.0,17.8,34.0,34.0,2.57,,5.0,5.0,0.0,,0.0,0.22,2267.0,,20.4,37.0,35.0,4.0,1398.0,,,52.0,45.0,0.0,,3.0,6.0,0.75,,,27.6,,,27.6,27.6,27.6,27.6,27.6,3.0,0.11,2.0,0.0,,38.0,
William Saliba,,,,27,,2.0,0.07,2.0,50.0,21.0,,,21.0,21.0,21.0,21.0,21.0,3.0,34.0,15.0,0.0,0.0,0.0,13.0,0.22,0.0,0.0,,,0.33,4.0,19.0,19.0,72.7,3.0,43.0,,,,,,fr FRA,fr FRA,fr FRA,fr FRA,fr FRA,fr FRA,DF,DF,DF,DF,DF,DF,0.11,1423.0,13.0,1.0,,,206.0,1.2,0.04,2.0,64.0,14.0,,20.0,20.0,,,2.0,2.0,2.0,3908.0,0.15,,,0.0,,53.0,2056.0,2415.0,,85.0,1.1,2.1,0.08,1.0,23.0,905.0,0.9,0.03,0.9,174.0,,,15.0,,1.0,,0.08,11.0,2.0,,55.2,,1.0,0.0,1.1,0.9,0.03,0.9,2.0,0.07,99.0,,1.0,0.04,,,,0.11,6658.0,27,,0.0,0.0,0.0,6.0,10.0,0.0,0.0,6.0,,53.0,,15.0,83.3,9.0,1094.0,0.0,0.0,9.1,13.0,13.0,0.52,,4.0,4.0,0.0,,0.0,0.07,2056.0,,13.8,19.0,8.0,3.0,1323.0,,,18.0,11.0,0.0,,1.0,2.0,0.67,,,26.8,,,26.8,26.8,26.8,26.8,26.8,3.0,0.11,2.0,0.0,,14.0,
Oleksandr Zinchenko,,,,27,,1.0,0.04,1.0,25.0,25.0,,,25.0,25.0,25.0,25.0,25.0,18.0,40.0,21.0,0.0,1.0,0.0,11.0,1.19,1.0,0.0,,,0.04,2.0,22.0,22.0,60.0,19.0,20.0,,,,,,ua UKR,ua UKR,ua UKR,ua UKR,ua UKR,ua UKR,DF,DF,DF,DF,DF,DF,0.3,1398.0,20.0,9.0,,,163.0,1.4,0.06,9.0,610.0,56.0,,18.0,18.0,,,0.0,68.0,68.0,3787.0,0.05,,,0.0,,62.0,2112.0,2118.0,,38.0,-0.4,2.8,0.12,37.0,14.0,463.0,1.4,0.06,1.4,77.0,,,16.0,,0.0,,0.12,49.0,3.0,,71.8,,0.0,0.0,-0.4,1.4,0.06,1.4,1.0,0.04,227.0,,2.0,0.08,,,,0.13,6899.0,26,,0.0,0.0,0.0,15.0,2.0,4.0,1.0,28.0,,51.0,,33.0,52.5,17.0,1058.0,0.0,0.0,36.0,67.0,67.0,2.38,,3.0,3.0,0.0,,0.0,0.17,2112.0,,22.7,6.0,15.0,7.0,1263.0,,,40.0,25.0,1.0,,8.0,4.0,0.14,,,23.5,,,23.5,23.5,23.5,23.5,23.5,3.0,0.13,1.0,0.0,,66.0,
