Player,Cmp%,Launch%,Launch%,MP,MP,Gls,Gls,Gls,SoT%,Age,Age,Age,Age,Age,Age,Age,Age,Pass,Tkl,Tkl,PKwon,Fld,Fld,Fld,Sh/90,Def,Def,Stp,Opp,G/Sh,Err,Int,Int,Succ%,Lost,Lost,PKsv,Att (GK),PSxG+/-,Save%,Save%,Nation,Nation,Nation,Nation,Nation,Nation,Pos,Pos,Pos,Pos,Pos,Pos,SoT/90,Rec,Blocks,Tkld,W,CS%,Recov,xAG,xAG,Att 3rd,Att 3rd,SCA,#OPA/90,TklW,TklW,AvgLen,AvgLen,PKcon,PrgR,PrgR,PrgDist,npxG/Sh,Saves,FK,FK,D,Tkl+Int,Live,Min,Min,Clr,np:G-xG,npxG+xAG,npxG+xAG,Crs,Def 3rd,Def 3rd,npxG,npxG,npxG,Def Pen,PKA,PKA,Mis,OG,OG,SoTA,xG+xAG,PassLive,PassLive,PSxG/SoT,Won%,Thr,TO,TO,G-xG,xG,xG,xG,G-PK,G-PK,PrgP,AvgDist,Ast,Ast,/90,CK,GA90,G+A-PK,TotDist,Starts,Starts,2CrdY,CrdR,CrdR,Dis,Sh,Sh,Sh,Sh,PSxG,Won,Stp%,Att Pen,Tkl%,Mid 3rd,Mid 3rd,PK,PK,Tkld%,PrgC,PrgC,SCA90,#OPA,CrdY,CrdY,PKatt,PKatt,PKatt,GCA90,Touches,CS,Dist,Fls,Succ,SoT,Carries,Att,Att,Att,Att,Off,Cmp,CPA,GCA,G/SoT,GA,GA,90s,90s,90s,90s,90s,90s,90s,90s,G+A,G+A,PassDead,PassDead,PKm,1/3,L
Ezri Konsa,,,,38,,0.0,0.0,0.0,0.0,24.0,,,24.0,24.0,24.0,24.0,24.0,18.0,42.0,18.0,0.0,1.0,0.0,64.0,0.22,0.0,0.0,,,0.0,3.0,26.0,26.0,33.3,8.0,37.0,,,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,DF,DF,DF,DF,DF,DF,0.0,1533.0,41.0,3.0,,,164.0,1.3,0.03,2.0,70.0,15.0,,20.0,20.0,,,0.0,11.0,11.0,3596.0,0.13,,,0.0,,68.0,2192.0,3322.0,,120.0,-1.1,2.3,0.06,4.0,25.0,1280.0,1.1,0.03,1.1,349.0,,,15.0,,0.0,,0.06,13.0,2.0,,59.8,,0.0,0.0,-1.1,1.1,0.03,1.1,0.0,0.0,56.0,,0.0,0.0,,,,0.0,6226.0,37,,0.0,0.0,0.0,5.0,23.0,1.0,0.0,8.0,,55.0,,22.0,69.2,15.0,850.0,0.0,0.0,20.0,7.0,7.0,0.41,,6.0,6.0,0.0,,0.0,0.05,2192.0,,8.0,12.0,5.0,0.0,1375.0,,,26.0,15.0,0.0,,0.0,2.0,,,,36.9,,,36.9,36.9,36.9,36.9,36.9,0.0,0.0,0.0,0.0,,9.0,
Emiliano Martínez,38.0,35.5,50.5,36,36.0,0.0,0.0,0.0,,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,60.0,483.0,,1.0,1.0,1.0,,2.0,0.0,1.0,1171.0,2.6,74.2,20.0,ar ARG,ar ARG,ar ARG,ar ARG,ar ARG,ar ARG,GK,GK,GK,GK,GK,GK,0.0,707.0,0.0,0.0,17.0,30.6,41.0,0.3,0.01,0.0,0.0,5.0,2.09,0.0,0.0,33.0,40.7,1.0,0.0,0.0,2627.0,,97.0,1.0,0.0,7.0,1.0,1479.0,3139.0,3139.0,23.0,0.0,0.3,0.01,0.0,0.0,1463.0,0.0,0.0,0.0,1218.0,4.0,4.0,2.0,4.0,1.0,132.0,0.01,3.0,0.0,0.24,100.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,0.0,0.0,0.07,6.0,1.09,0.0,4474.0,36,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.6,13.0,12.4,0.0,0.0,0.0,17.0,0.0,0.0,,0.0,0.0,0.14,73.0,7.0,7.0,0.0,5.0,0.0,0.0,1479.0,11.0,,1.0,0.0,0.0,851.0,523.0,212.0,2.0,0.0,0.0,199.0,0.0,0.0,,38.0,38.0,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,0.0,0.0,2.0,0.0,0.0,0.0,12.0
Ollie Watkins,,,,37,,15.0,0.43,15.0,53.6,26.0,,,26.0,26.0,26.0,26.0,26.0,17.0,19.0,10.0,1.0,11.0,1.0,39.0,2.42,0.0,0.0,,,0.17,0.0,10.0,10.0,27.7,17.0,100.0,,,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,FW,FW,FW,FW,FW,FW,1.3,684.0,21.0,36.0,,,59.0,3.8,0.11,3.0,488.0,79.0,,13.0,13.0,,,0.0,196.0,196.0,1164.0,0.18,,,0.0,,29.0,925.0,3127.0,,39.0,-0.9,18.7,0.54,9.0,3.0,86.0,14.9,0.43,14.9,47.0,,,82.0,,0.0,,0.58,51.0,6.0,,41.2,,6.0,2.0,-1.5,16.5,0.47,16.5,14.0,0.4,39.0,,6.0,0.17,,,,0.58,2519.0,36,,0.0,0.0,0.0,39.0,4.0,11.0,5.0,84.0,,70.0,,164.0,37.0,13.0,365.0,1.0,1.0,55.4,50.0,50.0,2.27,,4.0,4.0,2.0,,2.0,0.4,927.0,,12.6,26.0,18.0,45.0,475.0,,,27.0,65.0,18.0,,32.0,14.0,0.31,,,34.7,,,34.7,34.7,34.7,34.7,34.7,21.0,0.6,0.0,0.0,,24.0,
Tyrone Mings,,,,35,,1.0,0.03,1.0,28.6,29.0,,,29.0,29.0,29.0,29.0,29.0,19.0,15.0,9.0,1.0,4.0,1.0,22.0,0.2,0.0,0.0,,,0.14,2.0,54.0,54.0,50.0,11.0,24.0,,,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,DF,DF,DF,DF,DF,DF,0.06,1486.0,40.0,3.0,,,174.0,1.4,0.04,0.0,81.0,23.0,,7.0,7.0,,,0.0,7.0,7.0,4556.0,0.17,,,0.0,,69.0,2228.0,3150.0,,163.0,-0.2,2.6,0.07,3.0,10.0,1276.0,1.2,0.03,1.2,384.0,,,8.0,,1.0,,0.07,17.0,2.0,,71.8,,0.0,0.0,-0.2,1.2,0.03,1.2,1.0,0.03,111.0,,2.0,0.06,,,,0.09,7995.0,35,,0.0,0.0,0.0,7.0,21.0,2.0,1.0,7.0,,61.0,,21.0,45.0,5.0,877.0,0.0,0.0,25.0,20.0,20.0,0.66,,7.0,7.0,0.0,,0.0,0.11,2228.0,,12.1,18.0,6.0,2.0,1379.0,,,20.0,12.0,3.0,,3.0,4.0,0.5,,,35.0,,,35.0,35.0,35.0,35.0,35.0,3.0,0.09,0.0,0.0,,21.0,
Douglas Luiz,,,,37,,6.0,0.18,6.0,35.3,24.0,,,24.0,24.0,24.0,24.0,24.0,29.0,73.0,30.0,0.0,1.0,0.0,42.0,1.05,3.0,2.0,,,0.18,2.0,40.0,40.0,54.5,33.0,22.0,,,,,,br BRA,br BRA,br BRA,br BRA,br BRA,br BRA,MF,MF,MF,MF,MF,MF,0.37,1326.0,36.0,14.0,,,197.0,4.4,0.14,10.0,443.0,96.0,,42.0,42.0,,,0.0,35.0,35.0,2922.0,0.08,,,7.0,,113.0,2117.0,2927.0,,27.0,3.2,7.2,0.22,106.0,31.0,534.0,2.8,0.09,2.8,75.0,,,36.0,,0.0,,0.22,61.0,9.0,,53.2,,4.0,0.0,3.2,2.8,0.09,2.8,6.0,0.18,148.0,,6.0,0.18,,,,0.37,6297.0,33,,0.0,1.0,1.0,33.0,7.0,1.0,0.0,34.0,,25.0,,19.0,47.6,32.0,1161.0,0.0,0.0,31.8,48.0,48.0,2.95,,6.0,6.0,0.0,,0.0,0.37,2118.0,,25.0,48.0,24.0,12.0,1142.0,,,63.0,44.0,2.0,,4.0,12.0,0.5,,,32.5,,,32.5,32.5,32.5,32.5,32.5,12.0,0.37,26.0,1.0,,39.0,
Jacob Ramsey,,,,35,,6.0,0.2,6.0,39.4,21.0,,,21.0,21.0,21.0,21.0,21.0,40.0,69.0,32.0,0.0,5.0,1.0,45.0,1.13,1.0,0.0,,,0.18,0.0,23.0,23.0,40.3,37.0,33.0,,,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,"MF,FW","MF,FW","MF,FW","MF,FW","MF,FW","MF,FW",0.44,819.0,48.0,31.0,,,141.0,5.1,0.17,11.0,422.0,81.0,,39.0,39.0,,,1.0,119.0,119.0,2656.0,0.15,,,0.0,,92.0,1245.0,2636.0,,34.0,1.0,10.1,0.34,18.0,23.0,238.0,5.0,0.17,5.0,57.0,,,62.0,,1.0,,0.34,69.0,8.0,,32.7,,4.0,1.0,1.0,5.0,0.17,5.0,6.0,0.2,98.0,,7.0,0.24,,,,0.44,5322.0,31,,0.0,0.0,0.0,37.0,8.0,2.0,1.0,33.0,,16.0,,85.0,46.4,35.0,609.0,0.0,0.0,40.3,94.0,94.0,2.76,,5.0,5.0,0.0,,0.0,0.38,1245.0,,15.9,35.0,31.0,13.0,752.0,,,69.0,77.0,2.0,,21.0,11.0,0.46,,,29.3,,,29.3,29.3,29.3,29.3,29.3,13.0,0.44,0.0,0.0,,62.0,
John McGinn,,,,34,,1.0,0.03,1.0,26.2,27.0,,,27.0,27.0,27.0,27.0,27.0,39.0,66.0,34.0,2.0,5.0,2.0,66.0,1.4,1.0,0.0,,,0.02,0.0,24.0,24.0,64.3,37.0,21.0,,,,,,sct SCO,sct SCO,sct SCO,sct SCO,sct SCO,sct SCO,"MF,FW","MF,FW","MF,FW","MF,FW","MF,FW","MF,FW",0.37,888.0,43.0,14.0,,,176.0,2.6,0.09,10.0,388.0,80.0,,36.0,36.0,,,0.0,66.0,66.0,1799.0,0.06,,,0.0,,90.0,1348.0,2693.0,,19.0,-1.4,5.0,0.17,50.0,27.0,218.0,2.4,0.08,2.4,37.0,,,58.0,,0.0,,0.17,56.0,7.0,,51.2,,5.0,0.0,-1.4,2.4,0.08,2.4,1.0,0.03,140.0,,3.0,0.1,,,,0.13,4072.0,30,,0.0,0.0,0.0,35.0,4.0,3.0,0.0,42.0,,22.0,,45.0,47.9,29.0,756.0,0.0,0.0,20.0,34.0,34.0,2.67,,7.0,7.0,0.0,,0.0,0.33,1348.0,,23.6,41.0,45.0,11.0,804.0,,,71.0,70.0,0.0,,8.0,10.0,0.09,,,29.9,,,29.9,29.9,29.9,29.9,29.9,4.0,0.13,10.0,1.0,,35.0,
Emi Buendía,,,,38,,5.0,0.19,5.0,22.4,25.0,,,25.0,25.0,25.0,25.0,25.0,18.0,52.0,21.0,0.0,4.0,0.0,44.0,1.83,1.0,0.0,,,0.1,0.0,20.0,20.0,45.8,53.0,54.0,,,,,,ar ARG,ar ARG,ar ARG,ar ARG,ar ARG,ar ARG,"MF,FW","MF,FW","MF,FW","MF,FW","MF,FW","MF,FW",0.41,955.0,20.0,26.0,,,138.0,5.7,0.21,12.0,516.0,90.0,,23.0,23.0,,,0.0,137.0,137.0,1970.0,0.13,,,2.0,,72.0,1336.0,2412.0,,17.0,-1.3,12.0,0.45,18.0,20.0,202.0,6.3,0.24,6.3,38.0,,,63.0,,0.0,,0.45,72.0,7.0,,29.9,,8.0,1.0,-1.3,6.3,0.24,6.3,5.0,0.19,138.0,,2.0,0.07,,,,0.26,3957.0,27,,0.0,0.0,0.0,58.0,2.0,3.0,2.0,49.0,,23.0,,93.0,28.4,20.0,634.0,0.0,0.0,44.1,60.0,60.0,3.36,,0.0,0.0,0.0,,0.0,0.37,1336.0,,15.9,43.0,27.0,11.0,829.0,,,74.0,59.0,1.0,,19.0,10.0,0.45,,,26.8,,,26.8,26.8,26.8,26.8,26.8,7.0,0.26,2.0,0.0,,46.0,
Leon Bailey,,,,33,,4.0,0.18,4.0,27.5,24.0,,,24.0,24.0,24.0,24.0,24.0,13.0,14.0,5.0,0.0,3.0,0.0,22.0,2.33,0.0,0.0,,,0.08,0.0,6.0,6.0,36.0,15.0,46.0,,,,,,jm JAM,jm JAM,jm JAM,jm JAM,jm JAM,jm JAM,"FW,MF","FW,MF","FW,MF","FW,MF","FW,MF","FW,MF",0.64,561.0,13.0,55.0,,,72.0,4.8,0.22,1.0,456.0,62.0,,6.0,6.0,,,1.0,182.0,182.0,1703.0,0.1,,,3.0,,20.0,813.0,1967.0,,12.0,-1.3,10.1,0.46,96.0,6.0,91.0,5.3,0.24,5.3,16.0,,,48.0,,0.0,,0.46,40.0,5.0,,34.3,,10.0,0.0,-1.3,5.3,0.24,5.3,4.0,0.18,28.0,,4.0,0.18,,,,0.37,4022.0,26,,0.0,0.0,0.0,53.0,0.0,7.0,3.0,51.0,,24.0,,89.0,25.0,7.0,283.0,0.0,0.0,49.5,85.0,85.0,2.84,,4.0,4.0,0.0,,0.0,0.37,813.0,,18.1,29.0,40.0,14.0,520.0,,,20.0,111.0,9.0,,38.0,8.0,0.29,,,21.9,,,21.9,21.9,21.9,21.9,21.9,8.0,0.37,2.0,0.0,,33.0,
Ashley Young,,,,29,,1.0,0.04,1.0,20.0,37.0,,,37.0,37.0,37.0,37.0,37.0,14.0,50.0,37.0,0.0,0.0,0.0,28.0,0.66,0.0,0.0,,,0.07,0.0,21.0,21.0,36.4,12.0,11.0,,,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,DF,DF,DF,DF,DF,DF,0.13,767.0,25.0,10.0,,,131.0,1.0,0.04,1.0,252.0,40.0,,27.0,27.0,,,1.0,33.0,33.0,1554.0,0.03,,,0.0,,71.0,1411.0,2036.0,,65.0,0.5,1.4,0.06,42.0,34.0,502.0,0.5,0.02,0.5,86.0,,,18.0,,0.0,,0.06,34.0,2.0,,54.2,,2.0,0.0,0.5,0.5,0.02,0.5,1.0,0.04,107.0,,0.0,0.0,,,,0.04,3235.0,23,,0.0,0.0,0.0,5.0,11.0,1.0,0.0,15.0,,13.0,,10.0,75.5,15.0,675.0,0.0,0.0,45.5,29.0,29.0,1.77,,7.0,7.0,0.0,,0.0,0.09,1411.0,,25.1,24.0,8.0,3.0,701.0,,,49.0,22.0,1.0,,4.0,2.0,0.33,,,22.6,,,22.6,22.6,22.6,22.6,22.6,1.0,0.04,3.0,0.0,,20.0,
