Player,Cmp%,Launch%,Launch%,MP,MP,Gls,Gls,Gls,SoT%,Age,Age,Age,Age,Age,Age,Age,Age,Pass,Tkl,Tkl,PKwon,Fld,Fld,Fld,Sh/90,Def,Def,Stp,Opp,G/Sh,Err,Int,Int,Succ%,Lost,Lost,PKsv,Att (GK),PSxG+/-,Save%,Save%,Nation,Nation,Nation,Nation,Nation,Nation,Pos,Pos,Pos,Pos,Pos,Pos,SoT/90,Rec,Blocks,Tkld,W,CS%,Recov,xAG,xAG,Att 3rd,Att 3rd,SCA,#OPA/90,TklW,TklW,AvgLen,AvgLen,PKcon,PrgR,PrgR,PrgDist,npxG/Sh,Saves,FK,FK,D,Tkl+Int,Live,Min,Min,Clr,np:G-xG,npxG+xAG,npxG+xAG,Crs,Def 3rd,Def 3rd,npxG,npxG,npxG,Def Pen,PKA,PKA,Mis,OG,OG,SoTA,xG+xAG,PassLive,PassLive,PSxG/SoT,Won%,Thr,TO,TO,G-xG,xG,xG,xG,G-PK,G-PK,PrgP,AvgDist,Ast,Ast,/90,CK,GA90,G+A-PK,TotDist,Starts,Starts,2CrdY,CrdR,CrdR,Dis,Sh,Sh,Sh,Sh,PSxG,Won,Stp%,Att Pen,Tkl%,Mid 3rd,Mid 3rd,PK,PK,Tkld%,PrgC,PrgC,SCA90,#OPA,CrdY,CrdY,PKatt,PKatt,PKatt,GCA90,Touches,CS,Dist,Fls,Succ,SoT,Carries,Att,Att,Att,Att,Off,Cmp,CPA,GCA,G/SoT,GA,GA,90s,90s,90s,90s,90s,90s,90s,90s,G+A,G+A,PassDead,PassDead,PKm,1/3,L
Pascal Groß,,,,37,,9.0,0.25,9.0,48.7,31.0,,,31.0,31.0,31.0,31.0,31.0,22.0,59.0,25.0,0.0,1.0,0.0,18.0,1.08,1.0,0.0,,,0.23,1.0,13.0,13.0,51.5,30.0,36.0,,,,,,de GER,de GER,de GER,de GER,de GER,de GER,"MF,DF","MF,DF","MF,DF","MF,DF","MF,DF","MF,DF",0.53,1832.0,32.0,13.0,,,140.0,10.9,0.3,9.0,924.0,138.0,,38.0,38.0,,,1.0,209.0,209.0,3125.0,0.14,,,1.0,,72.0,2602.0,3239.0,,21.0,3.6,16.3,0.45,224.0,23.0,466.0,5.4,0.15,5.4,77.0,,,39.0,,1.0,,0.45,90.0,10.0,,21.7,,1.0,0.0,3.6,5.4,0.15,5.4,9.0,0.25,255.0,,8.0,0.22,,,,0.47,6723.0,37,,0.0,0.0,0.0,18.0,10.0,5.0,0.0,39.0,,10.0,,98.0,45.5,27.0,1225.0,0.0,0.0,39.4,62.0,62.0,3.83,,6.0,6.0,0.0,,0.0,0.33,2602.0,,17.4,35.0,17.0,19.0,1453.0,,,55.0,33.0,10.0,,8.0,12.0,0.47,,,36.0,,,36.0,36.0,36.0,36.0,36.0,17.0,0.47,40.0,2.0,,52.0,
Lewis Dunk,,,,36,,1.0,0.03,1.0,13.6,30.0,,,30.0,30.0,30.0,30.0,30.0,10.0,30.0,18.0,0.0,0.0,0.0,27.0,0.61,0.0,0.0,,,0.05,1.0,34.0,34.0,80.0,23.0,47.0,,,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,DF,DF,DF,DF,DF,DF,0.08,2586.0,37.0,0.0,,,253.0,1.0,0.03,2.0,97.0,32.0,,19.0,19.0,,,4.0,5.0,5.0,6327.0,0.08,,,1.0,,64.0,3461.0,3239.0,,81.0,-0.7,2.7,0.07,2.0,19.0,1665.0,1.7,0.05,1.7,428.0,,,13.0,,1.0,,0.07,31.0,2.0,,59.1,,0.0,0.0,-0.7,1.7,0.05,1.7,1.0,0.03,158.0,,0.0,0.0,,,,0.03,11410.0,36,,0.0,0.0,0.0,5.0,27.0,1.0,0.0,22.0,,68.0,,34.0,43.9,9.0,1712.0,0.0,0.0,0.0,19.0,19.0,0.89,,4.0,4.0,0.0,,0.0,0.06,3461.0,,11.7,18.0,4.0,3.0,2294.0,,,41.0,5.0,1.0,,0.0,2.0,0.33,,,36.0,,,36.0,36.0,36.0,36.0,36.0,1.0,0.03,0.0,0.0,,21.0,
Moisés Caicedo,,,,37,,1.0,0.03,1.0,28.6,20.0,,,20.0,20.0,20.0,20.0,20.0,36.0,100.0,40.0,0.0,1.0,0.0,54.0,0.8,1.0,0.0,,,0.04,3.0,56.0,56.0,51.9,28.0,20.0,,,,,,ec ECU,ec ECU,ec ECU,ec ECU,ec ECU,ec ECU,MF,MF,MF,MF,MF,MF,0.23,1891.0,43.0,21.0,,,248.0,2.7,0.08,12.0,558.0,88.0,,50.0,50.0,,,0.0,61.0,61.0,2876.0,0.06,,,0.0,,156.0,2603.0,3139.0,,31.0,-0.7,4.3,0.12,17.0,41.0,555.0,1.7,0.05,1.7,91.0,,,39.0,,0.0,,0.12,81.0,5.0,,64.9,,2.0,0.0,-0.7,1.7,0.05,1.7,1.0,0.03,219.0,,1.0,0.03,,,,0.06,6220.0,34,,0.0,0.0,0.0,23.0,7.0,3.0,0.0,28.0,,37.0,,28.0,58.8,47.0,1520.0,0.0,0.0,38.9,38.0,38.0,2.52,,10.0,10.0,0.0,,0.0,0.14,2603.0,,23.9,65.0,28.0,8.0,1507.0,,,68.0,54.0,0.0,,6.0,5.0,0.13,,,34.9,,,34.9,34.9,34.9,34.9,34.9,2.0,0.06,0.0,0.0,,32.0,
Alexis Mac Allister,,,,35,,10.0,0.31,10.0,35.0,23.0,,,23.0,23.0,23.0,23.0,23.0,24.0,70.0,34.0,0.0,4.0,0.0,57.0,2.49,2.0,0.0,,,0.05,1.0,22.0,22.0,58.3,37.0,16.0,,,,,,ar ARG,ar ARG,ar ARG,ar ARG,ar ARG,ar ARG,MF,MF,MF,MF,MF,MF,0.87,1644.0,26.0,21.0,,,213.0,4.3,0.13,8.0,644.0,106.0,,39.0,39.0,,,0.0,77.0,77.0,3072.0,0.09,,,8.0,,92.0,2176.0,2886.0,,10.0,-3.3,11.6,0.36,29.0,22.0,367.0,7.3,0.23,7.3,48.0,,,47.0,,1.0,,0.51,76.0,7.0,,61.0,,9.0,1.0,-2.1,12.1,0.38,12.1,4.0,0.12,174.0,,2.0,0.06,,,,0.19,6135.0,31,,0.0,0.0,0.0,36.0,2.0,8.0,0.0,80.0,,25.0,,63.0,47.9,40.0,1194.0,6.0,6.0,29.2,69.0,69.0,3.31,,8.0,8.0,6.0,,6.0,0.25,2182.0,,22.5,35.0,42.0,28.0,1319.0,,,71.0,72.0,0.0,,8.0,8.0,0.14,,,32.1,,,32.1,32.1,32.1,32.1,32.1,12.0,0.37,7.0,0.0,,74.0,
Solly March,,,,33,,7.0,0.23,7.0,41.9,28.0,,,28.0,28.0,28.0,28.0,28.0,31.0,53.0,8.0,0.0,4.0,0.0,39.0,2.45,2.0,0.0,,,0.09,0.0,24.0,24.0,50.9,20.0,38.0,,,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,"FW,DF","FW,DF","FW,DF","FW,DF","FW,DF","FW,DF",1.03,1124.0,34.0,35.0,,,125.0,8.4,0.28,20.0,962.0,140.0,,31.0,31.0,,,0.0,357.0,357.0,3074.0,0.11,,,1.0,,77.0,1659.0,2715.0,,32.0,-1.1,16.5,0.55,155.0,16.0,191.0,8.1,0.27,8.1,46.0,,,55.0,,0.0,,0.55,91.0,10.0,,43.3,,19.0,1.0,-1.1,8.1,0.27,8.1,7.0,0.23,135.0,,7.0,0.23,,,,0.46,6810.0,31,,0.0,0.0,0.0,32.0,3.0,9.0,2.0,74.0,,29.0,,138.0,28.6,17.0,521.0,0.0,0.0,30.7,110.0,110.0,4.64,,2.0,2.0,0.0,,0.0,0.46,1659.0,,16.2,46.0,58.0,31.0,1024.0,,,28.0,114.0,12.0,,47.0,14.0,0.23,,,30.2,,,30.2,30.2,30.2,30.2,30.2,14.0,0.46,15.0,1.0,,48.0,
Pervis Estupiñán,,,,35,,1.0,0.03,1.0,13.8,24.0,,,24.0,24.0,24.0,24.0,24.0,22.0,61.0,35.0,1.0,2.0,1.0,26.0,0.98,0.0,0.0,,,0.03,1.0,37.0,37.0,45.2,25.0,28.0,,,,,,ec ECU,ec ECU,ec ECU,ec ECU,ec ECU,ec ECU,DF,DF,DF,DF,DF,DF,0.13,1434.0,30.0,18.0,,,191.0,5.4,0.18,6.0,649.0,87.0,,31.0,31.0,,,1.0,183.0,183.0,3440.0,0.06,,,0.0,,98.0,2211.0,2675.0,,37.0,-0.7,7.1,0.24,101.0,36.0,506.0,1.7,0.06,1.7,82.0,,,38.0,,0.0,,0.24,78.0,7.0,,56.3,,3.0,0.0,-0.7,1.7,0.06,1.7,1.0,0.03,157.0,,5.0,0.17,,,,0.2,6134.0,31,,0.0,0.0,0.0,29.0,8.0,0.0,0.0,29.0,,36.0,,71.0,58.3,19.0,1076.0,0.0,0.0,42.9,91.0,91.0,2.93,,4.0,4.0,0.0,,0.0,0.27,2211.0,,19.3,42.0,19.0,4.0,1292.0,,,60.0,42.0,11.0,,15.0,8.0,0.25,,,29.7,,,29.7,29.7,29.7,29.7,29.7,6.0,0.2,4.0,0.0,,55.0,
Joël Veltman,,,,31,,1.0,0.04,1.0,33.3,30.0,,,30.0,30.0,30.0,30.0,30.0,19.0,62.0,37.0,0.0,0.0,0.0,38.0,0.62,1.0,0.0,,,0.07,0.0,19.0,19.0,25.0,20.0,18.0,,,,,,nl NED,nl NED,nl NED,nl NED,nl NED,nl NED,DF,DF,DF,DF,DF,DF,0.21,1065.0,27.0,8.0,,,125.0,0.7,0.03,4.0,293.0,36.0,,32.0,32.0,,,1.0,49.0,49.0,2233.0,0.12,,,0.0,,81.0,1740.0,2188.0,,51.0,-0.8,2.5,0.1,23.0,44.0,563.0,1.8,0.07,1.8,92.0,,,20.0,,0.0,,0.1,30.0,3.0,,59.1,,0.0,0.0,-0.8,1.8,0.07,1.8,1.0,0.04,153.0,,1.0,0.04,,,,0.08,4436.0,25,,0.0,0.0,0.0,10.0,8.0,1.0,1.0,15.0,,26.0,,23.0,64.9,14.0,895.0,0.0,0.0,40.0,43.0,43.0,1.48,,6.0,6.0,0.0,,0.0,0.16,1740.0,,16.3,27.0,5.0,5.0,952.0,,,57.0,20.0,0.0,,2.0,4.0,0.2,,,24.3,,,24.3,24.3,24.3,24.3,24.3,2.0,0.08,4.0,0.0,,32.0,
Kaoru Mitoma,,,,33,,7.0,0.27,7.0,40.4,25.0,,,25.0,25.0,25.0,25.0,25.0,25.0,44.0,20.0,1.0,4.0,1.0,27.0,2.02,2.0,0.0,,,0.13,0.0,17.0,17.0,45.4,21.0,19.0,,,,,,jp JPN,jp JPN,jp JPN,jp JPN,jp JPN,jp JPN,"FW,MF","FW,MF","FW,MF","FW,MF","FW,MF","FW,MF",0.82,986.0,25.0,55.0,,,120.0,6.4,0.25,13.0,716.0,109.0,,27.0,27.0,,,0.0,260.0,260.0,3828.0,0.16,,,0.0,,61.0,1312.0,2318.0,,10.0,-1.1,14.5,0.56,41.0,15.0,146.0,8.1,0.31,8.1,18.0,,,60.0,,0.0,,0.56,78.0,10.0,,48.6,,19.0,3.0,-1.1,8.1,0.31,8.1,7.0,0.27,90.0,,5.0,0.19,,,,0.47,6882.0,24,,0.0,0.0,0.0,33.0,0.0,5.0,2.0,52.0,,18.0,,177.0,48.8,16.0,466.0,0.0,0.0,42.3,143.0,143.0,4.23,,0.0,0.0,0.0,,0.0,0.62,1312.0,,13.2,29.0,59.0,21.0,891.0,,,41.0,130.0,6.0,,85.0,16.0,0.33,,,25.8,,,25.8,25.8,25.8,25.8,25.8,12.0,0.47,1.0,0.0,,82.0,
Robert Sánchez,29.3,24.2,37.4,23,23.0,0.0,0.0,0.0,,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,229.0,,2.0,3.0,3.0,,0.0,0.0,1.0,645.0,-2.8,66.2,16.7,es ESP,es ESP,es ESP,es ESP,es ESP,es ESP,GK,GK,GK,GK,GK,GK,0.0,480.0,0.0,0.0,11.0,26.1,25.0,0.0,0.0,0.0,0.0,2.0,0.57,0.0,0.0,28.9,35.1,1.0,0.0,0.0,1458.0,,46.0,0.0,0.0,5.0,4.0,826.0,2070.0,2070.0,9.0,0.0,0.0,0.0,0.0,1.0,822.0,0.0,0.0,0.0,692.0,5.0,5.0,0.0,3.0,0.0,74.0,0.0,2.0,0.0,0.25,100.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.3,0.0,0.0,-0.12,4.0,1.3,0.0,2418.0,23,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.2,7.0,7.4,0.0,,0.0,4.0,0.0,0.0,,0.0,0.0,0.09,13.0,2.0,2.0,0.0,6.0,0.0,0.0,826.0,6.0,,1.0,0.0,0.0,523.0,205.0,131.0,0.0,0.0,0.0,60.0,0.0,0.0,,30.0,30.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Adam Webster,,,,27,,0.0,0.0,0.0,11.1,27.0,,,27.0,27.0,27.0,27.0,27.0,11.0,22.0,11.0,0.0,0.0,0.0,6.0,0.82,0.0,0.0,,,0.0,4.0,19.0,19.0,37.5,8.0,27.0,,,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,DF,DF,DF,DF,DF,DF,0.09,1369.0,30.0,4.0,,,143.0,0.2,0.01,3.0,108.0,20.0,,12.0,12.0,,,0.0,9.0,9.0,3739.0,0.1,,,0.0,,41.0,1888.0,1985.0,,55.0,-1.8,1.9,0.09,2.0,10.0,819.0,1.8,0.08,1.8,170.0,,,11.0,,1.0,,0.09,19.0,1.0,,69.0,,0.0,0.0,-1.8,1.8,0.08,1.8,0.0,0.0,119.0,,0.0,0.0,,,,0.0,6306.0,23,,0.0,0.0,0.0,5.0,19.0,0.0,0.0,18.0,,60.0,,27.0,57.9,9.0,969.0,0.0,0.0,50.0,19.0,19.0,0.91,,2.0,2.0,0.0,,0.0,0.05,1888.0,,11.2,10.0,3.0,2.0,1228.0,,,19.0,8.0,1.0,,0.0,1.0,0.0,,,22.1,,,22.1,22.1,22.1,22.1,22.1,0.0,0.0,1.0,0.0,,18.0,
