Player,L,Def,Def,SoT,PassDead,PassDead,PrgR,PrgR,G+A-PK,Fld,Fld,Fld,Gls,Gls,Gls,Thr,TO,TO,Recov,xG+xAG,Stp%,Mis,GCA,PassLive,PassLive,Crs,xAG,xAG,Ast,Ast,/90,Att,Att,Att,Att,Starts,Starts,G/Sh,SoTA,Tkl+Int,D,Int,Int,Live,GCA90,Att 3rd,Att 3rd,SCA90,Succ,Cmp,G-PK,G-PK,Save%,Save%,OG,OG,CS,Off,npxG,npxG,npxG,Att Pen,Age,Age,Age,Age,Age,Age,Age,Age,90s,90s,90s,90s,90s,90s,90s,90s,PSxG+/-,npxG/Sh,Pass,PrgDist,Saves,FK,FK,Rec,AvgDist,G+A,G+A,CrdY,CrdY,W,Blocks,G-xG,CS%,Tkl,Tkl,PSxG,Tkld%,Tkld,Att (GK),Err,#OPA,Sh/90,Lost,Lost,PKwon,PK,PK,Succ%,CrdR,CrdR,Dis,PrgP,SoT%,Def Pen,GA,GA,CK,Nation,Nation,Nation,Nation,Nation,Nation,TotDist,SCA,Won%,PKA,PKA,PrgC,PrgC,Won,PKm,xG,xG,xG,Mid 3rd,Mid 3rd,np:G-xG,Def 3rd,Def 3rd,PKatt,PKatt,PKatt,Clr,npxG+xAG,npxG+xAG,Fls,Sh,Sh,Sh,Sh,Tkl%,Carries,G/SoT,2CrdY,Cmp%,CPA,#OPA/90,TklW,TklW,MP,MP,Touches,Launch%,Launch%,Opp,Dist,1/3,Pos,Pos,Pos,Pos,Pos,Pos,PSxG/SoT,Stp,PKsv,Min,Min,GA90,PKcon,AvgLen,AvgLen,SoT/90
James Tarkowski,,1.0,0.0,9.0,0.0,0.0,11.0,11.0,0.05,0.0,0.0,23.0,1.0,0.03,1.0,,0.0,0.0,173.0,0.16,,22.0,2.0,17.0,1.0,0.0,2.9,0.08,1.0,0.03,,,,38.0,10.0,38,,0.03,,102.0,,51.0,51.0,2119.0,0.05,2.0,113.0,0.61,9.0,,1.0,0.03,,,,0.0,,2.0,3.1,0.08,3.1,81.0,29.0,,,29.0,29.0,29.0,29.0,29.0,38.0,,,38.0,38.0,38.0,38.0,38.0,,0.1,21.0,2295.0,,,0.0,1209.0,,2.0,0.05,6.0,6.0,,99.0,-2.1,,51.0,20.0,,10.0,1.0,,3.0,,0.84,18.0,48.0,0.0,0.0,0.0,90.0,0.0,0.0,5.0,106.0,28.1,369.0,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,4413.0,23.0,71.4,,,13.0,13.0,120.0,,3.1,0.08,3.1,13.0,926.0,-2.1,36.0,1090.0,0.0,,0.0,201.0,6.0,0.16,40.0,78.0,5.0,1.0,32.0,52.6,982.0,0.11,0.0,,1.0,,26.0,26.0,38,,2119.0,,,,9.0,3.0,DF,DF,DF,DF,DF,DF,,,,3420.0,,,1.0,,,0.24
Alex Iwobi,,2.0,0.0,15.0,9.0,0.0,145.0,145.0,0.24,3.0,1.0,15.0,2.0,0.05,2.0,,8.0,0.0,259.0,0.23,,68.0,9.0,91.0,8.0,104.0,6.1,0.16,7.0,0.19,,,,65.0,110.0,38,,0.05,,94.0,,25.0,25.0,1912.0,0.24,4.0,709.0,3.2,55.0,,2.0,0.05,,,,0.0,,4.0,2.5,0.07,2.5,59.0,26.0,,,26.0,26.0,26.0,26.0,26.0,37.5,,,37.5,37.5,37.5,37.5,37.5,,0.06,39.0,3434.0,,,0.0,1285.0,,9.0,0.24,2.0,2.0,,41.0,-0.5,,69.0,33.0,,45.5,50.0,,0.0,,1.12,32.0,28.0,1.0,0.0,0.0,50.0,0.0,0.0,42.0,194.0,35.7,52.0,,,,ng NGA,ng NGA,ng NGA,ng NGA,ng NGA,ng NGA,6913.0,120.0,26.3,,,90.0,90.0,10.0,,2.5,0.07,2.5,28.0,892.0,-0.5,37.0,359.0,0.0,,0.0,29.0,8.5,0.23,19.0,2.0,7.0,0.0,42.0,50.8,1169.0,0.13,0.0,,15.0,,37.0,37.0,38,,1912.0,,,,21.0,79.0,"MF,FW","MF,FW","MF,FW","MF,FW","MF,FW","MF,FW",,,,3378.0,,,0.0,,,0.4
Jordan Pickford,18.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.03,0.0,0.0,5.0,0.0,0.0,0.0,151.0,0.0,0.0,36.0,0.0,3.9,1.0,1.0,4.0,1.0,0.0,0.1,0.0,1.0,0.03,0.08,801.0,315.0,1.0,0.0,37,37.0,,181.0,4.0,12.0,4.0,4.0,1413.0,0.03,0.0,0.0,0.27,0.0,270.0,0.0,0.0,71.3,16.7,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,3.0,,0.0,3221.0,123.0,2.0,0.0,548.0,16.2,1.0,0.03,6.0,6.0,7.0,0.0,0.0,21.6,0.0,0.0,60.0,,0.0,992.0,3.0,52.0,0.0,1.0,3.0,0.0,0.0,0.0,,0.0,0.0,1.0,2.0,,1030.0,57.0,57.0,4.0,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,4810.0,10.0,72.7,5.0,5.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,1359.0,0.0,6.0,0.0,15.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,732.0,,0.0,33.7,0.0,1.41,0.0,0.0,37,37.0,1413.0,58.1,71.4,566.0,,0.0,GK,GK,GK,GK,GK,GK,0.31,22.0,1.0,3330.0,3330.0,1.54,1.0,43.0,52.7,0.0
Idrissa Gana Gueye,,5.0,1.0,6.0,0.0,0.0,19.0,19.0,0.03,7.0,0.0,50.0,0.0,0.0,0.0,,1.0,0.0,266.0,0.06,,31.0,3.0,36.0,2.0,10.0,1.1,0.04,1.0,0.03,,,,60.0,35.0,32,,0.0,,153.0,,56.0,56.0,1563.0,0.1,13.0,237.0,1.78,19.0,,0.0,0.0,,,,0.0,,0.0,0.7,0.03,0.7,11.0,32.0,,,32.0,32.0,32.0,32.0,32.0,28.6,,,28.6,28.6,28.6,28.6,28.6,,0.05,38.0,1829.0,,,1.0,845.0,,1.0,0.03,7.0,7.0,,50.0,-0.7,,97.0,31.0,,25.7,9.0,,3.0,,0.52,29.0,22.0,0.0,0.0,0.0,54.3,0.0,0.0,18.0,98.0,40.0,77.0,,,,sn SEN,sn SEN,sn SEN,sn SEN,sn SEN,sn SEN,3942.0,51.0,55.1,,,27.0,27.0,27.0,,0.7,0.03,0.7,35.0,893.0,-0.7,49.0,451.0,0.0,,0.0,34.0,1.8,0.06,43.0,12.0,2.0,0.0,15.0,51.7,821.0,0.0,0.0,,3.0,,57.0,57.0,33,,1563.0,,,,25.1,26.0,MF,MF,MF,MF,MF,MF,,,,2577.0,,,1.0,,,0.21
Vitaliy Mykolenko,,0.0,0.0,3.0,1.0,0.0,72.0,72.0,0.0,2.0,0.0,21.0,0.0,0.0,0.0,,0.0,0.0,150.0,0.06,,32.0,3.0,41.0,2.0,57.0,1.2,0.04,0.0,0.0,,,,51.0,25.0,30,,0.0,,104.0,,46.0,46.0,1625.0,0.1,3.0,370.0,1.56,11.0,,0.0,0.0,,,,0.0,,0.0,0.5,0.02,0.5,26.0,23.0,,,23.0,23.0,23.0,23.0,23.0,29.5,,,29.5,29.5,29.5,29.5,29.5,,0.05,34.0,1491.0,,,0.0,798.0,,0.0,0.0,4.0,4.0,,50.0,-0.5,,58.0,28.0,,56.0,14.0,,0.0,,0.34,23.0,34.0,0.0,0.0,0.0,44.0,0.0,0.0,8.0,100.0,30.0,124.0,,,,ua UKR,ua UKR,ua UKR,ua UKR,ua UKR,ua UKR,3103.0,46.0,42.4,,,31.0,31.0,25.0,,0.5,0.02,0.5,19.0,693.0,-0.5,36.0,576.0,0.0,,0.0,99.0,1.8,0.06,29.0,16.0,2.0,1.0,10.0,54.9,701.0,0.0,0.0,,7.0,,34.0,34.0,34,,1625.0,,,,20.3,33.0,DF,DF,DF,DF,DF,DF,,,,2655.0,,,0.0,,,0.1
Amadou Onana,,2.0,0.0,6.0,0.0,0.0,49.0,49.0,0.11,5.0,0.0,49.0,1.0,0.04,1.0,,1.0,0.0,150.0,0.2,,49.0,2.0,35.0,2.0,5.0,2.6,0.09,2.0,0.07,,,,42.0,52.0,29,,0.03,,109.0,,37.0,37.0,1310.0,0.07,6.0,295.0,1.63,18.0,,1.0,0.04,,,,0.0,,2.0,3.0,0.11,3.0,52.0,20.0,,,20.0,20.0,20.0,20.0,20.0,27.6,,,27.6,27.6,27.6,27.6,27.6,,0.09,19.0,1436.0,,,0.0,871.0,,3.0,0.11,9.0,9.0,,25.0,-2.0,,72.0,30.0,,44.2,23.0,,0.0,,1.23,12.0,55.0,0.0,0.0,0.0,34.6,0.0,0.0,17.0,79.0,17.6,58.0,,,,be BEL,be BEL,be BEL,be BEL,be BEL,be BEL,3563.0,45.0,52.2,,,27.0,27.0,60.0,,3.0,0.11,3.0,42.0,745.0,-2.0,24.0,287.0,0.0,,0.0,39.0,5.6,0.2,44.0,6.0,2.0,0.0,34.0,71.4,684.0,0.17,0.0,,4.0,,43.0,43.0,33,,1310.0,,,,16.8,30.0,MF,MF,MF,MF,MF,MF,,,,2488.0,,,0.0,,,0.22
Dwight McNeil,,2.0,1.0,15.0,36.0,3.0,128.0,128.0,0.36,2.0,1.0,21.0,7.0,0.25,7.0,,9.0,3.0,175.0,0.35,,53.0,12.0,53.0,4.0,194.0,6.1,0.22,3.0,0.11,,,,62.0,108.0,28,,0.15,,95.0,,31.0,31.0,1357.0,0.43,15.0,614.0,3.89,54.0,,7.0,0.25,,,,0.0,,1.0,3.5,0.13,3.5,61.0,22.0,,,22.0,22.0,22.0,22.0,22.0,27.8,,,27.8,27.8,27.8,27.8,27.8,,0.08,39.0,2144.0,,,1.0,762.0,,10.0,0.36,5.0,5.0,,46.0,3.5,,64.0,27.0,,47.2,51.0,,0.0,,1.66,35.0,18.0,1.0,0.0,0.0,50.0,0.0,0.0,45.0,69.0,32.6,52.0,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,5432.0,108.0,43.8,,,76.0,76.0,14.0,,3.5,0.13,3.5,14.0,505.0,3.5,35.0,266.0,0.0,,0.0,41.0,9.6,0.35,22.0,7.0,6.0,0.0,46.0,43.5,738.0,0.47,0.0,,16.0,,41.0,41.0,36,,1358.0,,,,20.5,44.0,"FW,MF","FW,MF","FW,MF","FW,MF","FW,MF","FW,MF",,,,2498.0,,,0.0,,,0.54
Demarai Gray,,3.0,0.0,22.0,25.0,2.0,199.0,199.0,0.11,10.0,0.0,51.0,4.0,0.14,4.0,,4.0,0.0,98.0,0.36,,86.0,5.0,41.0,3.0,173.0,3.8,0.14,1.0,0.04,,,,31.0,92.0,27,,0.04,,46.0,,13.0,13.0,1179.0,0.18,10.0,652.0,3.37,33.0,,2.0,0.07,,,,0.0,,13.0,4.7,0.17,4.7,104.0,26.0,,,26.0,26.0,26.0,26.0,26.0,27.9,,,27.9,27.9,27.9,27.9,27.9,,0.08,20.0,2465.0,,,8.0,781.0,,5.0,0.18,3.0,3.0,,23.0,-2.2,,33.0,17.0,,45.7,42.0,,0.0,,2.05,14.0,45.0,0.0,2.0,2.0,35.9,0.0,0.0,66.0,46.0,38.6,22.0,,,,jm JAM,jm JAM,jm JAM,jm JAM,jm JAM,jm JAM,5100.0,94.0,22.4,,,94.0,94.0,13.0,,6.2,0.22,6.2,14.0,441.0,-2.7,9.0,110.0,2.0,,2.0,18.0,8.5,0.3,24.0,3.0,11.0,0.0,57.0,54.8,720.0,0.09,0.0,,48.0,,24.0,24.0,33,,1181.0,,,,19.5,62.0,"FW,MF","FW,MF","FW,MF","FW,MF","FW,MF","FW,MF",,,,2507.0,,,0.0,,,0.79
Conor Coady,,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.09,1.0,0.0,13.0,1.0,0.04,1.0,,0.0,0.0,92.0,0.05,,6.0,1.0,15.0,1.0,1.0,0.3,0.01,1.0,0.04,,,,15.0,3.0,23,,0.25,,28.0,,14.0,14.0,1363.0,0.04,0.0,29.0,0.73,0.0,,1.0,0.04,,,,0.0,,2.0,0.8,0.04,0.8,10.0,29.0,,,29.0,29.0,29.0,29.0,29.0,23.3,,,23.3,23.3,23.3,23.3,23.3,,0.21,4.0,2414.0,,,0.0,984.0,,2.0,0.09,2.0,2.0,,21.0,0.2,,14.0,7.0,,66.7,2.0,,3.0,,0.17,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,43.0,50.0,238.0,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,4154.0,17.0,51.0,,,4.0,4.0,25.0,,0.8,0.04,0.8,6.0,547.0,0.2,8.0,795.0,0.0,,0.0,88.0,1.2,0.05,11.0,17.0,1.0,0.0,4.0,46.7,882.0,0.5,0.0,,0.0,,9.0,9.0,24,,1363.0,,,,8.5,4.0,DF,DF,DF,DF,DF,DF,,,,2096.0,,,0.0,,,0.09
Séamus Coleman,,0.0,0.0,2.0,1.0,0.0,37.0,37.0,0.05,3.0,0.0,21.0,1.0,0.05,1.0,,1.0,0.0,100.0,0.07,,30.0,2.0,15.0,2.0,22.0,0.9,0.05,0.0,0.0,,,,29.0,36.0,20,,0.14,,57.0,,22.0,22.0,990.0,0.11,4.0,246.0,1.14,16.0,,1.0,0.05,,,,0.0,,2.0,0.4,0.02,0.4,21.0,33.0,,,33.0,33.0,33.0,33.0,33.0,18.4,,,18.4,18.4,18.4,18.4,18.4,,0.05,7.0,925.0,,,0.0,481.0,,1.0,0.05,1.0,1.0,,14.0,0.6,,35.0,19.0,,41.7,15.0,,2.0,,0.38,10.0,16.0,0.0,0.0,0.0,44.4,0.0,0.0,6.0,61.0,28.6,81.0,,,,ie IRL,ie IRL,ie IRL,ie IRL,ie IRL,ie IRL,2049.0,21.0,52.9,,,13.0,13.0,18.0,,0.4,0.02,0.4,10.0,416.0,0.6,21.0,334.0,0.0,,0.0,58.0,1.2,0.07,10.0,7.0,1.0,0.0,7.0,65.5,457.0,0.5,0.0,,3.0,,26.0,26.0,23,,990.0,,,,21.9,10.0,DF,DF,DF,DF,DF,DF,,,,1656.0,,,0.0,,,0.11
