Player,Recov,CK,SCA90,Att (GK),PKatt,PKatt,PKatt,Nation,Nation,Nation,Nation,Nation,Nation,Fls,GCA,1/3,Clr,Att 3rd,Att 3rd,npxG,npxG,npxG,TklW,TklW,Won%,GA,GA,L,Rec,Succ,SoT%,TO,TO,G/Sh,PKwon,Pass,Def,Def,Won,npxG/Sh,np:G-xG,Off,Crs,PKm,PrgC,PrgC,Ast,Ast,Launch%,Launch%,W,CS%,#OPA/90,Dist,Blocks,G-PK,G-PK,PSxG/SoT,Pos,Pos,Pos,Pos,Pos,Pos,/90,Def 3rd,Def 3rd,Gls,Gls,Gls,CrdY,CrdY,CrdR,CrdR,Fld,Fld,Fld,xG+xAG,PassLive,PassLive,Att Pen,SCA,PKcon,AvgLen,AvgLen,Touches,PrgDist,Tkl%,xG,xG,xG,Saves,G+A-PK,Succ%,SoT/90,Save%,Save%,Mid 3rd,Mid 3rd,PK,PK,2CrdY,Cmp%,AvgDist,D,npxG+xAG,npxG+xAG,Tkl,Tkl,Lost,Lost,Cmp,Tkl+Int,Def Pen,CS,Thr,MP,MP,Starts,Starts,PrgP,OG,OG,Mis,G-xG,90s,90s,90s,90s,90s,90s,90s,90s,SoTA,PKA,PKA,Opp,Age,Age,Age,Age,Age,Age,Age,Age,PKsv,Tkld%,PrgR,PrgR,Min,Min,PassDead,PassDead,FK,FK,Dis,GA90,GCA90,Sh/90,Carries,G/SoT,Stp%,Att,Att,Att,Att,#OPA,TotDist,PSxG,Err,Tkld,Live,PSxG+/-,Sh,Sh,Sh,Sh,SoT,xAG,xAG,CPA,G+A,G+A,Stp,Int,Int
Robin Koch,193.0,,0.43,,0.0,,0.0,de GER,de GER,de GER,de GER,de GER,de GER,35.0,2.0,8.0,152.0,5.0,106.0,1.5,0.04,1.5,30.0,30.0,61.7,,,,1102.0,1.0,23.5,0.0,0.0,0.0,0.0,23.0,0.0,0.0,111.0,0.09,-1.5,1.0,1.0,,11.0,11.0,0.0,0.0,,,,,,11.1,44.0,0.0,0.0,,DF,DF,DF,DF,DF,DF,,32.0,1051.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,17.0,0.06,11.0,2.0,32.0,15.0,0.0,,,1963.0,2583.0,42.9,1.5,0.04,1.5,,0.0,33.3,0.11,,,16.0,820.0,0.0,0.0,0.0,,,,1.9,0.06,53.0,24.0,32.0,69.0,,96.0,263.0,,,36,,36,,114.0,,1.0,15.0,-1.5,35.3,,,35.3,35.3,35.3,35.3,35.3,,,,,26.0,,,26.0,26.0,26.0,26.0,26.0,,66.7,11.0,11.0,3175.0,,2.0,0.0,,0.0,1.0,,0.06,0.48,1013.0,0.0,,,,56.0,3.0,,4700.0,,1.0,2.0,1963.0,,21.0,2.0,0.0,17.0,4.0,0.4,0.01,0.0,0.0,0.0,,43.0,43.0
Illan Meslier,34.0,7.0,0.12,794.0,0.0,3.0,0.0,fr FRA,fr FRA,fr FRA,fr FRA,fr FRA,fr FRA,1.0,0.0,0.0,30.0,0.0,2.0,0.1,0.0,0.1,1.0,1.0,76.9,67.0,67.0,18.0,424.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.12,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.4,56.2,7.0,14.7,1.94,9.0,0.0,0.0,0.0,0.32,GK,GK,GK,GK,GK,GK,-0.36,2.0,1116.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,1.0,4.0,0.0,33.7,43.5,1122.0,1969.0,50.0,0.1,0.0,0.1,92.0,0.0,,0.03,59.5,0.0,0.0,5.0,0.0,0.0,0.0,23.6,15.8,9.0,0.1,0.0,2.0,2.0,2.0,3.0,106.0,3.0,903.0,5.0,194.0,34,34.0,34,34.0,0.0,1.0,0.0,1.0,-0.1,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,158.0,3.0,3.0,432.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0.0,,0.0,0.0,3060.0,3060.0,2.0,0.0,1.0,0.0,1.0,1.97,0.0,0.03,596.0,0.0,7.9,449.0,242.0,4.0,0.0,66.0,3396.0,53.6,3.0,0.0,1122.0,-12.4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,1.0,1.0
Jack Harrison,174.0,,3.79,,0.0,,0.0,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,38.0,9.0,56.0,25.0,21.0,836.0,4.7,0.16,4.7,17.0,17.0,10.6,,,,1037.0,48.0,35.9,7.0,1.0,0.13,0.0,45.0,2.0,0.0,5.0,0.12,0.3,3.0,186.0,,103.0,103.0,7.0,0.23,,,,,,17.8,47.0,5.0,0.17,,"FW,MF","FW,MF","FW,MF","FW,MF","FW,MF","FW,MF",,5.0,192.0,5.0,0.17,5.0,2.0,2.0,0.0,0.0,5.0,0.0,37.0,0.33,68.0,6.0,81.0,114.0,0.0,,,1556.0,2584.0,23.1,4.7,0.16,4.7,,0.4,40.7,0.47,,,15.0,549.0,0.0,0.0,0.0,,,,9.8,0.33,41.0,12.0,40.0,42.0,,63.0,31.0,,,36,,34,,103.0,,0.0,92.0,0.3,30.1,,,30.1,30.1,30.1,30.1,30.1,,,,,25.0,,,25.0,25.0,25.0,25.0,25.0,,50.0,255.0,255.0,2708.0,,27.0,1.0,,3.0,61.0,,0.3,1.3,959.0,0.36,,,,52.0,118.0,,5271.0,,0.0,59.0,1556.0,,2.0,5.0,1.0,39.0,14.0,5.1,0.17,24.0,12.0,0.4,,22.0,22.0
Marc Roca,169.0,,2.02,,0.0,,0.0,es ESP,es ESP,es ESP,es ESP,es ESP,es ESP,40.0,4.0,18.0,24.0,5.0,333.0,2.1,0.08,2.1,40.0,40.0,58.1,,,,948.0,17.0,37.1,2.0,0.0,0.03,0.0,24.0,1.0,0.0,18.0,0.06,-1.1,0.0,76.0,,25.0,25.0,2.0,0.08,,,,,,22.3,34.0,1.0,0.04,,MF,MF,MF,MF,MF,MF,,27.0,333.0,1.0,0.04,1.0,7.0,7.0,0.0,0.0,2.0,1.0,29.0,0.19,34.0,1.0,26.0,52.0,0.0,,,1571.0,1914.0,30.8,2.1,0.08,2.1,,0.12,56.7,0.51,,,34.0,914.0,0.0,0.0,0.0,,,,5.0,0.19,66.0,20.0,45.0,13.0,,89.0,47.0,,,32,,29,,172.0,,0.0,26.0,-1.1,25.7,,,25.7,25.7,25.7,25.7,25.7,,,,,25.0,,,25.0,25.0,25.0,25.0,25.0,,33.3,28.0,28.0,2315.0,,10.0,1.0,,4.0,26.0,,0.16,1.36,822.0,0.08,,,,65.0,30.0,,3627.0,,2.0,10.0,1571.0,,10.0,3.0,1.0,35.0,13.0,2.9,0.11,6.0,3.0,0.12,,23.0,23.0
Brenden Aaronson,128.0,,3.6,,0.0,,0.0,us USA,us USA,us USA,us USA,us USA,us USA,16.0,7.0,34.0,6.0,7.0,554.0,3.9,0.15,3.9,18.0,18.0,17.0,,,,767.0,34.0,22.0,7.0,0.0,0.02,0.0,40.0,1.0,1.0,8.0,0.09,-2.9,6.0,72.0,,43.0,43.0,3.0,0.11,,,,,,18.4,43.0,1.0,0.04,,"MF,FW","MF,FW","MF,FW","MF,FW","MF,FW","MF,FW",,16.0,116.0,1.0,0.04,1.0,2.0,2.0,0.0,0.0,8.0,1.0,55.0,0.31,57.0,3.0,72.0,95.0,0.0,,,1143.0,1532.0,32.6,3.9,0.15,3.9,,0.15,34.0,0.34,,,22.0,495.0,0.0,0.0,0.0,,,,8.1,0.31,45.0,15.0,31.0,39.0,,50.0,12.0,,,36,,28,,86.0,,0.0,71.0,-2.9,26.4,,,26.4,26.4,26.4,26.4,26.4,,,,,21.0,,,21.0,21.0,21.0,21.0,21.0,,48.0,151.0,151.0,2372.0,,17.0,1.0,,2.0,82.0,,0.27,1.56,686.0,0.11,,,,46.0,100.0,,3646.0,,1.0,48.0,1143.0,,3.0,5.0,1.0,41.0,9.0,4.2,0.16,13.0,4.0,0.15,,5.0,5.0
Pascal Struijk,139.0,,1.43,,0.0,,0.0,nl NED,nl NED,nl NED,nl NED,nl NED,nl NED,29.0,2.0,25.0,70.0,10.0,379.0,1.4,0.06,1.4,57.0,57.0,58.3,,,,803.0,9.0,43.8,0.0,0.0,0.13,0.0,20.0,1.0,0.0,60.0,0.09,0.6,0.0,21.0,,24.0,24.0,1.0,0.04,,,,,,13.4,32.0,2.0,0.08,,DF,DF,DF,DF,DF,DF,,43.0,538.0,2.0,0.08,2.0,5.0,5.0,0.0,0.0,0.0,0.0,12.0,0.15,25.0,0.0,31.0,35.0,2.0,,,1619.0,1465.0,65.3,1.4,0.06,1.4,,0.12,50.0,0.29,,,31.0,708.0,0.0,0.0,0.0,,,,3.7,0.15,84.0,49.0,26.0,43.0,,116.0,92.0,,,29,,26,,119.0,,0.0,25.0,0.6,24.4,,,24.4,24.4,24.4,24.4,24.4,,,,,22.0,,,22.0,22.0,22.0,22.0,22.0,,38.9,53.0,53.0,2200.0,,4.0,0.0,,0.0,12.0,,0.08,0.65,700.0,0.29,,,,75.0,18.0,,2806.0,,1.0,7.0,1619.0,,12.0,5.0,2.0,16.0,7.0,2.4,0.1,1.0,3.0,0.12,,32.0,32.0
Tyler Adams,199.0,,1.79,,0.0,,0.0,us USA,us USA,us USA,us USA,us USA,us USA,37.0,1.0,21.0,29.0,10.0,254.0,0.1,0.0,0.1,46.0,46.0,62.5,,,,919.0,7.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,25.0,0.03,-0.1,1.0,2.0,,19.0,19.0,0.0,0.0,,,,,,27.5,48.0,0.0,0.0,,MF,MF,MF,MF,MF,MF,,44.0,376.0,0.0,0.0,0.0,6.0,6.0,1.0,1.0,1.0,0.0,21.0,0.06,42.0,1.0,5.0,43.0,0.0,,,1628.0,1555.0,64.9,0.1,0.0,0.1,,0.0,31.8,0.0,,,35.0,1010.0,0.0,0.0,1.0,,,,1.5,0.06,89.0,50.0,27.0,15.0,,124.0,44.0,,,24,,24,,136.0,,0.0,28.0,-0.1,24.0,,,24.0,24.0,24.0,24.0,24.0,,,,,23.0,,,23.0,23.0,23.0,23.0,23.0,,54.5,20.0,20.0,2156.0,,0.0,0.0,,0.0,18.0,,0.04,0.17,818.0,,,,,77.0,22.0,,3342.0,,0.0,12.0,1628.0,,8.0,0.0,0.0,4.0,0.0,1.4,0.06,0.0,0.0,0.0,,35.0,35.0
Rodrigo,66.0,,2.09,,1.0,,1.0,es ESP,es ESP,es ESP,es ESP,es ESP,es ESP,29.0,4.0,17.0,21.0,7.0,341.0,7.3,0.34,7.3,10.0,10.0,34.0,,,,547.0,12.0,37.9,4.0,0.0,0.18,0.0,12.0,1.0,0.0,34.0,0.11,4.7,10.0,21.0,,40.0,40.0,1.0,0.05,,,,,,15.8,16.0,12.0,0.56,,"FW,MF","FW,MF","FW,MF","FW,MF","FW,MF","FW,MF",,2.0,94.0,13.0,0.6,13.0,6.0,6.0,0.0,0.0,2.0,0.0,11.0,0.46,30.0,2.0,110.0,45.0,0.0,,,804.0,825.0,42.1,8.1,0.38,8.1,,0.6,41.4,1.16,,,15.0,372.0,1.0,1.0,0.0,,,,9.1,0.42,24.0,8.0,11.0,66.0,,30.0,26.0,,,31,,23,,44.0,,0.0,57.0,4.9,21.5,,,21.5,21.5,21.5,21.5,21.5,,,,,31.0,,,31.0,31.0,31.0,31.0,31.0,,51.7,143.0,143.0,1935.0,,0.0,0.0,,2.0,24.0,,0.19,3.07,451.0,0.48,,,,19.0,29.0,,2217.0,,1.0,15.0,803.0,,4.0,8.0,2.0,66.0,25.0,1.8,0.08,24.0,14.0,0.65,,6.0,6.0
Luke Ayling,152.0,,1.75,,0.0,,0.0,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,15.0,1.0,20.0,52.0,9.0,390.0,3.2,0.14,3.2,37.0,37.0,45.2,,,,700.0,13.0,20.8,0.0,0.0,0.08,0.0,23.0,2.0,0.0,47.0,0.13,-1.2,1.0,62.0,,28.0,28.0,1.0,0.04,,,,,,15.1,34.0,2.0,0.09,,DF,DF,DF,DF,DF,DF,,42.0,466.0,2.0,0.09,2.0,3.0,3.0,0.0,0.0,2.0,0.0,35.0,0.23,33.0,1.0,56.0,40.0,1.0,,,1413.0,1480.0,49.4,3.2,0.14,3.2,,0.13,39.4,0.22,,,15.0,578.0,0.0,0.0,0.0,,,,5.2,0.23,66.0,42.0,43.0,57.0,,92.0,79.0,,,29,,22,,77.0,,0.0,23.0,-1.2,22.8,,,22.8,22.8,22.8,22.8,22.8,,,,,30.0,,,30.0,30.0,30.0,30.0,30.0,,51.5,100.0,100.0,2054.0,,0.0,0.0,,0.0,12.0,,0.04,1.05,648.0,0.4,,,,85.0,33.0,,2963.0,,2.0,17.0,1413.0,,11.0,3.0,0.0,24.0,5.0,2.0,0.09,4.0,3.0,0.13,,26.0,26.0
Rasmus Nissen,119.0,,1.61,,0.0,,0.0,dk DEN,dk DEN,dk DEN,dk DEN,dk DEN,dk DEN,19.0,3.0,10.0,61.0,6.0,282.0,0.8,0.04,0.8,35.0,35.0,55.7,,,,633.0,7.0,38.5,2.0,1.0,0.23,0.0,18.0,1.0,0.0,34.0,0.06,2.2,1.0,35.0,,15.0,15.0,1.0,0.05,,,,,,15.2,32.0,3.0,0.14,,DF,DF,DF,DF,DF,DF,,35.0,470.0,3.0,0.14,3.0,4.0,4.0,0.0,0.0,0.0,0.0,6.0,0.09,30.0,2.0,23.0,35.0,0.0,,,1276.0,833.0,55.3,0.8,0.04,0.8,,0.18,46.7,0.23,,,21.0,529.0,0.0,0.0,0.0,,,,1.9,0.09,62.0,42.0,34.0,27.0,,97.0,90.0,,,26,,21,,89.0,,0.0,6.0,2.2,21.8,,,21.8,21.8,21.8,21.8,21.8,,,,,25.0,,,25.0,25.0,25.0,25.0,25.0,,46.7,70.0,70.0,1960.0,,1.0,0.0,,0.0,5.0,,0.14,0.6,548.0,0.6,,,,76.0,15.0,,1725.0,,0.0,7.0,1276.0,,14.0,1.0,0.0,13.0,5.0,1.0,0.05,4.0,4.0,0.18,,35.0,35.0
