Player,Cmp%,Launch%,Launch%,MP,MP,Gls,Gls,Gls,SoT%,Age,Age,Age,Age,Age,Age,Age,Age,Pass,Tkl,Tkl,PKwon,Fld,Fld,Fld,Sh/90,Def,Def,Stp,Opp,G/Sh,Err,Int,Int,Succ%,Lost,Lost,PKsv,Att (GK),PSxG+/-,Save%,Save%,Nation,Nation,Nation,Nation,Nation,Nation,Pos,Pos,Pos,Pos,Pos,Pos,SoT/90,Rec,Blocks,Tkld,W,CS%,Recov,xAG,xAG,Att 3rd,Att 3rd,SCA,#OPA/90,TklW,TklW,AvgLen,AvgLen,PKcon,PrgR,PrgR,PrgDist,npxG/Sh,Saves,FK,FK,D,Tkl+Int,Live,Min,Min,Clr,np:G-xG,npxG+xAG,npxG+xAG,Crs,Def 3rd,Def 3rd,npxG,npxG,npxG,Def Pen,PKA,PKA,Mis,OG,OG,SoTA,xG+xAG,PassLive,PassLive,PSxG/SoT,Won%,Thr,TO,TO,G-xG,xG,xG,xG,G-PK,G-PK,PrgP,AvgDist,Ast,Ast,/90,CK,GA90,G+A-PK,TotDist,Starts,Starts,2CrdY,CrdR,CrdR,Dis,Sh,Sh,Sh,Sh,PSxG,Won,Stp%,Att Pen,Tkl%,Mid 3rd,Mid 3rd,PK,PK,Tkld%,PrgC,PrgC,SCA90,#OPA,CrdY,CrdY,PKatt,PKatt,PKatt,GCA90,Touches,CS,Dist,Fls,Succ,SoT,Carries,Att,Att,Att,Att,Off,Cmp,CPA,GCA,G/SoT,GA,GA,90s,90s,90s,90s,90s,90s,90s,90s,G+A,G+A,PassDead,PassDead,PKm,1/3,L
Timothy Castagne,,,,37,,2.0,0.06,2.0,26.3,26.0,,,26.0,26.0,26.0,26.0,26.0,37.0,87.0,41.0,0.0,1.0,0.0,15.0,0.53,1.0,0.0,,,0.11,0.0,43.0,43.0,36.7,43.0,62.0,,,,,,be BEL,be BEL,be BEL,be BEL,be BEL,be BEL,DF,DF,DF,DF,DF,DF,0.14,1246.0,50.0,14.0,,,202.0,2.6,0.07,7.0,508.0,51.0,,44.0,44.0,,,2.0,149.0,149.0,1994.0,0.12,,,0.0,,130.0,2237.0,3254.0,,110.0,-0.2,4.8,0.13,58.0,53.0,820.0,2.2,0.06,2.2,158.0,,,32.0,,0.0,,0.13,44.0,4.0,,47.0,,1.0,0.0,-0.2,2.2,0.06,2.2,2.0,0.06,106.0,,3.0,0.08,,,,0.14,4010.0,36,,0.0,0.0,0.0,17.0,13.0,2.0,1.0,19.0,,55.0,,52.0,48.8,27.0,920.0,0.0,0.0,46.7,39.0,39.0,1.41,,3.0,3.0,0.0,,0.0,0.14,2237.0,,11.0,25.0,11.0,5.0,989.0,,,84.0,30.0,6.0,,5.0,5.0,0.4,,,36.2,,,36.2,36.2,36.2,36.2,36.2,5.0,0.14,2.0,0.0,,23.0,
Harvey Barnes,,,,34,,13.0,0.43,13.0,47.2,24.0,,,24.0,24.0,24.0,24.0,24.0,31.0,26.0,14.0,0.0,7.0,2.0,37.0,2.39,1.0,1.0,,,0.18,0.0,8.0,8.0,29.7,28.0,57.0,,,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,"FW,MF","FW,MF","FW,MF","FW,MF","FW,MF","FW,MF",1.13,900.0,32.0,53.0,,,101.0,3.1,0.1,4.0,600.0,63.0,,14.0,14.0,,,0.0,257.0,257.0,2749.0,0.12,,,0.0,,34.0,1143.0,2711.0,,12.0,4.1,12.0,0.4,44.0,8.0,128.0,8.9,0.3,8.9,17.0,,,75.0,,0.0,,0.4,43.0,8.0,,33.7,,3.0,1.0,4.1,8.9,0.3,8.9,13.0,0.43,79.0,,1.0,0.03,,,,0.46,5174.0,32,,0.0,0.0,0.0,42.0,1.0,9.0,2.0,72.0,,29.0,,133.0,33.3,14.0,435.0,0.0,0.0,58.2,100.0,100.0,2.09,,3.0,3.0,0.0,,0.0,0.46,1143.0,,15.9,38.0,27.0,34.0,734.0,,,42.0,91.0,9.0,,48.0,14.0,0.38,,,30.1,,,30.1,30.1,30.1,30.1,30.1,14.0,0.46,0.0,0.0,,72.0,
Wout Faes,,,,31,,1.0,0.03,1.0,23.1,24.0,,,24.0,24.0,24.0,24.0,24.0,16.0,56.0,28.0,0.0,0.0,0.0,17.0,0.42,2.0,1.0,,,0.08,2.0,41.0,41.0,75.0,16.0,41.0,,,,,,be BEL,be BEL,be BEL,be BEL,be BEL,be BEL,DF,DF,DF,DF,DF,DF,0.1,1436.0,53.0,3.0,,,184.0,0.6,0.02,2.0,44.0,22.0,,33.0,33.0,,,0.0,2.0,2.0,3606.0,0.09,,,0.0,,97.0,2177.0,2786.0,,113.0,-0.2,1.9,0.06,0.0,28.0,1230.0,1.2,0.04,1.2,357.0,,,15.0,,2.0,,0.06,16.0,3.0,,58.6,,1.0,0.0,-0.2,1.2,0.04,1.2,1.0,0.03,74.0,,2.0,0.06,,,,0.1,6476.0,31,,1.0,1.0,1.0,5.0,37.0,3.0,0.0,13.0,,58.0,,19.0,63.6,26.0,916.0,0.0,0.0,25.0,11.0,11.0,0.71,,6.0,6.0,0.0,,0.0,0.13,2177.0,,11.8,23.0,9.0,3.0,1262.0,,,44.0,12.0,0.0,,0.0,4.0,0.33,,,31.0,,,31.0,31.0,31.0,31.0,31.0,3.0,0.1,0.0,0.0,,7.0,
James Maddison,,,,30,,10.0,0.36,10.0,32.5,25.0,,,25.0,25.0,25.0,25.0,25.0,18.0,51.0,19.0,1.0,12.0,1.0,79.0,3.01,2.0,0.0,,,0.11,1.0,13.0,13.0,43.0,31.0,10.0,,,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,"MF,FW","MF,FW","MF,FW","MF,FW","MF,FW","MF,FW",0.98,1075.0,19.0,39.0,,,101.0,9.3,0.34,7.0,655.0,138.0,,26.0,26.0,,,0.0,155.0,155.0,2671.0,0.08,,,13.0,,64.0,1445.0,2480.0,,6.0,2.4,16.0,0.58,123.0,25.0,160.0,6.6,0.24,6.6,17.0,,,45.0,,0.0,,0.65,76.0,10.0,,28.6,,12.0,1.0,1.3,8.7,0.31,8.7,9.0,0.33,151.0,,9.0,0.33,,,,0.65,5653.0,28,,0.0,0.0,0.0,31.0,1.0,7.0,0.0,83.0,,4.0,,103.0,38.0,19.0,647.0,1.0,1.0,36.4,77.0,77.0,5.01,,10.0,10.0,2.0,,2.0,0.47,1447.0,,21.1,31.0,46.0,27.0,964.0,,,50.0,107.0,6.0,,31.0,13.0,0.33,,,27.6,,,27.6,27.6,27.6,27.6,27.6,19.0,0.69,29.0,1.0,,44.0,
Kiernan Dewsbury-Hall,,,,31,,2.0,0.08,2.0,23.1,23.0,,,23.0,23.0,23.0,23.0,23.0,42.0,53.0,19.0,0.0,5.0,1.0,35.0,1.01,2.0,1.0,,,0.08,0.0,28.0,28.0,54.1,28.0,13.0,,,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,MF,MF,MF,MF,MF,MF,0.23,1038.0,55.0,26.0,,,149.0,3.3,0.13,5.0,443.0,78.0,,29.0,29.0,,,0.0,91.0,91.0,2559.0,0.09,,,0.0,,81.0,1490.0,2306.0,,21.0,-0.4,5.6,0.22,46.0,14.0,278.0,2.4,0.09,2.4,48.0,,,73.0,,0.0,,0.22,61.0,6.0,,53.6,,8.0,1.0,-0.4,2.4,0.09,2.4,2.0,0.08,132.0,,2.0,0.08,,,,0.16,5218.0,28,,1.0,1.0,1.0,32.0,13.0,2.0,0.0,26.0,,15.0,,50.0,40.4,34.0,795.0,0.0,0.0,35.1,68.0,68.0,3.04,,5.0,5.0,0.0,,0.0,0.35,1490.0,,21.3,37.0,40.0,6.0,903.0,,,47.0,74.0,1.0,,16.0,9.0,0.33,,,25.6,,,25.6,25.6,25.6,25.6,25.6,4.0,0.16,0.0,0.0,,36.0,
Youri Tielemans,,,,31,,3.0,0.12,3.0,27.6,25.0,,,25.0,25.0,25.0,25.0,25.0,27.0,66.0,23.0,0.0,1.0,0.0,25.0,1.11,1.0,0.0,,,0.07,1.0,28.0,28.0,74.3,38.0,12.0,,,,,,be BEL,be BEL,be BEL,be BEL,be BEL,be BEL,MF,MF,MF,MF,MF,MF,0.31,1309.0,35.0,5.0,,,195.0,4.7,0.18,9.0,382.0,78.0,,39.0,39.0,,,0.0,56.0,56.0,2088.0,0.03,,,1.0,,94.0,1875.0,2344.0,,24.0,1.1,5.6,0.21,45.0,27.0,436.0,0.9,0.04,0.9,62.0,,,33.0,,0.0,,0.28,64.0,2.0,,68.4,,1.0,0.0,0.5,2.5,0.1,2.5,2.0,0.08,181.0,,2.0,0.08,,,,0.15,4043.0,27,,0.0,0.0,0.0,15.0,8.0,7.0,1.0,29.0,,26.0,,14.0,37.7,30.0,1080.0,1.0,1.0,14.3,35.0,35.0,2.99,,4.0,4.0,2.0,,2.0,0.15,1877.0,,27.7,33.0,26.0,8.0,952.0,,,61.0,35.0,1.0,,1.0,4.0,0.25,,,26.0,,,26.0,26.0,26.0,26.0,26.0,5.0,0.19,4.0,1.0,,25.0,
Danny Ward,31.0,29.7,42.1,26,26.0,0.0,0.0,0.0,,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,20.0,355.0,,2.0,0.0,0.0,,2.0,0.0,1.0,750.0,-5.5,63.0,33.3,wls WAL,wls WAL,wls WAL,wls WAL,wls WAL,wls WAL,GK,GK,GK,GK,GK,GK,0.0,482.0,0.0,0.0,7.0,23.1,27.0,0.0,0.0,0.0,0.0,2.0,1.62,1.0,1.0,30.4,35.1,0.0,0.0,0.0,1665.0,,75.0,2.0,0.0,3.0,1.0,1000.0,2340.0,2340.0,14.0,0.0,0.0,0.0,0.0,1.0,996.0,0.0,0.0,0.0,806.0,2.0,2.0,0.0,4.0,0.0,119.0,0.0,2.0,0.0,0.29,100.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,0.0,0.0,-0.21,6.0,1.77,0.0,2832.0,26,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.5,3.0,5.6,0.0,33.3,0.0,5.0,0.0,0.0,,0.0,0.0,0.08,42.0,0.0,0.0,0.0,3.0,0.0,0.0,1000.0,6.0,,0.0,0.0,0.0,559.0,303.0,190.0,3.0,0.0,0.0,94.0,0.0,0.0,,46.0,46.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
Boubakary Soumaré,,,,26,,0.0,0.0,0.0,0.0,23.0,,,23.0,23.0,23.0,23.0,23.0,11.0,57.0,23.0,0.0,0.0,0.0,22.0,0.06,0.0,0.0,,,0.0,1.0,33.0,33.0,54.5,20.0,14.0,,,,,,fr FRA,fr FRA,fr FRA,fr FRA,fr FRA,fr FRA,MF,MF,MF,MF,MF,MF,0.0,733.0,15.0,6.0,,,119.0,0.4,0.02,2.0,112.0,23.0,,34.0,34.0,,,0.0,20.0,20.0,1182.0,0.03,,,0.0,,90.0,1091.0,1629.0,,27.0,0.0,0.4,0.02,2.0,29.0,319.0,0.0,0.0,0.0,45.0,,,26.0,,0.0,,0.02,22.0,1.0,,56.3,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,,0.0,0.0,,,,0.0,2940.0,20,,0.0,0.0,0.0,22.0,4.0,0.0,0.0,1.0,,18.0,,2.0,53.5,26.0,675.0,0.0,0.0,27.3,17.0,17.0,1.27,,9.0,9.0,0.0,,0.0,0.06,1091.0,,28.0,31.0,12.0,0.0,588.0,,,43.0,22.0,1.0,,0.0,1.0,,,,18.1,,,18.1,18.1,18.1,18.1,18.1,0.0,0.0,0.0,0.0,,12.0,
Jamie Vardy,,,,37,,3.0,0.15,3.0,48.1,35.0,,,35.0,35.0,35.0,35.0,35.0,14.0,10.0,1.0,2.0,2.0,1.0,7.0,1.31,0.0,0.0,,,0.11,0.0,2.0,2.0,41.4,6.0,78.0,,,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,FW,FW,FW,FW,FW,FW,0.63,261.0,17.0,14.0,,,41.0,1.4,0.07,3.0,206.0,34.0,,5.0,5.0,,,0.0,101.0,101.0,358.0,0.22,,,0.0,,12.0,437.0,1857.0,,30.0,-2.9,7.3,0.35,7.0,4.0,59.0,5.9,0.29,5.9,32.0,,,33.0,,0.0,,0.39,23.0,5.0,,37.6,,6.0,1.0,-3.7,6.7,0.33,6.7,3.0,0.15,14.0,,4.0,0.19,,,,0.34,926.0,19,,0.0,0.0,0.0,16.0,3.0,3.0,0.0,27.0,,47.0,,71.0,14.3,3.0,176.0,0.0,0.0,48.3,16.0,16.0,1.65,,1.0,1.0,1.0,,1.0,0.34,438.0,,12.3,21.0,12.0,13.0,192.0,,,7.0,29.0,29.0,,13.0,7.0,0.23,,,20.6,,,20.6,20.6,20.6,20.6,20.6,7.0,0.34,0.0,0.0,,9.0,
Wilfred Ndidi,,,,27,,0.0,0.0,0.0,28.6,25.0,,,25.0,25.0,25.0,25.0,25.0,18.0,61.0,17.0,0.0,0.0,0.0,14.0,0.38,0.0,0.0,,,0.0,3.0,38.0,38.0,66.7,26.0,22.0,,,,,,ng NGA,ng NGA,ng NGA,ng NGA,ng NGA,ng NGA,MF,MF,MF,MF,MF,MF,0.11,659.0,32.0,4.0,,,146.0,0.1,0.0,3.0,92.0,12.0,,42.0,42.0,,,2.0,7.0,7.0,1075.0,0.03,,,0.0,,99.0,1129.0,1679.0,,48.0,-0.2,0.3,0.01,2.0,34.0,406.0,0.2,0.01,0.2,83.0,,,14.0,,0.0,,0.01,12.0,2.0,,53.2,,0.0,0.0,-0.2,0.2,0.01,0.2,0.0,0.0,51.0,,0.0,0.0,,,,0.0,2464.0,19,,0.0,0.0,0.0,10.0,14.0,0.0,0.0,7.0,,25.0,,5.0,39.5,24.0,652.0,0.0,0.0,26.7,11.0,11.0,0.64,,4.0,4.0,0.0,,0.0,0.11,1129.0,,25.1,29.0,10.0,2.0,564.0,,,43.0,15.0,0.0,,0.0,2.0,0.0,,,18.7,,,18.7,18.7,18.7,18.7,18.7,0.0,0.0,0.0,0.0,,14.0,
