Player,Cmp%,Launch%,Launch%,MP,MP,Gls,Gls,Gls,SoT%,Age,Age,Age,Age,Age,Age,Age,Age,Pass,Tkl,Tkl,PKwon,Fld,Fld,Fld,Sh/90,Def,Def,Stp,Opp,G/Sh,Err,Int,Int,Succ%,Lost,Lost,PKsv,Att (GK),PSxG+/-,Save%,Save%,Nation,Nation,Nation,Nation,Nation,Nation,Pos,Pos,Pos,Pos,Pos,Pos,SoT/90,Rec,Blocks,Tkld,W,CS%,Recov,xAG,xAG,Att 3rd,Att 3rd,SCA,#OPA/90,TklW,TklW,AvgLen,AvgLen,PKcon,PrgR,PrgR,PrgDist,npxG/Sh,Saves,FK,FK,D,Tkl+Int,Live,Min,Min,Clr,np:G-xG,npxG+xAG,npxG+xAG,Crs,Def 3rd,Def 3rd,npxG,npxG,npxG,Def Pen,PKA,PKA,Mis,OG,OG,SoTA,xG+xAG,PassLive,PassLive,PSxG/SoT,Won%,Thr,TO,TO,G-xG,xG,xG,xG,G-PK,G-PK,PrgP,AvgDist,Ast,Ast,/90,CK,GA90,G+A-PK,TotDist,Starts,Starts,2CrdY,CrdR,CrdR,Dis,Sh,Sh,Sh,Sh,PSxG,Won,Stp%,Att Pen,Tkl%,Mid 3rd,Mid 3rd,PK,PK,Tkld%,PrgC,PrgC,SCA90,#OPA,CrdY,CrdY,PKatt,PKatt,PKatt,GCA90,Touches,CS,Dist,Fls,Succ,SoT,Carries,Att,Att,Att,Att,Off,Cmp,CPA,GCA,G/SoT,GA,GA,90s,90s,90s,90s,90s,90s,90s,90s,G+A,G+A,PassDead,PassDead,PKm,1/3,L
Alisson,41.0,18.4,26.9,37,37.0,0.0,0.0,0.0,,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,23.0,397.0,,0.0,0.0,0.0,100.0,3.0,1.0,1.0,1256.0,10.1,72.1,33.3,br BRA,br BRA,br BRA,br BRA,br BRA,br BRA,GK,GK,GK,GK,GK,GK,0.0,901.0,3.0,0.0,19.0,37.8,71.0,0.3,0.01,0.0,0.0,3.0,2.41,0.0,0.0,26.9,31.3,0.0,0.0,0.0,2962.0,,105.0,0.0,0.0,9.0,0.0,1536.0,3330.0,3330.0,20.0,0.0,0.3,0.01,0.0,0.0,1498.0,0.0,0.0,0.0,1124.0,2.0,2.0,1.0,2.0,0.0,147.0,0.01,3.0,2.0,0.33,91.7,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,19.8,1.0,0.03,0.27,0.0,1.16,0.03,4654.0,37,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.1,11.0,5.8,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.08,89.0,1.0,1.0,0.0,4.0,0.0,0.05,1536.0,14.0,,1.0,2.0,0.0,985.0,283.0,193.0,3.0,2.0,0.0,116.0,0.0,2.0,,43.0,43.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,1.0,0.03,0.0,0.0,1.0,0.0,9.0
Mohamed Salah,,,,38,,19.0,0.52,19.0,37.2,30.0,,,30.0,30.0,30.0,30.0,30.0,21.0,21.0,10.0,0.0,6.0,3.0,33.0,3.31,2.0,1.0,,,0.14,0.0,6.0,6.0,37.3,16.0,30.0,,,,,,eg EGY,eg EGY,eg EGY,eg EGY,eg EGY,eg EGY,FW,FW,FW,FW,FW,FW,1.23,1305.0,21.0,72.0,,,100.0,7.7,0.21,12.0,1028.0,140.0,,12.0,12.0,,,0.0,421.0,421.0,3036.0,0.15,,,2.0,,27.0,1630.0,3290.0,,4.0,-1.5,26.2,0.72,38.0,4.0,83.0,18.5,0.51,18.5,4.0,,,110.0,,0.0,,0.8,106.0,17.0,,21.1,,12.0,0.0,-2.7,21.7,0.59,21.7,17.0,0.47,149.0,,12.0,0.33,,,,0.79,6382.0,37,,0.0,0.0,0.0,79.0,0.0,12.0,2.0,121.0,,8.0,,301.0,38.5,5.0,539.0,2.0,2.0,53.7,120.0,120.0,3.83,,2.0,2.0,4.0,,4.0,0.66,1634.0,,15.1,20.0,50.0,45.0,1107.0,,,26.0,134.0,22.0,,87.0,24.0,0.38,,,36.6,,,36.6,36.6,36.6,36.6,36.6,31.0,0.85,2.0,1.0,,66.0,
Trent Alexander-Arnold,,,,37,,2.0,0.06,2.0,20.0,23.0,,,23.0,23.0,23.0,23.0,23.0,18.0,57.0,42.0,0.0,1.0,0.0,6.0,1.23,0.0,0.0,,,0.05,2.0,43.0,43.0,66.7,37.0,13.0,,,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,DF,DF,DF,DF,DF,DF,0.25,2042.0,25.0,13.0,,,239.0,11.5,0.35,9.0,837.0,124.0,,40.0,40.0,,,0.0,139.0,139.0,3312.0,0.06,,,5.0,,100.0,3180.0,2923.0,,41.0,-0.4,13.8,0.43,252.0,32.0,737.0,2.4,0.07,2.4,89.0,,,35.0,,0.0,,0.43,81.0,14.0,,60.6,,3.0,1.0,-0.4,2.4,0.07,2.4,2.0,0.06,235.0,,9.0,0.28,,,,0.34,6848.0,34,,0.0,0.0,0.0,21.0,7.0,5.0,0.0,40.0,,20.0,,44.0,53.2,16.0,1631.0,0.0,0.0,28.9,43.0,43.0,3.82,,5.0,5.0,0.0,,0.0,0.52,3180.0,,23.8,22.0,30.0,8.0,1778.0,,,79.0,45.0,5.0,,8.0,17.0,0.25,,,32.5,,,32.5,32.5,32.5,32.5,32.5,11.0,0.34,34.0,2.0,,39.0,
Virgil van Dijk,,,,32,,3.0,0.1,3.0,30.0,31.0,,,31.0,31.0,31.0,31.0,31.0,8.0,27.0,8.0,0.0,0.0,0.0,3.0,0.95,1.0,0.0,,,0.1,3.0,31.0,31.0,100.0,11.0,34.0,,,,,,nl NED,nl NED,nl NED,nl NED,nl NED,nl NED,DF,DF,DF,DF,DF,DF,0.29,2085.0,24.0,0.0,,,168.0,1.2,0.04,3.0,128.0,22.0,,14.0,14.0,,,1.0,8.0,8.0,3152.0,0.09,,,0.0,,58.0,2876.0,2835.0,,138.0,0.4,3.8,0.12,1.0,13.0,1327.0,2.6,0.08,2.6,361.0,,,7.0,,0.0,,0.12,17.0,2.0,,74.2,,0.0,0.0,0.4,2.6,0.08,2.6,3.0,0.1,127.0,,1.0,0.03,,,,0.13,6644.0,32,,0.0,0.0,0.0,0.0,16.0,4.0,1.0,30.0,,98.0,,66.0,42.1,11.0,1427.0,0.0,0.0,0.0,10.0,10.0,0.7,,3.0,3.0,0.0,,0.0,0.1,2876.0,,12.8,13.0,1.0,9.0,1760.0,,,19.0,1.0,3.0,,2.0,3.0,0.33,,,31.5,,,31.5,31.5,31.5,31.5,31.5,4.0,0.13,0.0,0.0,,14.0,
Fabinho,,,,36,,0.0,0.0,0.0,22.2,28.0,,,28.0,28.0,28.0,28.0,28.0,27.0,65.0,24.0,0.0,2.0,1.0,24.0,0.61,3.0,0.0,,,0.0,0.0,37.0,37.0,46.7,38.0,21.0,,,,,,br BRA,br BRA,br BRA,br BRA,br BRA,br BRA,MF,MF,MF,MF,MF,MF,0.13,1493.0,38.0,4.0,,,180.0,2.1,0.07,7.0,325.0,55.0,,38.0,38.0,,,0.0,39.0,39.0,1913.0,0.04,,,0.0,,102.0,2092.0,2671.0,,40.0,-0.7,2.9,0.1,5.0,18.0,456.0,0.7,0.02,0.7,83.0,,,17.0,,0.0,,0.1,49.0,7.0,,58.8,,0.0,0.0,-0.7,0.7,0.02,0.7,0.0,0.0,161.0,,2.0,0.07,,,,0.07,4669.0,31,,0.0,0.0,0.0,12.0,11.0,1.0,0.0,18.0,,30.0,,21.0,38.7,40.0,1314.0,0.0,0.0,26.7,15.0,15.0,1.85,,11.0,11.0,0.0,,0.0,0.27,2092.0,,22.0,53.0,7.0,4.0,1184.0,,,62.0,15.0,0.0,,1.0,8.0,0.0,,,29.7,,,29.7,29.7,29.7,29.7,29.7,2.0,0.07,0.0,0.0,,28.0,
Andrew Robertson,,,,34,,0.0,0.0,0.0,15.4,28.0,,,28.0,28.0,28.0,28.0,28.0,27.0,38.0,21.0,0.0,1.0,0.0,10.0,0.45,3.0,0.0,,,0.0,3.0,18.0,18.0,40.5,20.0,24.0,,,,,,sct SCO,sct SCO,sct SCO,sct SCO,sct SCO,sct SCO,DF,DF,DF,DF,DF,DF,0.07,1637.0,32.0,23.0,,,174.0,6.1,0.21,10.0,727.0,95.0,,21.0,21.0,,,0.0,194.0,194.0,3934.0,0.11,,,0.0,,56.0,2483.0,2583.0,,50.0,-1.3,7.4,0.26,195.0,12.0,691.0,1.3,0.05,1.3,79.0,,,31.0,,0.0,,0.26,59.0,9.0,,47.8,,1.0,0.0,-1.3,1.3,0.05,1.3,0.0,0.0,166.0,,8.0,0.28,,,,0.28,6702.0,29,,0.0,0.0,0.0,7.0,5.0,4.0,0.0,13.0,,22.0,,59.0,51.2,16.0,1084.0,0.0,0.0,54.8,80.0,80.0,3.31,,3.0,3.0,0.0,,0.0,0.45,2483.0,,14.5,22.0,17.0,2.0,1385.0,,,41.0,42.0,7.0,,10.0,13.0,0.0,,,28.7,,,28.7,28.7,28.7,28.7,28.7,8.0,0.28,27.0,4.0,,60.0,
Jordan Henderson,,,,35,,0.0,0.0,0.0,21.7,32.0,,,32.0,32.0,32.0,32.0,32.0,18.0,32.0,15.0,0.0,1.0,1.0,9.0,1.0,2.0,0.0,,,0.0,1.0,21.0,21.0,52.2,21.0,10.0,,,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,MF,MF,MF,MF,MF,MF,0.22,1319.0,21.0,8.0,,,163.0,3.2,0.14,4.0,505.0,72.0,,23.0,23.0,,,0.0,90.0,90.0,2046.0,0.06,,,0.0,,53.0,1782.0,2074.0,,16.0,-1.4,4.5,0.2,45.0,10.0,277.0,1.4,0.06,1.4,34.0,,,18.0,,0.0,,0.2,65.0,5.0,,52.4,,0.0,0.0,-1.4,1.4,0.06,1.4,0.0,0.0,189.0,,2.0,0.09,,,,0.09,4836.0,23,,0.0,0.0,0.0,9.0,3.0,3.0,1.0,23.0,,11.0,,45.0,41.7,18.0,1013.0,0.0,0.0,34.8,37.0,37.0,3.13,,2.0,2.0,0.0,,0.0,0.3,1782.0,,22.8,18.0,12.0,5.0,1060.0,,,36.0,23.0,3.0,,1.0,7.0,0.0,,,23.0,,,23.0,23.0,23.0,23.0,23.0,2.0,0.09,1.0,0.0,,49.0,
Darwin Núñez,,,,29,,9.0,0.48,9.0,41.7,23.0,,,23.0,23.0,23.0,23.0,23.0,10.0,11.0,4.0,1.0,7.0,1.0,17.0,4.46,0.0,0.0,,,0.11,0.0,3.0,3.0,40.9,13.0,51.0,,,,,,uy URU,uy URU,uy URU,uy URU,uy URU,uy URU,FW,FW,FW,FW,FW,FW,1.86,491.0,10.0,19.0,,,44.0,5.4,0.28,5.0,412.0,54.0,,5.0,5.0,,,0.0,181.0,181.0,1408.0,0.14,,,0.0,,14.0,633.0,1695.0,,13.0,-3.1,17.5,0.93,18.0,2.0,51.0,12.1,0.64,12.1,12.0,,,41.0,,0.0,,0.93,35.0,2.0,,41.4,,4.0,0.0,-3.1,12.1,0.64,12.1,9.0,0.48,29.0,,3.0,0.16,,,,0.64,2795.0,19,,0.0,1.0,1.0,27.0,0.0,7.0,0.0,84.0,,36.0,,154.0,23.5,4.0,179.0,0.0,0.0,43.2,61.0,61.0,2.87,,1.0,1.0,0.0,,0.0,0.16,633.0,,15.1,25.0,18.0,35.0,387.0,,,17.0,44.0,17.0,,31.0,3.0,0.26,,,18.8,,,18.8,18.8,18.8,18.8,18.8,12.0,0.64,1.0,0.0,,33.0,
Harvey Elliott,,,,32,,1.0,0.06,1.0,33.3,19.0,,,19.0,19.0,19.0,19.0,19.0,25.0,27.0,9.0,0.0,1.0,0.0,25.0,2.01,1.0,0.0,,,0.03,0.0,15.0,15.0,45.2,27.0,16.0,,,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,"MF,FW","MF,FW","MF,FW","MF,FW","MF,FW","MF,FW",0.67,867.0,26.0,15.0,,,122.0,3.6,0.2,9.0,491.0,75.0,,18.0,18.0,,,0.0,129.0,129.0,1943.0,0.06,,,0.0,,42.0,1194.0,1613.0,,8.0,-1.1,5.7,0.32,34.0,6.0,147.0,2.1,0.12,2.1,14.0,,,26.0,,0.0,,0.32,62.0,10.0,,20.0,,5.0,0.0,-1.1,2.1,0.12,2.1,1.0,0.06,142.0,,2.0,0.11,,,,0.17,3981.0,18,,0.0,0.0,0.0,23.0,1.0,5.0,0.0,36.0,,4.0,,50.0,25.0,12.0,566.0,0.0,0.0,35.7,54.0,54.0,4.19,,2.0,2.0,0.0,,0.0,0.56,1194.0,,19.3,14.0,19.0,12.0,759.0,,,36.0,42.0,2.0,,10.0,10.0,0.08,,,17.9,,,17.9,17.9,17.9,17.9,17.9,3.0,0.17,1.0,0.0,,40.0,
Ibrahima Konaté,,,,18,,0.0,0.0,0.0,27.3,23.0,,,23.0,23.0,23.0,23.0,23.0,7.0,38.0,16.0,0.0,1.0,0.0,15.0,0.64,1.0,0.0,,,0.0,4.0,26.0,26.0,71.4,11.0,14.0,,,,,,fr FRA,fr FRA,fr FRA,fr FRA,fr FRA,fr FRA,DF,DF,DF,DF,DF,DF,0.17,918.0,12.0,2.0,,,107.0,0.1,0.01,0.0,43.0,17.0,,26.0,26.0,,,1.0,5.0,5.0,1871.0,0.11,,,0.0,,64.0,1317.0,1552.0,,61.0,-1.2,1.4,0.08,1.0,25.0,589.0,1.2,0.07,1.2,107.0,,,12.0,,1.0,,0.08,12.0,1.0,,76.7,,1.0,0.0,-1.2,1.2,0.07,1.2,0.0,0.0,56.0,,0.0,0.0,,,,0.0,3627.0,17,,0.0,0.0,0.0,4.0,5.0,2.0,0.0,11.0,,46.0,,22.0,59.3,13.0,691.0,0.0,0.0,14.3,7.0,7.0,0.99,,5.0,5.0,0.0,,0.0,0.06,1317.0,,9.7,29.0,10.0,3.0,829.0,,,27.0,14.0,1.0,,0.0,1.0,0.0,,,17.2,,,17.2,17.2,17.2,17.2,17.2,0.0,0.0,0.0,0.0,,7.0,
