Player,Cmp%,Launch%,Launch%,MP,MP,Gls,Gls,Gls,SoT%,Age,Age,Age,Age,Age,Age,Age,Age,Pass,Tkl,Tkl,PKwon,Fld,Fld,Fld,Sh/90,Def,Def,Stp,Opp,G/Sh,Err,Int,Int,Succ%,Lost,Lost,PKsv,Att (GK),PSxG+/-,Save%,Save%,Nation,Nation,Nation,Nation,Nation,Nation,Pos,Pos,Pos,Pos,Pos,Pos,SoT/90,Rec,Blocks,Tkld,W,CS%,Recov,xAG,xAG,Att 3rd,Att 3rd,SCA,#OPA/90,TklW,TklW,AvgLen,AvgLen,PKcon,PrgR,PrgR,PrgDist,npxG/Sh,Saves,FK,FK,D,Tkl+Int,Live,Min,Min,Clr,np:G-xG,npxG+xAG,npxG+xAG,Crs,Def 3rd,Def 3rd,npxG,npxG,npxG,Def Pen,PKA,PKA,Mis,OG,OG,SoTA,xG+xAG,PassLive,PassLive,PSxG/SoT,Won%,Thr,TO,TO,G-xG,xG,xG,xG,G-PK,G-PK,PrgP,AvgDist,Ast,Ast,/90,CK,GA90,G+A-PK,TotDist,Starts,Starts,2CrdY,CrdR,CrdR,Dis,Sh,Sh,Sh,Sh,PSxG,Won,Stp%,Att Pen,Tkl%,Mid 3rd,Mid 3rd,PK,PK,Tkld%,PrgC,PrgC,SCA90,#OPA,CrdY,CrdY,PKatt,PKatt,PKatt,GCA90,Touches,CS,Dist,Fls,Succ,SoT,Carries,Att,Att,Att,Att,Off,Cmp,CPA,GCA,G/SoT,GA,GA,90s,90s,90s,90s,90s,90s,90s,90s,G+A,G+A,PassDead,PassDead,PKm,1/3,L
Ederson,44.5,19.6,30.9,35,35.0,0.0,0.0,0.0,,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,0.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,19.0,286.0,,2.0,1.0,1.0,,1.0,1.0,0.0,1104.0,-4.8,62.3,0.0,br BRA,br BRA,br BRA,br BRA,br BRA,br BRA,GK,GK,GK,GK,GK,GK,0.0,833.0,0.0,0.0,26.0,31.4,35.0,0.2,0.01,0.0,0.0,2.0,0.94,1.0,1.0,28.0,32.3,1.0,0.0,0.0,2429.0,,46.0,1.0,0.0,4.0,4.0,1302.0,3150.0,3150.0,10.0,0.0,0.2,0.01,0.0,3.0,1295.0,0.0,0.0,0.0,1049.0,3.0,3.0,0.0,1.0,0.0,77.0,0.01,2.0,1.0,0.3,88.9,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7,1.0,0.03,-0.14,4.0,0.91,0.03,4059.0,35,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.2,8.0,6.6,0.0,50.0,0.0,9.0,0.0,0.0,,0.0,0.0,0.06,33.0,3.0,3.0,0.0,3.0,0.0,0.03,1302.0,11.0,,1.0,0.0,0.0,869.0,263.0,152.0,2.0,0.0,0.0,117.0,0.0,1.0,,32.0,32.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,1.0,0.03,0.0,0.0,0.0,0.0,5.0
Rodri,,,,36,,2.0,0.06,2.0,28.0,26.0,,,26.0,26.0,26.0,26.0,26.0,26.0,67.0,26.0,0.0,1.0,0.0,20.0,1.55,1.0,0.0,,,0.04,1.0,33.0,33.0,67.6,27.0,32.0,,,,,,es ESP,es ESP,es ESP,es ESP,es ESP,es ESP,MF,MF,MF,MF,MF,MF,0.43,2511.0,40.0,8.0,,,301.0,4.1,0.13,11.0,592.0,92.0,,41.0,41.0,,,0.0,37.0,37.0,5622.0,0.09,,,0.0,,100.0,3272.0,2911.0,,43.0,-2.6,8.7,0.27,6.0,28.0,706.0,4.6,0.14,4.6,119.0,,,21.0,,0.0,,0.27,80.0,10.0,,69.2,,4.0,0.0,-2.6,4.6,0.14,4.6,2.0,0.06,260.0,,6.0,0.19,,,,0.25,10293.0,34,,0.0,0.0,0.0,19.0,14.0,6.0,0.0,50.0,,72.0,,62.0,49.1,28.0,1993.0,0.0,0.0,21.6,76.0,76.0,2.84,,5.0,5.0,0.0,,0.0,0.31,3272.0,,17.1,47.0,25.0,14.0,2004.0,,,53.0,37.0,3.0,,3.0,10.0,0.14,,,32.3,,,32.3,32.3,32.3,32.3,32.3,8.0,0.25,0.0,0.0,,72.0,
Erling Haaland,,,,35,,36.0,1.17,36.0,45.7,22.0,,,22.0,22.0,22.0,22.0,22.0,8.0,3.0,1.0,1.0,8.0,2.0,24.0,3.77,1.0,0.0,,,0.25,0.0,3.0,3.0,34.4,4.0,50.0,,,,,,no NOR,no NOR,no NOR,no NOR,no NOR,no NOR,FW,FW,FW,FW,FW,FW,1.72,583.0,12.0,18.0,,,37.0,5.3,0.17,1.0,435.0,72.0,,2.0,2.0,,,0.0,151.0,151.0,761.0,0.2,,,0.0,,6.0,756.0,2769.0,,14.0,6.0,28.3,0.92,12.0,0.0,39.0,23.0,0.75,23.0,18.0,,,51.0,,0.0,,1.09,48.0,14.0,,50.0,,5.0,0.0,7.6,28.4,0.92,28.4,29.0,0.94,58.0,,8.0,0.26,,,,1.2,2020.0,33,,0.0,0.0,0.0,26.0,4.0,10.0,1.0,116.0,,50.0,,217.0,20.0,2.0,290.0,7.0,7.0,56.3,35.0,35.0,2.34,,5.0,5.0,7.0,,7.0,0.55,763.0,,12.6,31.0,11.0,53.0,405.0,,,5.0,32.0,8.0,,25.0,17.0,0.55,,,30.8,,,30.8,30.8,30.8,30.8,30.8,44.0,1.43,0.0,0.0,,10.0,
Kevin De Bruyne,,,,32,,7.0,0.26,7.0,32.3,31.0,,,31.0,31.0,31.0,31.0,31.0,25.0,28.0,14.0,2.0,5.0,2.0,29.0,2.42,3.0,0.0,,,0.11,0.0,9.0,9.0,52.5,25.0,13.0,,,,,,be BEL,be BEL,be BEL,be BEL,be BEL,be BEL,MF,MF,MF,MF,MF,MF,0.78,1445.0,27.0,19.0,,,97.0,13.7,0.51,13.0,1041.0,176.0,,12.0,12.0,,,0.0,245.0,245.0,3415.0,0.09,,,7.0,,37.0,1860.0,2417.0,,10.0,1.4,19.3,0.72,226.0,3.0,100.0,5.6,0.21,5.6,13.0,,,42.0,,0.0,,0.72,120.0,24.0,,50.0,,8.0,1.0,1.4,5.6,0.21,5.6,7.0,0.26,246.0,,16.0,0.6,,,,0.86,5721.0,28,,0.0,0.0,0.0,29.0,2.0,7.0,1.0,65.0,,13.0,,100.0,35.9,12.0,743.0,0.0,0.0,31.1,100.0,100.0,6.55,,1.0,1.0,0.0,,0.0,1.15,1860.0,,23.0,20.0,32.0,21.0,1129.0,,,39.0,61.0,5.0,,16.0,31.0,0.33,,,26.9,,,26.9,26.9,26.9,26.9,26.9,23.0,0.86,33.0,3.0,,81.0,
İlkay Gündoğan,,,,31,,8.0,0.31,8.0,37.7,31.0,,,31.0,31.0,31.0,31.0,31.0,15.0,30.0,12.0,2.0,4.0,2.0,25.0,2.03,2.0,0.0,,,0.15,0.0,20.0,20.0,38.1,22.0,12.0,,,,,,de GER,de GER,de GER,de GER,de GER,de GER,MF,MF,MF,MF,MF,MF,0.76,1425.0,18.0,18.0,,,155.0,3.3,0.12,10.0,596.0,90.0,,18.0,18.0,,,0.0,124.0,124.0,2628.0,0.13,,,5.0,,50.0,1805.0,2353.0,,13.0,1.3,10.0,0.38,30.0,7.0,243.0,6.7,0.26,6.7,31.0,,,28.0,,0.0,,0.41,71.0,13.0,,61.3,,2.0,0.0,0.5,7.5,0.29,7.5,8.0,0.31,170.0,,4.0,0.15,,,,0.46,5457.0,27,,0.0,0.0,0.0,27.0,3.0,4.0,1.0,53.0,,19.0,,88.0,35.3,13.0,975.0,0.0,0.0,42.9,53.0,53.0,3.44,,0.0,0.0,1.0,,1.0,0.65,1806.0,,18.1,23.0,16.0,20.0,1072.0,,,34.0,42.0,6.0,,7.0,17.0,0.4,,,26.1,,,26.1,26.1,26.1,26.1,26.1,12.0,0.46,7.0,1.0,,44.0,
Manuel Akanji,,,,29,,0.0,0.0,0.0,13.3,27.0,,,27.0,27.0,27.0,27.0,27.0,18.0,36.0,23.0,0.0,0.0,0.0,12.0,0.59,0.0,0.0,,,0.0,1.0,16.0,16.0,50.0,13.0,34.0,,,,,,ch SUI,ch SUI,ch SUI,ch SUI,ch SUI,ch SUI,DF,DF,DF,DF,DF,DF,0.08,1734.0,27.0,3.0,,,136.0,0.4,0.02,3.0,176.0,23.0,,25.0,25.0,,,0.0,17.0,17.0,5039.0,0.09,,,0.0,,52.0,2231.0,2287.0,,33.0,-1.3,1.7,0.07,6.0,15.0,815.0,1.3,0.05,1.3,121.0,,,12.0,,0.0,,0.07,22.0,0.0,,40.4,,0.0,0.0,-1.3,1.3,0.05,1.3,0.0,0.0,116.0,,1.0,0.04,,,,0.04,8443.0,24,,0.0,0.0,0.0,3.0,9.0,1.0,0.0,15.0,,23.0,,34.0,63.9,18.0,1248.0,0.0,0.0,25.0,24.0,24.0,0.91,,2.0,2.0,0.0,,0.0,0.0,2231.0,,15.9,24.0,6.0,2.0,1544.0,,,36.0,12.0,0.0,,1.0,0.0,0.0,,,25.4,,,25.4,25.4,25.4,25.4,25.4,1.0,0.04,0.0,0.0,,40.0,
Bernardo Silva,,,,34,,4.0,0.16,4.0,36.0,27.0,,,27.0,27.0,27.0,27.0,27.0,17.0,44.0,18.0,1.0,3.0,1.0,15.0,1.02,1.0,0.0,,,0.16,0.0,16.0,16.0,43.8,27.0,13.0,,,,,,pt POR,pt POR,pt POR,pt POR,pt POR,pt POR,"MF,FW","MF,FW","MF,FW","MF,FW","MF,FW","MF,FW",0.37,1324.0,23.0,29.0,,,122.0,3.3,0.13,8.0,707.0,75.0,,23.0,23.0,,,0.0,188.0,188.0,3523.0,0.09,,,0.0,,60.0,1772.0,2205.0,,6.0,1.8,5.4,0.22,75.0,11.0,281.0,2.2,0.09,2.2,31.0,,,30.0,,0.0,,0.22,65.0,11.0,,23.5,,4.0,0.0,1.8,2.2,0.09,2.2,4.0,0.16,130.0,,5.0,0.2,,,,0.37,7092.0,24,,0.0,0.0,0.0,31.0,6.0,1.0,0.0,25.0,,4.0,,92.0,40.0,25.0,797.0,0.0,0.0,45.3,90.0,90.0,3.06,,5.0,5.0,0.0,,0.0,0.49,1772.0,,18.1,31.0,28.0,9.0,1115.0,,,45.0,64.0,2.0,,29.0,12.0,0.44,,,24.5,,,24.5,24.5,24.5,24.5,24.5,9.0,0.37,1.0,0.0,,73.0,
Jack Grealish,,,,28,,5.0,0.22,5.0,36.6,26.0,,,26.0,26.0,26.0,26.0,26.0,14.0,25.0,13.0,1.0,13.0,3.0,78.0,1.8,1.0,1.0,,,0.12,0.0,7.0,7.0,40.9,10.0,17.0,,,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,FW,FW,FW,FW,FW,FW,0.66,1065.0,17.0,28.0,,,110.0,7.1,0.31,3.0,772.0,104.0,,16.0,16.0,,,0.0,310.0,310.0,3982.0,0.11,,,0.0,,32.0,1308.0,2055.0,,9.0,0.4,11.7,0.51,53.0,10.0,141.0,4.6,0.2,4.6,20.0,,,36.0,,0.0,,0.51,71.0,14.0,,45.2,,6.0,0.0,0.4,4.6,0.2,4.6,5.0,0.22,100.0,,7.0,0.31,,,,0.53,8506.0,23,,0.0,0.0,0.0,29.0,3.0,6.0,1.0,41.0,,14.0,,136.0,56.5,12.0,421.0,0.0,0.0,25.5,143.0,143.0,4.55,,4.0,4.0,0.0,,0.0,0.88,1308.0,,15.4,27.0,45.0,15.0,957.0,,,23.0,110.0,3.0,,63.0,20.0,0.33,,,22.8,,,22.8,22.8,22.8,22.8,22.8,12.0,0.53,7.0,1.0,,83.0,
Rúben Dias,,,,26,,0.0,0.0,0.0,20.0,25.0,,,25.0,25.0,25.0,25.0,25.0,8.0,21.0,11.0,0.0,0.0,0.0,7.0,0.45,0.0,0.0,,,0.0,1.0,18.0,18.0,80.0,7.0,28.0,,,,,,pt POR,pt POR,pt POR,pt POR,pt POR,pt POR,DF,DF,DF,DF,DF,DF,0.09,1791.0,21.0,1.0,,,99.0,0.6,0.03,1.0,83.0,15.0,,13.0,13.0,,,0.0,2.0,2.0,5025.0,0.13,,,0.0,,39.0,2237.0,1998.0,,56.0,-1.3,1.9,0.09,1.0,10.0,881.0,1.3,0.06,1.3,176.0,,,1.0,,0.0,,0.09,11.0,1.0,,61.1,,0.0,0.0,-1.3,1.3,0.06,1.3,0.0,0.0,98.0,,0.0,0.0,,,,0.0,8194.0,22,,0.0,0.0,0.0,4.0,13.0,3.0,0.0,10.0,,44.0,,22.0,61.1,10.0,1280.0,0.0,0.0,10.0,14.0,14.0,0.68,,3.0,3.0,0.0,,0.0,0.05,2237.0,,9.1,19.0,8.0,2.0,1497.0,,,18.0,10.0,0.0,,1.0,1.0,0.0,,,22.2,,,22.2,22.2,22.2,22.2,22.2,0.0,0.0,1.0,0.0,,22.0,
Kyle Walker,,,,27,,0.0,0.0,0.0,20.0,32.0,,,32.0,32.0,32.0,32.0,32.0,10.0,13.0,4.0,0.0,0.0,0.0,10.0,0.23,1.0,0.0,,,0.0,0.0,18.0,18.0,68.4,20.0,11.0,,,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,DF,DF,DF,DF,DF,DF,0.05,1542.0,12.0,4.0,,,124.0,0.2,0.01,0.0,370.0,25.0,,9.0,9.0,,,0.0,75.0,75.0,2900.0,0.08,,,0.0,,31.0,1996.0,1958.0,,22.0,-0.4,0.7,0.03,28.0,8.0,438.0,0.4,0.02,0.4,57.0,,,14.0,,0.0,,0.03,22.0,3.0,,67.6,,0.0,0.0,-0.4,0.4,0.02,0.4,0.0,0.0,162.0,,0.0,0.0,,,,0.0,5455.0,22,,0.0,0.0,0.0,6.0,2.0,0.0,0.0,5.0,,23.0,,15.0,16.7,5.0,1198.0,0.0,0.0,21.1,50.0,50.0,1.15,,3.0,3.0,0.0,,0.0,0.14,1996.0,,24.8,15.0,13.0,1.0,1189.0,,,24.0,19.0,0.0,,2.0,3.0,0.0,,,21.8,,,21.8,21.8,21.8,21.8,21.8,0.0,0.0,2.0,0.0,,40.0,
Riyad Mahrez,,,,30,,5.0,0.23,5.0,28.6,31.0,,,31.0,31.0,31.0,31.0,31.0,26.0,30.0,13.0,0.0,6.0,0.0,42.0,1.97,2.0,1.0,,,0.1,0.0,9.0,9.0,34.2,26.0,14.0,,,,,,dz ALG,dz ALG,dz ALG,dz ALG,dz ALG,dz ALG,"FW,MF","FW,MF","FW,MF","FW,MF","FW,MF","FW,MF",0.56,1042.0,27.0,27.0,,,82.0,7.0,0.33,9.0,802.0,116.0,,14.0,14.0,,,0.0,242.0,242.0,2361.0,0.11,,,7.0,,39.0,1391.0,1920.0,,5.0,-0.8,11.8,0.55,96.0,8.0,105.0,4.8,0.22,4.8,14.0,,,35.0,,0.0,,0.59,74.0,13.0,,39.1,,7.0,2.0,-0.6,5.6,0.26,5.6,4.0,0.19,76.0,,10.0,0.47,,,,0.66,5159.0,22,,0.0,0.0,0.0,27.0,1.0,10.0,3.0,42.0,,9.0,,110.0,33.3,13.0,494.0,1.0,1.0,37.0,78.0,78.0,5.44,,2.0,2.0,1.0,,1.0,0.98,1392.0,,17.2,16.0,25.0,12.0,934.0,,,39.0,73.0,7.0,,45.0,21.0,0.33,,,21.3,,,21.3,21.3,21.3,21.3,21.3,15.0,0.7,17.0,2.0,,47.0,
Nathan Aké,,,,26,,1.0,0.05,1.0,22.2,27.0,,,27.0,27.0,27.0,27.0,27.0,10.0,26.0,11.0,0.0,0.0,0.0,14.0,0.43,1.0,0.0,,,0.11,0.0,20.0,20.0,60.0,4.0,23.0,,,,,,nl NED,nl NED,nl NED,nl NED,nl NED,nl NED,DF,DF,DF,DF,DF,DF,0.1,1492.0,20.0,1.0,,,96.0,0.7,0.04,2.0,256.0,24.0,,12.0,12.0,,,0.0,30.0,30.0,3314.0,0.17,,,0.0,,46.0,1959.0,1873.0,,48.0,-0.6,2.3,0.11,15.0,15.0,615.0,1.6,0.07,1.6,86.0,,,16.0,,0.0,,0.11,20.0,2.0,,61.0,,0.0,0.0,-0.6,1.6,0.07,1.6,1.0,0.05,140.0,,0.0,0.0,,,,0.05,5455.0,22,,0.0,0.0,0.0,0.0,10.0,2.0,0.0,9.0,,36.0,,32.0,73.3,9.0,1097.0,0.0,0.0,20.0,25.0,25.0,1.15,,2.0,2.0,0.0,,0.0,0.1,1959.0,,10.5,12.0,3.0,2.0,1223.0,,,15.0,5.0,1.0,,4.0,2.0,0.5,,,20.8,,,20.8,20.8,20.8,20.8,20.8,1.0,0.05,1.0,0.0,,19.0,
Phil Foden,,,,32,,11.0,0.54,11.0,47.8,22.0,,,22.0,22.0,22.0,22.0,22.0,23.0,16.0,8.0,1.0,3.0,1.0,29.0,2.25,0.0,0.0,,,0.24,0.0,5.0,5.0,49.4,11.0,26.0,,,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,FW,FW,FW,FW,FW,FW,1.07,1051.0,25.0,31.0,,,91.0,4.7,0.23,2.0,790.0,99.0,,10.0,10.0,,,0.0,275.0,275.0,2141.0,0.13,,,1.0,,21.0,1324.0,1842.0,,12.0,5.1,10.6,0.52,91.0,9.0,116.0,5.9,0.29,5.9,20.0,,,34.0,,0.0,,0.52,76.0,10.0,,42.2,,6.0,3.0,5.1,5.9,0.29,5.9,11.0,0.54,88.0,,6.0,0.29,,,,0.83,4578.0,22,,0.0,0.0,0.0,29.0,2.0,5.0,0.0,46.0,,19.0,,131.0,42.1,5.0,433.0,0.0,0.0,38.3,68.0,68.0,4.83,,1.0,1.0,0.0,,0.0,0.68,1324.0,,15.3,10.0,40.0,22.0,891.0,,,19.0,81.0,6.0,,25.0,14.0,0.5,,,20.5,,,20.5,20.5,20.5,20.5,20.5,17.0,0.83,9.0,0.0,,43.0,
