Player,Recov,CK,SCA90,Att (GK),PKatt,PKatt,PKatt,Nation,Nation,Nation,Nation,Nation,Nation,Fls,GCA,1/3,Clr,Att 3rd,Att 3rd,npxG,npxG,npxG,TklW,TklW,Won%,GA,GA,L,Rec,Succ,SoT%,TO,TO,G/Sh,PKwon,Pass,Def,Def,Won,npxG/Sh,np:G-xG,Off,Crs,PKm,PrgC,PrgC,Ast,Ast,Launch%,Launch%,W,CS%,#OPA/90,Dist,Blocks,G-PK,G-PK,PSxG/SoT,Pos,Pos,Pos,Pos,Pos,Pos,/90,Def 3rd,Def 3rd,Gls,Gls,Gls,CrdY,CrdY,CrdR,CrdR,Fld,Fld,Fld,xG+xAG,PassLive,PassLive,Att Pen,SCA,PKcon,AvgLen,AvgLen,Touches,PrgDist,Tkl%,xG,xG,xG,Saves,G+A-PK,Succ%,SoT/90,Save%,Save%,Mid 3rd,Mid 3rd,PK,PK,2CrdY,Cmp%,AvgDist,D,npxG+xAG,npxG+xAG,Tkl,Tkl,Lost,Lost,Cmp,Tkl+Int,Def Pen,CS,Thr,MP,MP,Starts,Starts,PrgP,OG,OG,Mis,G-xG,90s,90s,90s,90s,90s,90s,90s,90s,SoTA,PKA,PKA,Opp,Age,Age,Age,Age,Age,Age,Age,Age,PKsv,Tkld%,PrgR,PrgR,Min,Min,PassDead,PassDead,FK,FK,Dis,GA90,GCA90,Sh/90,Carries,G/SoT,Stp%,Att,Att,Att,Att,#OPA,TotDist,PSxG,Err,Tkld,Live,PSxG+/-,Sh,Sh,Sh,Sh,SoT,xAG,xAG,CPA,G+A,G+A,Stp,Int,Int
David de Gea,25.0,6.0,0.13,1032.0,0.0,3.0,0.0,es ESP,es ESP,es ESP,es ESP,es ESP,es ESP,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.3,43.0,43.0,9.0,783.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.6,63.1,23.0,44.7,0.84,,0.0,0.0,0.0,0.27,GK,GK,GK,GK,GK,GK,-0.02,0.0,1297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,5.0,0.0,32.3,47.1,1302.0,2147.0,0.0,0.0,0.0,0.0,99.0,0.0,,0.0,71.1,33.3,0.0,5.0,0.0,0.0,0.0,31.4,14.8,6.0,0.1,0.0,0.0,0.0,1.0,1.0,141.0,1.0,1116.0,17.0,128.0,38,38.0,38,38.0,0.0,1.0,0.0,0.0,0.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,142.0,2.0,2.0,526.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,1.0,,0.0,0.0,3420.0,3420.0,2.0,0.0,2.0,0.0,0.0,1.13,0.0,0.0,781.0,,2.9,449.0,179.0,1.0,0.0,32.0,3589.0,41.3,3.0,0.0,1302.0,-0.7,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,15.0,1.0,1.0
Bruno Fernandes,222.0,,5.94,,2.0,,2.0,pt POR,pt POR,pt POR,pt POR,pt POR,pt POR,42.0,18.0,68.0,40.0,19.0,1078.0,7.7,0.21,7.7,42.0,42.0,29.5,,,,1689.0,32.0,35.6,8.0,0.0,0.07,1.0,32.0,0.0,0.0,18.0,0.09,-1.7,15.0,141.0,,89.0,89.0,8.0,0.22,,,,,,20.8,37.0,6.0,0.16,,"MF,FW","MF,FW","MF,FW","MF,FW","MF,FW","MF,FW",,24.0,386.0,8.0,0.22,8.0,6.0,6.0,0.0,0.0,9.0,1.0,39.0,0.71,164.0,16.0,149.0,219.0,0.0,,,2408.0,3272.0,42.3,9.3,0.25,9.3,,0.38,48.5,0.87,,,25.0,966.0,2.0,2.0,0.0,,,,24.4,0.66,68.0,30.0,41.0,43.0,,93.0,68.0,,,37,,37,,263.0,,0.0,42.0,-1.3,36.8,,,36.8,36.8,36.8,36.8,36.8,,,,,27.0,,,27.0,27.0,27.0,27.0,27.0,,42.4,231.0,231.0,3316.0,,26.0,0.0,,6.0,42.0,,0.49,2.44,1385.0,0.19,,,,71.0,66.0,,6213.0,,1.0,28.0,2406.0,,5.0,12.0,1.0,90.0,32.0,16.7,0.45,28.0,16.0,0.43,,25.0,25.0
Marcus Rashford,100.0,,3.06,,0.0,,0.0,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,15.0,14.0,51.0,14.0,5.0,704.0,15.4,0.48,15.4,10.0,10.0,33.3,,,,928.0,54.0,45.4,17.0,3.0,0.16,0.0,27.0,1.0,0.0,20.0,0.15,1.6,15.0,24.0,,85.0,85.0,5.0,0.16,,,,,,16.4,31.0,17.0,0.53,,FW,FW,FW,FW,FW,FW,,7.0,102.0,17.0,0.53,17.0,2.0,2.0,0.0,0.0,4.0,1.0,23.0,0.59,61.0,8.0,183.0,98.0,0.0,,,1212.0,2344.0,37.5,15.4,0.48,15.4,,0.69,39.1,1.53,,,8.0,429.0,0.0,0.0,0.0,,,,18.8,0.59,20.0,9.0,15.0,40.0,,27.0,22.0,,,35,,32,,88.0,,0.0,80.0,1.6,32.0,,,32.0,32.0,32.0,32.0,32.0,,,,,24.0,,,24.0,24.0,24.0,24.0,24.0,,52.9,245.0,245.0,2879.0,,1.0,0.0,,7.0,44.0,,0.44,3.38,765.0,0.35,,,,24.0,138.0,,4830.0,,0.0,73.0,1212.0,,4.0,14.0,2.0,108.0,49.0,3.4,0.11,55.0,22.0,0.69,,7.0,7.0
Luke Shaw,189.0,,2.36,,0.0,,0.0,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,46.0,7.0,44.0,55.0,2.0,475.0,1.1,0.04,1.1,36.0,36.0,61.3,,,,1459.0,14.0,28.6,3.0,0.0,0.07,0.0,34.0,0.0,0.0,46.0,0.08,-0.1,1.0,89.0,,53.0,53.0,2.0,0.07,,,,,,18.7,51.0,1.0,0.04,,DF,DF,DF,DF,DF,DF,,31.0,810.0,1.0,0.04,1.0,8.0,8.0,0.0,0.0,4.0,1.0,27.0,0.16,50.0,6.0,22.0,67.0,1.0,,,2388.0,3352.0,71.1,1.1,0.04,1.1,,0.11,35.9,0.14,,,22.0,1124.0,0.0,0.0,0.0,,,,4.7,0.16,55.0,32.0,13.0,29.0,,91.0,175.0,,,31,,30,,140.0,,0.0,24.0,-0.1,28.4,,,28.4,28.4,28.4,28.4,28.4,,,,,27.0,,,27.0,27.0,27.0,27.0,27.0,,43.6,76.0,76.0,2552.0,,9.0,0.0,,1.0,8.0,,0.25,0.49,1298.0,0.25,,,,45.0,39.0,,6356.0,,2.0,17.0,2388.0,,17.0,1.0,0.0,14.0,4.0,3.6,0.13,3.0,3.0,0.11,,36.0,36.0
Christian Eriksen,151.0,,3.12,,0.0,,0.0,dk DEN,dk DEN,dk DEN,dk DEN,dk DEN,dk DEN,13.0,9.0,24.0,20.0,5.0,465.0,5.0,0.22,5.0,18.0,18.0,40.9,,,,1220.0,8.0,28.2,1.0,0.0,0.03,0.0,14.0,0.0,0.0,9.0,0.13,-4.0,3.0,81.0,,23.0,23.0,8.0,0.35,,,,,,19.3,23.0,1.0,0.04,,MF,MF,MF,MF,MF,MF,,10.0,269.0,1.0,0.04,1.0,3.0,3.0,0.0,0.0,0.0,0.0,10.0,0.4,50.0,6.0,35.0,71.0,0.0,,,1644.0,1756.0,31.3,5.0,0.22,5.0,,0.4,47.1,0.48,,,7.0,914.0,0.0,0.0,0.0,,,,9.2,0.4,22.0,10.0,22.0,13.0,,33.0,43.0,,,28,,25,,164.0,,0.0,24.0,-4.0,22.8,,,22.8,22.8,22.8,22.8,22.8,,,,,30.0,,,30.0,30.0,30.0,30.0,30.0,,52.9,66.0,66.0,2048.0,,17.0,3.0,,4.0,19.0,,0.4,1.71,967.0,0.09,,,,32.0,17.0,,3499.0,,1.0,9.0,1644.0,,9.0,3.0,0.0,39.0,11.0,4.2,0.19,3.0,9.0,0.4,,11.0,11.0
Diogo Dalot,152.0,,2.17,,0.0,,0.0,pt POR,pt POR,pt POR,pt POR,pt POR,pt POR,21.0,2.0,32.0,55.0,1.0,390.0,2.5,0.1,2.5,41.0,41.0,68.4,,,,994.0,21.0,31.8,1.0,0.0,0.05,0.0,18.0,1.0,0.0,39.0,0.11,-1.5,0.0,44.0,,46.0,46.0,2.0,0.08,,,,,,19.9,25.0,1.0,0.04,,DF,DF,DF,DF,DF,DF,,40.0,580.0,1.0,0.04,1.0,6.0,6.0,0.0,0.0,0.0,0.0,3.0,0.18,48.0,2.0,38.0,52.0,0.0,,,1673.0,2161.0,73.3,2.5,0.1,2.5,,0.13,60.0,0.29,,,13.0,714.0,0.0,0.0,0.0,,,,4.4,0.18,54.0,33.0,12.0,18.0,,91.0,125.0,,,26,,24,,92.0,,0.0,18.0,-1.5,23.9,,,23.9,23.9,23.9,23.9,23.9,,,,,23.0,,,23.0,23.0,23.0,23.0,23.0,,20.0,85.0,85.0,2154.0,,0.0,0.0,,0.0,5.0,,0.08,0.92,878.0,0.14,,,,45.0,35.0,,4258.0,,2.0,7.0,1673.0,,7.0,2.0,0.0,22.0,7.0,1.9,0.08,12.0,3.0,0.13,,37.0,37.0
Casemiro,205.0,,2.88,,0.0,,0.0,br BRA,br BRA,br BRA,br BRA,br BRA,br BRA,48.0,8.0,17.0,64.0,11.0,293.0,3.4,0.14,3.4,46.0,46.0,65.1,,,,1103.0,9.0,32.4,0.0,0.0,0.12,0.0,38.0,0.0,0.0,56.0,0.1,0.6,1.0,19.0,,14.0,14.0,3.0,0.13,,,,,,21.6,49.0,4.0,0.17,,MF,MF,MF,MF,MF,MF,,43.0,531.0,4.0,0.17,4.0,7.0,7.0,2.0,2.0,2.0,0.0,24.0,0.28,61.0,8.0,24.0,68.0,1.0,,,1758.0,1404.0,52.2,3.4,0.14,3.4,,0.3,45.0,0.47,,,35.0,949.0,0.0,0.0,0.0,,,,6.5,0.28,89.0,48.0,44.0,30.0,,123.0,110.0,,,28,,24,,152.0,,0.0,18.0,0.6,23.6,,,23.6,23.6,23.6,23.6,23.6,,,,,30.0,,,30.0,30.0,30.0,30.0,30.0,,40.0,34.0,34.0,2124.0,,0.0,0.0,,0.0,14.0,,0.34,1.44,850.0,0.36,,,,92.0,20.0,,2828.0,,0.0,8.0,1758.0,,11.0,5.0,0.0,34.0,11.0,3.1,0.13,1.0,7.0,0.3,,34.0,34.0
Lisandro Martínez,164.0,,0.77,,0.0,,0.0,ar ARG,ar ARG,ar ARG,ar ARG,ar ARG,ar ARG,21.0,1.0,16.0,103.0,3.0,60.0,0.5,0.02,0.5,28.0,28.0,50.8,,,,1138.0,14.0,10.0,0.0,0.0,0.1,0.0,24.0,1.0,0.0,32.0,0.05,0.5,0.0,0.0,,12.0,12.0,0.0,0.0,,,,,,14.8,51.0,1.0,0.04,,DF,DF,DF,DF,DF,DF,,33.0,934.0,1.0,0.04,1.0,6.0,6.0,0.0,0.0,0.0,0.0,10.0,0.03,16.0,1.0,11.0,18.0,0.0,,,1809.0,2986.0,69.8,0.5,0.02,0.5,,0.04,87.5,0.04,,,18.0,829.0,0.0,0.0,0.0,,,,0.8,0.03,54.0,30.0,13.0,31.0,,87.0,281.0,,,27,,24,,83.0,,0.0,11.0,0.5,23.5,,,23.5,23.5,23.5,23.5,23.5,,,,,24.0,,,24.0,24.0,24.0,24.0,24.0,,0.0,2.0,2.0,2114.0,,0.0,0.0,,0.0,9.0,,0.04,0.43,1061.0,1.0,,,,43.0,16.0,,5256.0,,0.0,0.0,1809.0,,27.0,1.0,0.0,10.0,1.0,0.3,0.01,0.0,1.0,0.04,,33.0,33.0
Antony,99.0,,3.69,,0.0,,0.0,br BRA,br BRA,br BRA,br BRA,br BRA,br BRA,15.0,7.0,60.0,6.0,4.0,609.0,6.6,0.33,6.6,9.0,9.0,20.8,,,,813.0,30.0,33.3,5.0,1.0,0.06,0.0,18.0,1.0,0.0,5.0,0.09,-2.6,2.0,32.0,,95.0,95.0,2.0,0.1,,,,,,19.6,18.0,4.0,0.2,,FW,FW,FW,FW,FW,FW,,9.0,134.0,4.0,0.2,4.0,5.0,5.0,0.0,0.0,4.0,0.0,25.0,0.47,61.0,6.0,85.0,74.0,0.0,,,1066.0,2569.0,28.6,6.6,0.33,6.6,,0.3,39.0,1.2,,,9.0,348.0,0.0,0.0,0.0,,,,9.4,0.47,22.0,8.0,20.0,19.0,,33.0,12.0,,,25,,23,,74.0,,0.0,37.0,-2.6,20.0,,,20.0,20.0,20.0,20.0,20.0,,,,,22.0,,,22.0,22.0,22.0,22.0,22.0,,49.4,168.0,168.0,1802.0,,0.0,0.0,,0.0,12.0,,0.35,3.6,763.0,0.17,,,,28.0,77.0,,4783.0,,0.0,38.0,1066.0,,0.0,3.0,0.0,72.0,24.0,2.9,0.14,32.0,6.0,0.3,,11.0,11.0
Raphaël Varane,100.0,,0.8,,0.0,,0.0,fr FRA,fr FRA,fr FRA,fr FRA,fr FRA,fr FRA,12.0,0.0,15.0,91.0,0.0,54.0,0.7,0.03,0.7,9.0,9.0,72.4,,,,850.0,6.0,50.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,42.0,0.09,-0.7,2.0,1.0,,17.0,17.0,0.0,0.0,,,,,,11.6,24.0,0.0,0.0,,DF,DF,DF,DF,DF,DF,,18.0,611.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.04,12.0,0.0,18.0,17.0,0.0,,,1293.0,3030.0,41.2,0.7,0.03,0.7,,0.0,60.0,0.19,,,6.0,631.0,0.0,0.0,0.0,,,,0.9,0.04,24.0,7.0,10.0,16.0,,35.0,153.0,,,24,,22,,63.0,,1.0,2.0,-0.7,21.2,,,21.2,21.2,21.2,21.2,21.2,,,,,29.0,,,29.0,29.0,29.0,29.0,29.0,,40.0,4.0,4.0,1911.0,,1.0,0.0,,0.0,1.0,,0.0,0.38,797.0,0.0,,,,17.0,10.0,,5357.0,,0.0,4.0,1293.0,,17.0,3.0,0.0,8.0,4.0,0.2,0.01,0.0,0.0,0.0,,11.0,11.0
Jadon Sancho,109.0,,4.64,,0.0,,0.0,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,9.0,9.0,39.0,6.0,4.0,536.0,4.2,0.22,4.2,10.0,10.0,14.3,,,,715.0,33.0,42.9,4.0,2.0,0.29,0.0,23.0,0.0,0.0,2.0,0.2,1.8,8.0,17.0,,88.0,88.0,3.0,0.16,,,,,,14.1,25.0,6.0,0.32,,"FW,MF","FW,MF","FW,MF","FW,MF","FW,MF","FW,MF",,7.0,118.0,6.0,0.32,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.49,80.0,7.0,106.0,87.0,0.0,,,977.0,2193.0,28.6,4.2,0.22,4.2,,0.48,42.3,0.48,,,5.0,339.0,0.0,0.0,0.0,,,,9.2,0.49,16.0,8.0,20.0,12.0,,23.0,16.0,,,26,,21,,76.0,,0.0,50.0,1.8,18.7,,,18.7,18.7,18.7,18.7,18.7,,,,,22.0,,,22.0,22.0,22.0,22.0,22.0,,51.3,173.0,173.0,1686.0,,1.0,0.0,,0.0,20.0,,0.48,1.12,640.0,0.67,,,,28.0,78.0,,3825.0,,0.0,40.0,977.0,,2.0,2.0,0.0,21.0,9.0,5.0,0.27,45.0,9.0,0.48,,7.0,7.0
Aaron Wan-Bissaka,73.0,,1.88,,0.0,,0.0,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,11.0,1.0,24.0,41.0,3.0,286.0,1.2,0.07,1.2,25.0,25.0,43.3,,,,600.0,17.0,20.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,13.0,0.12,-1.2,0.0,14.0,,41.0,41.0,0.0,0.0,,,,,,14.7,24.0,0.0,0.0,,DF,DF,DF,DF,DF,DF,,20.0,346.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.14,29.0,1.0,44.0,30.0,0.0,,,1026.0,1370.0,92.0,1.2,0.07,1.2,,0.0,48.6,0.13,,,17.0,400.0,0.0,0.0,0.0,,,,2.2,0.14,40.0,23.0,2.0,17.0,,62.0,75.0,,,19,,16,,55.0,,0.0,14.0,-1.2,15.9,,,15.9,15.9,15.9,15.9,15.9,,,,,24.0,,,24.0,24.0,24.0,24.0,24.0,,51.4,64.0,64.0,1435.0,,0.0,0.0,,0.0,10.0,,0.06,0.63,524.0,0.0,,,,25.0,35.0,,2614.0,,0.0,18.0,1026.0,,8.0,1.0,0.0,10.0,2.0,1.0,0.06,4.0,0.0,0.0,,22.0,22.0
Tyrell Malacia,90.0,,1.22,,0.0,,0.0,nl NED,nl NED,nl NED,nl NED,nl NED,nl NED,39.0,0.0,17.0,49.0,1.0,225.0,0.2,0.02,0.2,33.0,33.0,66.7,,,,557.0,6.0,40.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,8.0,0.05,-0.2,3.0,15.0,,19.0,19.0,0.0,0.0,,,,,,22.1,13.0,0.0,0.0,,DF,DF,DF,DF,DF,DF,,33.0,378.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,13.0,0.06,19.0,0.0,16.0,19.0,0.0,,,989.0,1023.0,56.0,0.2,0.02,0.2,,0.0,31.6,0.13,,,12.0,392.0,0.0,0.0,0.0,,,,0.9,0.06,46.0,14.0,11.0,4.0,,71.0,54.0,,,22,,14,,44.0,,0.0,17.0,-0.2,15.5,,,15.5,15.5,15.5,15.5,15.5,,,,,22.0,,,22.0,22.0,22.0,22.0,22.0,,68.4,33.0,33.0,1396.0,,0.0,0.0,,0.0,8.0,,0.0,0.32,472.0,0.0,,,,25.0,19.0,,2127.0,,0.0,13.0,989.0,,3.0,0.0,0.0,5.0,2.0,0.7,0.04,3.0,0.0,0.0,,25.0,25.0
