Player,Cmp%,Launch%,Launch%,MP,MP,Gls,Gls,Gls,SoT%,Age,Age,Age,Age,Age,Age,Age,Age,Pass,Tkl,Tkl,PKwon,Fld,Fld,Fld,Sh/90,Def,Def,Stp,Opp,G/Sh,Err,Int,Int,Succ%,Lost,Lost,PKsv,Att (GK),PSxG+/-,Save%,Save%,Nation,Nation,Nation,Nation,Nation,Nation,Pos,Pos,Pos,Pos,Pos,Pos,SoT/90,Rec,Blocks,Tkld,W,CS%,Recov,xAG,xAG,Att 3rd,Att 3rd,SCA,#OPA/90,TklW,TklW,AvgLen,AvgLen,PKcon,PrgR,PrgR,PrgDist,npxG/Sh,Saves,FK,FK,D,Tkl+Int,Live,Min,Min,Clr,np:G-xG,npxG+xAG,npxG+xAG,Crs,Def 3rd,Def 3rd,npxG,npxG,npxG,Def Pen,PKA,PKA,Mis,OG,OG,SoTA,xG+xAG,PassLive,PassLive,PSxG/SoT,Won%,Thr,TO,TO,G-xG,xG,xG,xG,G-PK,G-PK,PrgP,AvgDist,Ast,Ast,/90,CK,GA90,G+A-PK,TotDist,Starts,Starts,2CrdY,CrdR,CrdR,Dis,Sh,Sh,Sh,Sh,PSxG,Won,Stp%,Att Pen,Tkl%,Mid 3rd,Mid 3rd,PK,PK,Tkld%,PrgC,PrgC,SCA90,#OPA,CrdY,CrdY,PKatt,PKatt,PKatt,GCA90,Touches,CS,Dist,Fls,Succ,SoT,Carries,Att,Att,Att,Att,Off,Cmp,CPA,GCA,G/SoT,GA,GA,90s,90s,90s,90s,90s,90s,90s,90s,G+A,G+A,PassDead,PassDead,PKm,1/3,L
Kieran Trippier,,,,38,,1.0,0.03,1.0,28.6,31.0,,,31.0,31.0,31.0,31.0,31.0,30.0,71.0,46.0,0.0,2.0,0.0,29.0,0.38,1.0,0.0,,,0.07,2.0,43.0,43.0,54.3,44.0,35.0,,,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,DF,DF,DF,DF,DF,DF,0.11,1593.0,45.0,12.0,,,264.0,12.4,0.33,8.0,1066.0,178.0,,49.0,49.0,,,1.0,151.0,151.0,2393.0,0.06,,,12.0,,114.0,3102.0,3341.0,,84.0,0.1,13.3,0.36,393.0,36.0,774.0,0.9,0.02,0.9,124.0,,,27.0,,1.0,,0.36,79.0,6.0,,58.3,,1.0,0.0,0.1,0.9,0.02,0.9,1.0,0.03,260.0,,7.0,0.19,,,,0.22,4599.0,38,,0.0,0.0,0.0,9.0,15.0,1.0,0.0,14.0,,49.0,,26.0,51.1,27.0,1282.0,0.0,0.0,34.3,45.0,45.0,4.79,,5.0,5.0,0.0,,0.0,0.27,3102.0,,27.1,48.0,19.0,4.0,1300.0,,,90.0,35.0,7.0,,1.0,10.0,0.25,,,37.1,,,37.1,37.1,37.1,37.1,37.1,8.0,0.22,94.0,4.0,,46.0,
Nick Pope,32.6,33.1,68.6,37,37.0,0.0,0.0,0.0,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,34.0,411.0,,2.0,0.0,0.0,,2.0,1.0,2.0,683.0,0.3,74.6,50.0,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,GK,GK,GK,GK,GK,GK,0.0,344.0,0.0,0.0,19.0,37.8,30.0,0.1,0.0,0.0,0.0,5.0,2.04,0.0,0.0,33.0,50.7,0.0,0.0,0.0,1724.0,,85.0,0.0,0.0,13.0,1.0,974.0,3261.0,3261.0,27.0,0.0,0.1,0.0,0.0,1.0,967.0,0.0,0.0,0.0,821.0,2.0,2.0,2.0,1.0,0.0,118.0,0.0,4.0,0.0,0.24,80.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.2,0.0,0.0,0.01,8.0,0.88,0.0,2949.0,37,37.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,31.3,4.0,8.3,0.0,33.3,0.0,7.0,0.0,0.0,,0.0,0.0,0.14,74.0,3.0,3.0,0.0,5.0,0.0,0.0,974.0,14.0,,1.0,0.0,0.0,502.0,368.0,207.0,3.0,0.0,0.0,120.0,0.0,0.0,,32.0,32.0,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,0.0,0.0,1.0,0.0,1.0,0.0,5.0
Fabian Schär,,,,36,,1.0,0.03,1.0,25.0,30.0,,,30.0,30.0,30.0,30.0,30.0,15.0,47.0,24.0,0.0,2.0,1.0,27.0,1.57,3.0,2.0,,,0.02,0.0,52.0,52.0,30.8,15.0,55.0,,,,,,ch SUI,ch SUI,ch SUI,ch SUI,ch SUI,ch SUI,DF,DF,DF,DF,DF,DF,0.39,1341.0,34.0,7.0,,,209.0,3.3,0.09,3.0,213.0,59.0,,22.0,22.0,,,0.0,32.0,32.0,4115.0,0.09,,,3.0,,99.0,2235.0,3206.0,,139.0,-3.9,8.2,0.23,18.0,31.0,1101.0,4.9,0.14,4.9,248.0,,,20.0,,1.0,,0.23,43.0,5.0,,67.1,,2.0,0.0,-3.9,4.9,0.14,4.9,1.0,0.03,139.0,,3.0,0.08,,,,0.11,6337.0,36,,0.0,0.0,0.0,7.0,19.0,9.0,0.0,56.0,,112.0,,73.0,61.5,13.0,938.0,0.0,0.0,53.8,27.0,27.0,1.66,,7.0,7.0,0.0,,0.0,0.22,2235.0,,14.4,20.0,4.0,14.0,1214.0,,,39.0,13.0,6.0,,3.0,8.0,0.07,,,35.6,,,35.6,35.6,35.6,35.6,35.6,4.0,0.11,0.0,0.0,,26.0,
Sven Botman,,,,36,,0.0,0.0,0.0,31.8,22.0,,,22.0,22.0,22.0,22.0,22.0,20.0,38.0,22.0,0.0,0.0,0.0,12.0,0.63,0.0,0.0,,,0.0,2.0,34.0,34.0,100.0,6.0,40.0,,,,,,nl NED,nl NED,nl NED,nl NED,nl NED,nl NED,DF,DF,DF,DF,DF,DF,0.2,1347.0,44.0,0.0,,,182.0,1.0,0.03,0.0,95.0,24.0,,24.0,24.0,,,1.0,5.0,5.0,2810.0,0.11,,,0.0,,72.0,2074.0,3127.0,,126.0,-2.5,3.5,0.1,1.0,31.0,1188.0,2.5,0.07,2.5,338.0,,,10.0,,0.0,,0.1,18.0,0.0,,65.2,,0.0,0.0,-2.5,2.5,0.07,2.5,0.0,0.0,87.0,,0.0,0.0,,,,0.0,5259.0,35,,0.0,0.0,0.0,2.0,24.0,5.0,1.0,22.0,,75.0,,53.0,78.6,7.0,801.0,0.0,0.0,0.0,8.0,8.0,0.69,,2.0,2.0,0.0,,0.0,0.03,2074.0,,10.2,15.0,1.0,7.0,1171.0,,,28.0,1.0,2.0,,2.0,1.0,0.0,,,34.7,,,34.7,34.7,34.7,34.7,34.7,0.0,0.0,1.0,0.0,,5.0,
Dan Burn,,,,38,,1.0,0.03,1.0,19.0,30.0,,,30.0,30.0,30.0,30.0,30.0,26.0,60.0,34.0,0.0,0.0,0.0,4.0,0.61,0.0,0.0,,,0.05,2.0,32.0,32.0,44.0,33.0,37.0,,,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,DF,DF,DF,DF,DF,DF,0.12,1116.0,42.0,12.0,,,166.0,1.3,0.04,8.0,358.0,40.0,,38.0,38.0,,,1.0,46.0,46.0,2196.0,0.1,,,0.0,,92.0,2073.0,3111.0,,120.0,-1.1,3.4,0.1,17.0,29.0,786.0,2.1,0.06,2.1,158.0,,,34.0,,0.0,,0.1,35.0,3.0,,69.4,,0.0,0.0,-1.1,2.1,0.06,2.1,1.0,0.03,118.0,,0.0,0.0,,,,0.03,4329.0,35,,0.0,0.0,0.0,9.0,16.0,3.0,0.0,21.0,,84.0,,62.0,50.7,23.0,940.0,0.0,0.0,48.0,29.0,29.0,1.16,,5.0,5.0,0.0,,0.0,0.09,2073.0,,12.2,35.0,11.0,4.0,926.0,,,67.0,25.0,7.0,,5.0,3.0,0.25,,,34.6,,,34.6,34.6,34.6,34.6,34.6,1.0,0.03,2.0,0.0,,22.0,
Bruno Guimarães,,,,32,,4.0,0.13,4.0,28.6,24.0,,,24.0,24.0,24.0,24.0,24.0,24.0,78.0,38.0,0.0,11.0,0.0,83.0,0.92,2.0,1.0,,,0.14,1.0,36.0,36.0,48.9,27.0,13.0,,,,,,br BRA,br BRA,br BRA,br BRA,br BRA,br BRA,MF,MF,MF,MF,MF,MF,0.26,1503.0,28.0,26.0,,,233.0,4.0,0.13,5.0,575.0,110.0,,40.0,40.0,,,0.0,42.0,42.0,2911.0,0.1,,,0.0,,114.0,2014.0,2726.0,,22.0,1.2,6.8,0.23,22.0,27.0,392.0,2.8,0.09,2.8,59.0,,,46.0,,0.0,,0.23,92.0,11.0,,59.4,,3.0,0.0,1.2,2.8,0.09,2.8,4.0,0.13,222.0,,5.0,0.17,,,,0.3,7248.0,32,,0.0,0.0,0.0,60.0,4.0,1.0,0.0,28.0,,19.0,,50.0,58.5,46.0,1076.0,0.0,0.0,28.3,41.0,41.0,3.63,,7.0,7.0,0.0,,0.0,0.4,2014.0,,19.7,45.0,45.0,8.0,1321.0,,,65.0,92.0,1.0,,5.0,12.0,0.5,,,30.3,,,30.3,30.3,30.3,30.3,30.3,9.0,0.3,1.0,0.0,,47.0,
Joe Willock,,,,35,,3.0,0.11,3.0,27.6,22.0,,,22.0,22.0,22.0,22.0,22.0,46.0,51.0,25.0,0.0,3.0,1.0,23.0,2.04,1.0,0.0,,,0.05,0.0,25.0,25.0,39.8,33.0,16.0,,,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,MF,MF,MF,MF,MF,MF,0.56,896.0,54.0,43.0,,,136.0,6.0,0.21,12.0,556.0,85.0,,30.0,30.0,,,0.0,152.0,152.0,2866.0,0.12,,,0.0,,76.0,1324.0,2558.0,,17.0,-4.0,13.0,0.46,51.0,13.0,202.0,7.0,0.25,7.0,37.0,,,65.0,,0.0,,0.46,67.0,6.0,,50.0,,7.0,1.0,-4.0,7.0,0.25,7.0,3.0,0.11,121.0,,6.0,0.21,,,,0.32,5213.0,31,,0.0,0.0,0.0,27.0,8.0,7.0,1.0,58.0,,16.0,,114.0,43.1,26.0,586.0,0.0,0.0,46.2,97.0,97.0,2.99,,1.0,1.0,0.0,,0.0,0.32,1324.0,,16.9,35.0,37.0,16.0,784.0,,,58.0,93.0,3.0,,33.0,9.0,0.19,,,28.4,,,28.4,28.4,28.4,28.4,28.4,9.0,0.32,0.0,0.0,,62.0,
Joelinton,,,,32,,6.0,0.2,6.0,37.3,25.0,,,25.0,25.0,25.0,25.0,25.0,45.0,70.0,26.0,1.0,7.0,1.0,34.0,1.72,1.0,0.0,,,0.12,0.0,48.0,48.0,47.7,36.0,59.0,,,,,,br BRA,br BRA,br BRA,br BRA,br BRA,br BRA,"MF,FW","MF,FW","MF,FW","MF,FW","MF,FW","MF,FW",0.64,1115.0,52.0,42.0,,,198.0,2.4,0.08,8.0,562.0,80.0,,49.0,49.0,,,1.0,150.0,150.0,2286.0,0.14,,,0.0,,118.0,1703.0,2661.0,,39.0,-1.1,9.4,0.32,16.0,36.0,312.0,7.1,0.24,7.1,71.0,,,72.0,,0.0,,0.32,54.0,4.0,,52.8,,9.0,2.0,-1.1,7.1,0.24,7.1,6.0,0.2,130.0,,1.0,0.03,,,,0.24,4853.0,30,,0.0,0.0,0.0,51.0,7.0,8.0,2.0,51.0,,66.0,,96.0,41.9,26.0,852.0,0.0,0.0,37.8,64.0,64.0,2.71,,12.0,12.0,0.0,,0.0,0.34,1703.0,,14.6,65.0,53.0,19.0,897.0,,,62.0,111.0,1.0,,13.0,10.0,0.32,,,29.6,,,29.6,29.6,29.6,29.6,29.6,7.0,0.24,1.0,1.0,,45.0,
Miguel Almirón,,,,34,,11.0,0.4,11.0,29.0,28.0,,,28.0,28.0,28.0,28.0,28.0,23.0,46.0,18.0,0.0,3.0,0.0,33.0,2.49,0.0,0.0,,,0.16,0.0,10.0,10.0,43.0,24.0,10.0,,,,,,py PAR,py PAR,py PAR,py PAR,py PAR,py PAR,FW,FW,FW,FW,FW,FW,0.72,924.0,25.0,33.0,,,139.0,3.2,0.11,11.0,760.0,87.0,,30.0,30.0,,,0.0,264.0,264.0,2341.0,0.12,,,0.0,,56.0,1300.0,2491.0,,17.0,3.0,11.1,0.4,26.0,16.0,147.0,8.0,0.29,8.0,25.0,,,51.0,,0.0,,0.4,63.0,5.0,,37.5,,10.0,5.0,3.0,8.0,0.29,8.0,11.0,0.4,124.0,,2.0,0.07,,,,0.47,5389.0,29,,0.0,0.0,0.0,28.0,2.0,9.0,2.0,69.0,,6.0,,138.0,42.9,19.0,417.0,0.0,0.0,41.8,77.0,77.0,3.14,,2.0,2.0,0.0,,0.0,0.47,1300.0,,16.4,22.0,34.0,20.0,841.0,,,42.0,79.0,9.0,,25.0,13.0,0.55,,,27.7,,,27.7,27.7,27.7,27.7,27.7,13.0,0.47,2.0,1.0,,46.0,
Sean Longstaff,,,,33,,1.0,0.04,1.0,21.2,24.0,,,24.0,24.0,24.0,24.0,24.0,27.0,42.0,20.0,0.0,6.0,1.0,39.0,1.18,0.0,0.0,,,0.03,0.0,16.0,16.0,29.6,32.0,28.0,,,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,MF,MF,MF,MF,MF,MF,0.25,951.0,35.0,18.0,,,141.0,3.3,0.12,6.0,420.0,62.0,,21.0,21.0,,,0.0,115.0,115.0,1191.0,0.11,,,0.0,,58.0,1433.0,2518.0,,23.0,-2.6,6.9,0.25,30.0,16.0,278.0,3.6,0.13,3.6,45.0,,,37.0,,0.0,,0.25,46.0,4.0,,45.1,,2.0,0.0,-2.6,3.6,0.13,3.6,1.0,0.04,116.0,,4.0,0.14,,,,0.18,2989.0,28,,0.0,0.0,0.0,29.0,8.0,7.0,1.0,33.0,,23.0,,76.0,38.5,20.0,742.0,0.0,0.0,66.7,21.0,21.0,2.22,,2.0,2.0,0.0,,0.0,0.21,1433.0,,16.0,29.0,8.0,7.0,752.0,,,52.0,27.0,5.0,,8.0,6.0,0.14,,,28.0,,,28.0,28.0,28.0,28.0,28.0,5.0,0.18,1.0,0.0,,16.0,
