Player,Cmp%,Launch%,Launch%,MP,MP,Gls,Gls,Gls,SoT%,Age,Age,Age,Age,Age,Age,Age,Age,Pass,Tkl,Tkl,PKwon,Fld,Fld,Fld,Sh/90,Def,Def,Stp,Opp,G/Sh,Err,Int,Int,Succ%,Lost,Lost,PKsv,Att (GK),PSxG+/-,Save%,Save%,Nation,Nation,Nation,Nation,Nation,Nation,Pos,Pos,Pos,Pos,Pos,Pos,SoT/90,Rec,Blocks,Tkld,W,CS%,Recov,xAG,xAG,Att 3rd,Att 3rd,SCA,#OPA/90,TklW,TklW,AvgLen,AvgLen,PKcon,PrgR,PrgR,PrgDist,npxG/Sh,Saves,FK,FK,D,Tkl+Int,Live,Min,Min,Clr,np:G-xG,npxG+xAG,npxG+xAG,Crs,Def 3rd,Def 3rd,npxG,npxG,npxG,Def Pen,PKA,PKA,Mis,OG,OG,SoTA,xG+xAG,PassLive,PassLive,PSxG/SoT,Won%,Thr,TO,TO,G-xG,xG,xG,xG,G-PK,G-PK,PrgP,AvgDist,Ast,Ast,/90,CK,GA90,G+A-PK,TotDist,Starts,Starts,2CrdY,CrdR,CrdR,Dis,Sh,Sh,Sh,Sh,PSxG,Won,Stp%,Att Pen,Tkl%,Mid 3rd,Mid 3rd,PK,PK,Tkld%,PrgC,PrgC,SCA90,#OPA,CrdY,CrdY,PKatt,PKatt,PKatt,GCA90,Touches,CS,Dist,Fls,Succ,SoT,Carries,Att,Att,Att,Att,Off,Cmp,CPA,GCA,G/SoT,GA,GA,90s,90s,90s,90s,90s,90s,90s,90s,G+A,G+A,PassDead,PassDead,PKm,1/3,L
Morgan Gibbs-White,,,,35,,5.0,0.15,5.0,33.3,22.0,,,22.0,22.0,22.0,22.0,22.0,19.0,26.0,11.0,0.0,2.0,0.0,28.0,1.73,3.0,0.0,,,0.05,0.0,14.0,14.0,49.0,21.0,109.0,,,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,"MF,FW","MF,FW","MF,FW","MF,FW","MF,FW","MF,FW",0.58,902.0,23.0,43.0,,,147.0,8.2,0.25,12.0,680.0,119.0,,14.0,14.0,,,0.0,157.0,157.0,2187.0,0.08,,,3.0,,40.0,1445.0,2971.0,,15.0,-1.4,12.7,0.38,161.0,7.0,169.0,4.4,0.13,4.4,20.0,,,91.0,,0.0,,0.43,72.0,6.0,,33.9,,9.0,1.0,-1.0,6.0,0.18,6.0,3.0,0.09,131.0,,8.0,0.24,,,,0.33,4463.0,34,,0.0,0.0,0.0,44.0,4.0,6.0,2.0,57.0,,56.0,,76.0,34.4,7.0,626.0,2.0,2.0,44.8,69.0,69.0,3.6,,5.0,5.0,2.0,,2.0,0.36,1447.0,,20.0,32.0,47.0,19.0,764.0,,,32.0,96.0,6.0,,19.0,12.0,0.16,,,33.0,,,33.0,33.0,33.0,33.0,33.0,13.0,0.39,27.0,3.0,,62.0,
Brennan Johnson,,,,38,,8.0,0.25,8.0,46.2,21.0,,,21.0,21.0,21.0,21.0,21.0,29.0,34.0,8.0,1.0,5.0,2.0,21.0,1.6,1.0,0.0,,,0.13,1.0,5.0,5.0,37.5,20.0,48.0,,,,,,wls WAL,wls WAL,wls WAL,wls WAL,wls WAL,wls WAL,"FW,MF","FW,MF","FW,MF","FW,MF","FW,MF","FW,MF",0.74,507.0,30.0,41.0,,,89.0,3.2,0.1,8.0,434.0,55.0,,20.0,20.0,,,0.0,155.0,155.0,2111.0,0.12,,,0.0,,39.0,803.0,2934.0,,7.0,0.8,9.4,0.29,58.0,18.0,90.0,6.2,0.19,6.2,9.0,,,76.0,,0.0,,0.36,36.0,5.0,,27.3,,6.0,1.0,-0.6,8.6,0.26,8.6,7.0,0.21,30.0,,3.0,0.09,,,,0.31,3848.0,33,,0.0,0.0,0.0,25.0,1.0,7.0,3.0,52.0,,18.0,,116.0,28.6,8.0,309.0,1.0,1.0,46.6,88.0,88.0,1.69,,6.0,6.0,3.0,,3.0,0.34,806.0,,16.6,37.0,33.0,24.0,450.0,,,28.0,88.0,18.0,,42.0,11.0,0.29,,,32.6,,,32.6,32.6,32.6,32.6,32.6,11.0,0.34,0.0,0.0,,46.0,
Renan Lodi,,,,28,,0.0,0.0,0.0,0.0,24.0,,,24.0,24.0,24.0,24.0,24.0,19.0,52.0,33.0,0.0,1.0,0.0,42.0,0.61,0.0,0.0,,,0.0,0.0,33.0,33.0,41.0,33.0,19.0,,,,,,br BRA,br BRA,br BRA,br BRA,br BRA,br BRA,DF,DF,DF,DF,DF,DF,0.0,535.0,25.0,14.0,,,153.0,1.2,0.05,6.0,263.0,30.0,,39.0,39.0,,,0.0,70.0,70.0,1379.0,0.06,,,2.0,,85.0,1143.0,2214.0,,74.0,-1.0,2.1,0.09,75.0,38.0,478.0,1.0,0.04,1.0,96.0,,,18.0,,0.0,,0.09,22.0,3.0,,48.6,,0.0,0.0,-1.0,1.0,0.04,1.0,0.0,0.0,31.0,,1.0,0.04,,,,0.04,2834.0,26,,0.0,0.0,0.0,13.0,6.0,1.0,1.0,15.0,,18.0,,21.0,50.0,8.0,418.0,0.0,0.0,35.9,24.0,24.0,1.22,,7.0,7.0,0.0,,0.0,0.16,1143.0,,19.9,29.0,16.0,0.0,546.0,,,66.0,39.0,2.0,,2.0,4.0,,,,24.6,,,24.6,24.6,24.6,24.6,24.6,1.0,0.04,6.0,0.0,,15.0,
Remo Freuler,,,,28,,0.0,0.0,0.0,12.5,30.0,,,30.0,30.0,30.0,30.0,30.0,27.0,43.0,19.0,0.0,0.0,0.0,12.0,0.33,0.0,0.0,,,0.0,0.0,29.0,29.0,50.0,24.0,20.0,,,,,,ch SUI,ch SUI,ch SUI,ch SUI,ch SUI,ch SUI,MF,MF,MF,MF,MF,MF,0.04,557.0,36.0,4.0,,,137.0,0.8,0.03,5.0,167.0,29.0,,23.0,23.0,,,0.0,11.0,11.0,959.0,0.05,,,0.0,,72.0,1058.0,2161.0,,45.0,-0.4,1.2,0.05,5.0,23.0,360.0,0.4,0.02,0.4,71.0,,,20.0,,0.0,,0.05,27.0,0.0,,56.5,,0.0,0.0,-0.4,0.4,0.02,0.4,0.0,0.0,54.0,,0.0,0.0,,,,0.0,2192.0,24,,0.0,0.0,0.0,8.0,9.0,1.0,0.0,8.0,,26.0,,13.0,44.2,15.0,537.0,0.0,0.0,33.3,7.0,7.0,1.21,,4.0,4.0,0.0,,0.0,0.0,1058.0,,20.0,24.0,6.0,1.0,491.0,,,43.0,12.0,0.0,,0.0,0.0,0.0,,,24.0,,,24.0,24.0,24.0,24.0,24.0,0.0,0.0,1.0,0.0,,11.0,
Serge Aurier,,,,24,,1.0,0.05,1.0,33.3,29.0,,,29.0,29.0,29.0,29.0,29.0,23.0,64.0,23.0,0.0,2.0,0.0,19.0,0.42,1.0,0.0,,,0.11,0.0,29.0,29.0,50.0,10.0,32.0,,,,,,ci CIV,ci CIV,ci CIV,ci CIV,ci CIV,ci CIV,DF,DF,DF,DF,DF,DF,0.14,574.0,34.0,11.0,,,126.0,1.0,0.05,5.0,263.0,26.0,,41.0,41.0,,,0.0,50.0,50.0,1398.0,0.09,,,0.0,,93.0,1238.0,1943.0,,75.0,0.2,1.8,0.08,40.0,41.0,484.0,0.8,0.04,0.8,107.0,,,31.0,,0.0,,0.08,21.0,0.0,,59.0,,0.0,0.0,0.2,0.8,0.04,0.8,1.0,0.05,71.0,,0.0,0.0,,,,0.05,2394.0,22,,0.0,0.0,0.0,18.0,11.0,0.0,0.0,9.0,,46.0,,13.0,69.7,18.0,505.0,0.0,0.0,34.4,37.0,37.0,1.2,,2.0,2.0,0.0,,0.0,0.05,1238.0,,16.2,18.0,16.0,3.0,520.0,,,33.0,32.0,0.0,,2.0,1.0,0.33,,,21.6,,,21.6,21.6,21.6,21.6,21.6,1.0,0.05,2.0,1.0,,26.0,
Joe Worrall,,,,30,,1.0,0.04,1.0,28.6,25.0,,,25.0,25.0,25.0,25.0,25.0,10.0,53.0,25.0,0.0,1.0,0.0,4.0,0.28,0.0,0.0,,,0.14,1.0,26.0,26.0,75.0,10.0,33.0,,,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,DF,DF,DF,DF,DF,DF,0.08,796.0,33.0,1.0,,,123.0,0.8,0.03,2.0,75.0,16.0,,25.0,25.0,,,2.0,1.0,1.0,1604.0,0.11,,,0.0,,79.0,1408.0,2224.0,,111.0,0.2,1.6,0.06,3.0,39.0,813.0,0.8,0.03,0.8,213.0,,,6.0,,0.0,,0.06,14.0,0.0,,62.5,,0.0,0.0,0.2,0.8,0.03,0.8,1.0,0.04,67.0,,0.0,0.0,,,,0.04,2948.0,21,,0.0,0.0,0.0,4.0,23.0,0.0,0.0,7.0,,55.0,,29.0,71.4,12.0,524.0,0.0,0.0,25.0,5.0,5.0,0.65,,6.0,6.0,0.0,,0.0,0.0,1408.0,,12.2,27.0,3.0,2.0,684.0,,,35.0,4.0,0.0,,1.0,0.0,0.5,,,24.7,,,24.7,24.7,24.7,24.7,24.7,1.0,0.04,1.0,0.0,,5.0,
Ryan Yates,,,,26,,0.0,0.0,0.0,19.2,24.0,,,24.0,24.0,24.0,24.0,24.0,18.0,38.0,14.0,1.0,2.0,0.0,53.0,1.27,0.0,0.0,,,0.0,0.0,10.0,10.0,44.4,8.0,21.0,,,,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,MF,MF,MF,MF,MF,MF,0.24,384.0,26.0,3.0,,,111.0,1.2,0.06,3.0,143.0,24.0,,19.0,19.0,,,0.0,27.0,27.0,577.0,0.09,,,0.0,,48.0,790.0,1837.0,,44.0,-2.3,3.4,0.17,8.0,19.0,235.0,2.3,0.11,2.3,66.0,,,18.0,,0.0,,0.17,18.0,1.0,,58.0,,0.0,0.0,-2.3,2.3,0.11,2.3,0.0,0.0,43.0,,2.0,0.1,,,,0.1,1260.0,21,,0.0,0.0,0.0,15.0,8.0,4.0,2.0,26.0,,29.0,,34.0,63.6,16.0,418.0,0.0,0.0,33.3,11.0,11.0,1.18,,5.0,5.0,0.0,,0.0,0.15,790.0,,16.8,50.0,4.0,5.0,303.0,,,22.0,9.0,1.0,,3.0,3.0,0.0,,,20.4,,,20.4,20.4,20.4,20.4,20.4,2.0,0.1,0.0,0.0,,4.0,
Neco Williams,,,,31,,1.0,0.05,1.0,28.0,21.0,,,21.0,21.0,21.0,21.0,21.0,25.0,72.0,38.0,1.0,3.0,0.0,27.0,1.2,3.0,0.0,,,0.04,0.0,33.0,33.0,34.5,33.0,27.0,,,,,,wls WAL,wls WAL,wls WAL,wls WAL,wls WAL,wls WAL,DF,DF,DF,DF,DF,DF,0.33,532.0,33.0,31.0,,,127.0,1.4,0.07,6.0,309.0,39.0,,47.0,47.0,,,0.0,67.0,67.0,2064.0,0.05,,,2.0,,105.0,1153.0,1882.0,,48.0,-0.3,2.7,0.13,89.0,49.0,445.0,1.3,0.06,1.3,82.0,,,31.0,,0.0,,0.13,23.0,1.0,,38.6,,4.0,0.0,-0.3,1.3,0.06,1.3,1.0,0.05,33.0,,0.0,0.0,,,,0.05,3620.0,20,,0.0,0.0,0.0,17.0,8.0,2.0,1.0,25.0,,17.0,,23.0,53.5,17.0,422.0,0.0,0.0,56.4,51.0,51.0,1.86,,7.0,7.0,0.0,,0.0,0.1,1153.0,,21.2,33.0,19.0,7.0,555.0,,,71.0,55.0,2.0,,5.0,2.0,0.14,,,20.9,,,20.9,20.9,20.9,20.9,20.9,1.0,0.05,4.0,0.0,,33.0,
Orel Mangala,,,,27,,1.0,0.06,1.0,33.3,24.0,,,24.0,24.0,24.0,24.0,24.0,14.0,28.0,12.0,0.0,2.0,0.0,23.0,0.52,0.0,0.0,,,0.11,0.0,23.0,23.0,47.1,17.0,9.0,,,,,,be BEL,be BEL,be BEL,be BEL,be BEL,be BEL,MF,MF,MF,MF,MF,MF,0.17,383.0,21.0,12.0,,,88.0,0.4,0.02,2.0,99.0,13.0,,20.0,20.0,,,0.0,8.0,8.0,808.0,0.06,,,0.0,,51.0,655.0,1550.0,,15.0,0.4,0.9,0.06,6.0,16.0,183.0,0.6,0.03,0.6,31.0,,,11.0,,0.0,,0.06,11.0,1.0,,55.0,,0.0,0.0,0.4,0.6,0.03,0.6,1.0,0.06,43.0,,1.0,0.06,,,,0.12,1742.0,20,,0.0,0.0,0.0,9.0,7.0,0.0,0.0,9.0,,11.0,,8.0,41.4,10.0,380.0,0.0,0.0,35.3,14.0,14.0,0.76,,3.0,3.0,0.0,,0.0,0.06,655.0,,20.7,22.0,16.0,3.0,334.0,,,29.0,34.0,0.0,,2.0,1.0,0.33,,,17.2,,,17.2,17.2,17.2,17.2,17.2,2.0,0.12,0.0,0.0,,6.0,
Scott McKenna,,,,20,,0.0,0.0,0.0,0.0,25.0,,,25.0,25.0,25.0,25.0,25.0,6.0,12.0,6.0,0.0,0.0,0.0,4.0,0.11,0.0,0.0,,,0.0,1.0,12.0,12.0,71.4,4.0,23.0,,,,,,sct SCO,sct SCO,sct SCO,sct SCO,sct SCO,sct SCO,DF,DF,DF,DF,DF,DF,0.0,508.0,20.0,1.0,,,68.0,1.0,0.06,2.0,45.0,10.0,,7.0,7.0,,,1.0,2.0,2.0,929.0,0.04,,,0.0,,24.0,877.0,1571.0,,85.0,-0.1,1.1,0.06,2.0,7.0,501.0,0.1,0.0,0.1,151.0,,,2.0,,0.0,,0.06,10.0,1.0,,61.0,,0.0,0.0,-0.1,0.1,0.0,0.1,0.0,0.0,35.0,,0.0,0.0,,,,0.0,1885.0,19,,0.0,0.0,0.0,2.0,14.0,0.0,0.0,2.0,,36.0,,21.0,60.0,3.0,333.0,0.0,0.0,14.3,5.0,5.0,0.57,,4.0,4.0,0.0,,0.0,0.06,877.0,,8.2,8.0,5.0,0.0,430.0,,,10.0,7.0,0.0,,0.0,1.0,,,,17.5,,,17.5,17.5,17.5,17.5,17.5,0.0,0.0,0.0,0.0,,1.0,
