Player,Recov,CK,SCA90,Att (GK),PKatt,PKatt,PKatt,Nation,Nation,Nation,Nation,Nation,Nation,Fls,GCA,1/3,Clr,Att 3rd,Att 3rd,npxG,npxG,npxG,TklW,TklW,Won%,GA,GA,L,Rec,Succ,SoT%,TO,TO,G/Sh,PKwon,Pass,Def,Def,Won,npxG/Sh,np:G-xG,Off,Crs,PKm,PrgC,PrgC,Ast,Ast,Launch%,Launch%,W,CS%,#OPA/90,Dist,Blocks,G-PK,G-PK,PSxG/SoT,Pos,Pos,Pos,Pos,Pos,Pos,/90,Def 3rd,Def 3rd,Gls,Gls,Gls,CrdY,CrdY,CrdR,CrdR,Fld,Fld,Fld,xG+xAG,PassLive,PassLive,Att Pen,SCA,PKcon,AvgLen,AvgLen,Touches,PrgDist,Tkl%,xG,xG,xG,Saves,G+A-PK,Succ%,SoT/90,Save%,Save%,Mid 3rd,Mid 3rd,PK,PK,2CrdY,Cmp%,AvgDist,D,npxG+xAG,npxG+xAG,Tkl,Tkl,Lost,Lost,Cmp,Tkl+Int,Def Pen,CS,Thr,MP,MP,Starts,Starts,PrgP,OG,OG,Mis,G-xG,90s,90s,90s,90s,90s,90s,90s,90s,SoTA,PKA,PKA,Opp,Age,Age,Age,Age,Age,Age,Age,Age,PKsv,Tkld%,PrgR,PrgR,Min,Min,PassDead,PassDead,FK,FK,Dis,GA90,GCA90,Sh/90,Carries,G/SoT,Stp%,Att,Att,Att,Att,#OPA,TotDist,PSxG,Err,Tkld,Live,PSxG+/-,Sh,Sh,Sh,Sh,SoT,xAG,xAG,CPA,G+A,G+A,Stp,Int,Int
James Ward-Prowse,222.0,,3.39,,4.0,,4.0,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,34.0,9.0,27.0,48.0,7.0,667.0,2.5,0.07,2.5,37.0,37.0,45.8,,,,1462.0,7.0,40.0,1.0,1.0,0.18,0.0,20.0,1.0,0.0,44.0,0.06,4.5,0.0,241.0,,19.0,19.0,4.0,0.11,,,,,,27.1,30.0,7.0,0.19,,MF,MF,MF,MF,MF,MF,,31.0,447.0,9.0,0.24,9.0,6.0,6.0,0.0,0.0,1.0,0.0,19.0,0.32,62.0,3.0,28.0,127.0,0.0,,,2484.0,2014.0,34.4,5.7,0.15,5.7,,0.29,35.0,0.43,,,27.0,1380.0,2.0,2.0,0.0,,,,8.7,0.23,65.0,21.0,40.0,52.0,,120.0,97.0,,,38,,38,,189.0,,1.0,26.0,3.3,37.5,,,37.5,37.5,37.5,37.5,37.5,,,,,27.0,,,27.0,27.0,27.0,27.0,27.0,,60.0,58.0,58.0,3371.0,,59.0,3.0,,17.0,22.0,,0.24,1.07,1172.0,0.44,,,,61.0,20.0,,4364.0,,0.0,12.0,2480.0,,10.0,3.0,2.0,40.0,16.0,6.2,0.17,1.0,13.0,0.35,,55.0,55.0
Gavin Bazunu,39.0,7.0,0.22,935.0,0.0,2.0,0.0,ie IRL,ie IRL,ie IRL,ie IRL,ie IRL,ie IRL,1.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,56.0,56.0,20.0,599.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,13.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.2,67.5,6.0,12.5,1.5,,0.0,0.0,0.0,0.28,GK,GK,GK,GK,GK,GK,-0.52,1.0,1234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,7.0,1.0,38.1,50.0,1253.0,2072.0,100.0,0.0,0.0,0.0,67.0,0.0,,0.0,54.2,50.0,0.0,19.0,0.0,0.0,0.0,33.7,15.1,6.0,0.1,0.0,1.0,1.0,0.0,0.0,212.0,2.0,910.0,4.0,144.0,32,32.0,32,32.0,1.0,4.0,0.0,0.0,0.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,120.0,1.0,1.0,456.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,1.0,,0.0,0.0,2880.0,2880.0,2.0,0.0,1.0,0.0,0.0,1.75,0.0,0.0,746.0,,7.9,629.0,237.0,1.0,0.0,48.0,3699.0,35.4,2.0,0.0,1253.0,-16.6,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,36.0,1.0,1.0
Kyle Walker-Peters,156.0,,1.8,,0.0,,0.0,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,25.0,3.0,76.0,52.0,3.0,520.0,1.0,0.03,1.0,32.0,32.0,36.4,,,,917.0,49.0,38.5,8.0,0.0,0.08,0.0,39.0,1.0,1.0,16.0,0.08,0.0,1.0,50.0,,102.0,102.0,0.0,0.0,,,,,,18.1,47.0,1.0,0.03,,DF,DF,DF,DF,DF,DF,,34.0,469.0,1.0,0.03,1.0,4.0,4.0,0.0,0.0,4.0,0.0,41.0,0.08,33.0,1.0,50.0,53.0,1.0,,,1692.0,3236.0,51.2,1.0,0.03,1.0,,0.03,47.6,0.17,,,24.0,731.0,0.0,0.0,0.0,,,,2.5,0.08,61.0,22.0,21.0,28.0,,88.0,90.0,,,31,,30,,97.0,,0.0,39.0,0.0,29.4,,,29.4,29.4,29.4,29.4,29.4,,,,,25.0,,,25.0,25.0,25.0,25.0,25.0,,37.9,114.0,114.0,2650.0,,4.0,1.0,,0.0,43.0,,0.1,0.44,877.0,0.2,,,,43.0,103.0,,5862.0,,0.0,39.0,1692.0,,8.0,3.0,0.0,13.0,5.0,1.4,0.05,19.0,1.0,0.03,,27.0,27.0
Mohamed Elyounoussi,132.0,,1.7,,0.0,,0.0,no NOR,no NOR,no NOR,no NOR,no NOR,no NOR,41.0,4.0,41.0,37.0,4.0,362.0,3.5,0.15,3.5,28.0,28.0,45.7,,,,533.0,25.0,27.8,1.0,0.0,0.03,0.0,37.0,1.0,0.0,37.0,0.1,-2.5,3.0,34.0,,56.0,56.0,1.0,0.04,,,,,,15.8,40.0,1.0,0.04,,"MF,FW","MF,FW","MF,FW","MF,FW","MF,FW","MF,FW",,22.0,204.0,1.0,0.04,1.0,4.0,4.0,0.0,0.0,3.0,0.0,18.0,0.23,34.0,4.0,54.0,41.0,0.0,,,952.0,1463.0,44.2,3.5,0.15,3.5,,0.08,52.1,0.42,,,20.0,399.0,0.0,0.0,0.0,,,,5.6,0.23,46.0,19.0,24.0,44.0,,73.0,60.0,,,33,,27,,50.0,,0.0,38.0,-2.5,24.1,,,24.1,24.1,24.1,24.1,24.1,,,,,27.0,,,27.0,27.0,27.0,27.0,27.0,,41.7,98.0,98.0,2168.0,,0.0,0.0,,0.0,38.0,,0.17,1.49,484.0,0.1,,,,43.0,48.0,,3141.0,,0.0,20.0,952.0,,3.0,2.0,0.0,36.0,10.0,2.1,0.09,12.0,2.0,0.08,,27.0,27.0
Roméo Lavia,187.0,,1.66,,0.0,,0.0,be BEL,be BEL,be BEL,be BEL,be BEL,be BEL,28.0,3.0,21.0,23.0,4.0,177.0,0.4,0.02,0.4,35.0,35.0,41.2,,,,794.0,28.0,25.0,3.0,0.0,0.08,1.0,36.0,1.0,1.0,7.0,0.03,0.6,0.0,3.0,,22.0,22.0,0.0,0.0,,,,,,27.0,47.0,1.0,0.04,,MF,MF,MF,MF,MF,MF,,27.0,298.0,1.0,0.04,1.0,9.0,9.0,0.0,0.0,3.0,1.0,48.0,0.04,31.0,1.0,1.0,41.0,0.0,,,1288.0,1903.0,39.6,0.4,0.02,0.4,,0.04,56.0,0.12,,,29.0,828.0,0.0,0.0,0.0,,,,1.0,0.04,60.0,21.0,32.0,10.0,,93.0,58.0,,,29,,26,,102.0,,0.0,24.0,0.6,24.7,,,24.7,24.7,24.7,24.7,24.7,,,,,18.0,,,18.0,18.0,18.0,18.0,18.0,,26.0,14.0,14.0,2221.0,,2.0,0.0,,0.0,31.0,,0.12,0.49,804.0,0.33,,,,53.0,50.0,,4275.0,,1.0,13.0,1288.0,,11.0,1.0,0.0,12.0,3.0,0.6,0.03,0.0,1.0,0.04,,33.0,33.0
Armel Bella Kotchap,145.0,,0.67,,0.0,,0.0,de GER,de GER,de GER,de GER,de GER,de GER,9.0,2.0,12.0,110.0,0.0,46.0,1.0,0.05,1.0,17.0,17.0,58.8,,,,682.0,4.0,14.3,1.0,0.0,0.0,0.0,17.0,1.0,0.0,40.0,0.07,-1.0,0.0,4.0,,9.0,9.0,2.0,0.1,,,,,,16.1,29.0,0.0,0.0,,DF,DF,DF,DF,DF,DF,,28.0,654.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,33.0,0.1,7.0,1.0,22.0,14.0,0.0,,,1211.0,1899.0,75.0,1.0,0.05,1.0,,0.1,36.4,0.1,,,9.0,519.0,0.0,0.0,0.0,,,,2.1,0.1,37.0,15.0,5.0,28.0,,81.0,209.0,,,24,,24,,39.0,,0.0,9.0,-1.0,20.9,,,20.9,20.9,20.9,20.9,20.9,,,,,20.0,,,20.0,20.0,20.0,20.0,20.0,,27.3,2.0,2.0,1879.0,,0.0,0.0,,0.0,6.0,,0.1,0.67,697.0,0.0,,,,20.0,11.0,,3570.0,,0.0,3.0,1211.0,,12.0,3.0,1.0,14.0,2.0,1.0,0.05,2.0,2.0,0.1,,44.0,44.0
Che Adams,53.0,,2.57,,0.0,,0.0,sct SCO,sct SCO,sct SCO,sct SCO,sct SCO,sct SCO,38.0,7.0,11.0,22.0,2.0,377.0,6.6,0.3,6.6,13.0,13.0,37.2,,,,558.0,17.0,29.8,2.0,0.0,0.11,0.0,9.0,0.0,0.0,61.0,0.14,-1.6,14.0,12.0,,17.0,17.0,3.0,0.14,,,,,,13.8,13.0,5.0,0.23,,FW,FW,FW,FW,FW,FW,,7.0,66.0,5.0,0.23,5.0,1.0,1.0,0.0,0.0,5.0,2.0,27.0,0.42,44.0,5.0,103.0,57.0,0.0,,,717.0,471.0,58.3,6.6,0.3,6.6,,0.36,50.0,0.63,,,8.0,286.0,0.0,0.0,0.0,,,,9.4,0.42,17.0,7.0,5.0,103.0,,21.0,29.0,,,28,,23,,34.0,,0.0,66.0,-1.6,22.1,,,22.1,22.1,22.1,22.1,22.1,,,,,26.0,,,26.0,26.0,26.0,26.0,26.0,,38.2,115.0,115.0,1992.0,,1.0,0.0,,0.0,28.0,,0.32,2.12,406.0,0.36,,,,12.0,34.0,,1623.0,,0.0,13.0,717.0,,4.0,5.0,0.0,47.0,14.0,2.8,0.13,9.0,8.0,0.36,,4.0,4.0
Romain Perraud,97.0,,1.86,,0.0,,0.0,fr FRA,fr FRA,fr FRA,fr FRA,fr FRA,fr FRA,31.0,5.0,35.0,42.0,8.0,395.0,1.3,0.06,1.3,33.0,33.0,37.8,,,,626.0,10.0,20.0,4.0,1.0,0.07,0.0,18.0,1.0,0.0,14.0,0.04,0.7,3.0,77.0,,33.0,33.0,2.0,0.1,,,,,,22.3,24.0,2.0,0.1,,DF,DF,DF,DF,DF,DF,,23.0,360.0,2.0,0.1,2.0,4.0,4.0,0.0,0.0,1.0,1.0,15.0,0.16,23.0,3.0,39.0,38.0,0.0,,,1153.0,1388.0,53.8,1.3,0.06,1.3,,0.2,26.3,0.29,,,23.0,406.0,0.0,0.0,0.0,,,,3.2,0.16,54.0,28.0,24.0,23.0,,74.0,54.0,,,29,,22,,62.0,,1.0,27.0,0.7,20.4,,,20.4,20.4,20.4,20.4,20.4,,,,,24.0,,,24.0,24.0,24.0,24.0,24.0,,65.8,122.0,122.0,1835.0,,1.0,0.0,,0.0,14.0,,0.25,1.47,609.0,0.33,,,,52.0,38.0,,2999.0,,0.0,25.0,1153.0,,6.0,8.0,0.0,30.0,6.0,1.9,0.09,5.0,4.0,0.2,,20.0,20.0
Mohammed Salisu,158.0,,1.14,,0.0,,0.0,gh GHA,gh GHA,gh GHA,gh GHA,gh GHA,gh GHA,26.0,3.0,11.0,122.0,2.0,124.0,1.5,0.07,1.5,29.0,29.0,67.9,,,,757.0,8.0,21.1,1.0,0.0,0.0,0.0,31.0,0.0,0.0,55.0,0.08,-1.5,1.0,13.0,,5.0,5.0,1.0,0.05,,,,,,12.2,56.0,0.0,0.0,,DF,DF,DF,DF,DF,DF,,33.0,755.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,0.1,16.0,1.0,25.0,25.0,0.0,,,1504.0,1556.0,70.6,1.5,0.07,1.5,,0.05,72.7,0.18,,,16.0,635.0,0.0,0.0,0.0,,,,2.1,0.1,51.0,24.0,10.0,26.0,,82.0,220.0,,,22,,21,,82.0,,1.0,5.0,-1.5,21.9,,,21.9,21.9,21.9,21.9,21.9,,,,,23.0,,,23.0,23.0,23.0,23.0,23.0,,27.3,4.0,4.0,1973.0,,5.0,1.0,,0.0,9.0,,0.14,0.87,725.0,0.0,,,,34.0,11.0,,3391.0,,1.0,3.0,1504.0,,25.0,3.0,1.0,19.0,4.0,0.6,0.03,0.0,1.0,0.05,,31.0,31.0
Jan Bednarek,98.0,,0.38,,0.0,,0.0,pl POL,pl POL,pl POL,pl POL,pl POL,pl POL,15.0,0.0,1.0,87.0,0.0,37.0,0.4,0.02,0.4,21.0,21.0,71.4,,,,605.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,40.0,0.05,-0.4,0.0,1.0,,8.0,8.0,0.0,0.0,,,,,,14.2,38.0,0.0,0.0,,DF,DF,DF,DF,DF,DF,,20.0,635.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,7.0,0.03,5.0,0.0,14.0,7.0,0.0,,,1127.0,1580.0,75.0,0.4,0.02,0.4,,0.0,50.0,0.0,,,7.0,460.0,0.0,0.0,0.0,,,,0.5,0.03,27.0,12.0,4.0,16.0,,76.0,205.0,,,20,,20,,45.0,,1.0,2.0,-0.4,18.6,,,18.6,18.6,18.6,18.6,18.6,,,,,26.0,,,26.0,26.0,26.0,26.0,26.0,,50.0,2.0,2.0,1672.0,,1.0,0.0,,0.0,1.0,,0.0,0.43,579.0,,,,,16.0,2.0,,2671.0,,0.0,1.0,1127.0,,27.0,1.0,0.0,8.0,0.0,0.1,0.01,0.0,0.0,0.0,,49.0,49.0
