Squad,Rk,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Manchester City,1,32,22,7,3,76,32,44,73,2.28,67.1,30.6,36.5,1.14,D D W W W,52923,Erling Haaland - 20,Ederson,,25,27.2,65.9,32,352,2880,32.0,74,54,128,69,5,6,50,2,67.1,62.6,51.5,114.1,994,1786,2.31,1.69,4.0,2.16,3.84,2.1,1.61,3.71,1.96,3.57,2,32,32,2880,32.0,32,1.0,95,64,69.5,22,7,3,9,28.1,3,3,0,0,0.0,2,32.0,32,3,0,2,1,32.0,0.31,1.0,0.03,127,273,46.5,1140,137,19.9,27.2,135,34.1,33.3,255,26,10.2,48,1.5,16.0,25,32.0,427,256,153,189,85,190,378,50.3,188,283,68,215,193,620,403,16,25,65.9,32.0,26456,1806,5864,11882,8886,1265,26450,634,337,53.2,233,36.8,17286,90366,50274,994,752,359,384,289,20394,1762,25,32.0,1093,34.16,860,59,57,60,42,15,132,4.12,97,4,11,10,8,2,25,32.0,74,590,219,37.1,18.44,6.84,0.12,0.32,17.1,21,5,6,67.1,62.6,0.11,6.9,6.4,25,32.0,50,2,1,256,343,33,627,193,256,4,3,1,1491,286,263,52.1
Arsenal,2,32,22,5,5,75,26,49,71,2.22,62.9,22.2,40.7,1.27,W D W W L,60224,Bukayo Saka - 14,David Raya,,25,25.7,59.5,32,352,2880,32.0,71,50,121,62,9,9,51,2,62.9,56.1,44.3,100.3,701,1795,2.22,1.56,3.78,1.94,3.5,1.97,1.38,3.35,1.75,3.14,2,32,32,2880,32.0,26,0.81,71,45,64.8,22,5,5,14,43.8,2,1,1,0,50.0,2,32.0,26,1,0,6,1,21.4,0.28,-3.6,-0.11,120,366,32.8,907,164,33.8,33.3,162,36.4,31.9,304,40,13.2,52,1.63,14.6,25,32.0,502,286,211,201,90,231,445,51.9,214,358,90,268,230,732,432,15,25,59.5,32.0,22709,1648,5732,9858,7268,1208,22700,571,238,41.7,259,45.4,14162,69391,35462,701,478,262,448,312,16312,1780,25,32.0,957,29.91,745,71,47,54,27,13,124,3.87,80,15,8,9,12,0,25,32.0,71,526,169,32.1,16.44,5.28,0.12,0.37,15.9,5,9,9,62.9,56.1,0.11,8.1,5.9,25,32.0,51,2,1,324,332,72,582,230,286,8,2,1,1489,419,424,49.7
Liverpool,3,32,21,8,3,72,31,41,71,2.22,73.4,38.2,35.3,1.1,D W W D L,55498,Mohamed Salah - 17,Alisson,,29,27.1,61.0,32,352,2880,32.0,68,52,120,62,6,9,61,5,73.4,66.1,53.6,119.7,773,1736,2.12,1.62,3.75,1.94,3.56,2.3,1.67,3.97,2.07,3.74,2,32,32,2880,32.0,31,0.97,115,86,73.9,21,8,3,9,28.1,1,1,0,0,0.0,2,32.0,31,1,0,5,2,31.4,0.27,2.4,0.08,87,264,33.0,1178,160,17.8,24.9,196,27.6,28.9,316,17,5.4,39,1.22,16.9,29,32.0,564,350,224,239,101,286,644,44.4,358,407,91,316,245,809,507,13,29,61.0,32.0,24127,1862,6257,11511,6572,1163,24118,640,282,44.1,293,45.8,15030,78010,40782,773,603,243,493,350,16857,1720,29,32.0,1143,35.72,856,98,57,82,37,13,111,3.47,85,7,7,7,5,0,29,32.0,68,641,209,32.6,20.03,6.53,0.1,0.3,17.5,15,6,9,73.4,66.1,0.11,-5.4,-4.1,29,32.0,61,5,2,386,324,76,674,245,350,8,1,2,1726,506,375,57.4
Aston Villa,4,33,19,6,8,68,49,19,63,1.91,55.8,49.8,6.0,0.18,D W L D W,41950,Ollie Watkins - 19,Emiliano Martínez,,30,27.6,54.5,33,363,2970,33.0,65,48,113,61,4,4,84,2,55.8,52.8,41.5,94.3,704,1325,1.97,1.45,3.42,1.85,3.3,1.69,1.26,2.95,1.6,2.86,2,33,33,2970,33.0,49,1.48,139,93,64.7,19,6,8,8,24.2,0,0,0,0,,2,33.0,49,0,1,10,3,50.8,0.38,4.8,0.14,116,321,36.1,1185,150,21.7,27.5,207,30.9,29.3,366,41,11.2,67,2.03,18.1,30,33.0,484,278,234,187,63,235,482,48.8,247,344,93,251,217,701,523,10,30,54.5,33.0,20405,2392,6982,8655,4955,905,20401,669,307,45.9,276,41.3,12841,70325,36973,704,445,198,416,367,14039,1314,30,33.0,822,24.91,607,69,40,65,28,13,118,3.58,85,8,5,9,8,3,30,33.0,65,458,165,36.0,13.88,5.0,0.13,0.37,16.1,15,4,4,55.8,52.8,0.12,9.2,8.2,30,33.0,84,2,0,362,407,39,595,217,278,4,0,3,1437,293,326,47.3
Tottenham,5,32,18,6,8,65,49,16,60,1.88,55.5,52.9,2.6,0.08,L W D W L,61525,Son Heung-min - 15,Guglielmo Vicario,,28,25.9,61.5,32,352,2880,32.0,60,51,111,59,1,1,79,4,55.5,54.7,47.4,102.2,814,1758,1.87,1.59,3.47,1.84,3.44,1.73,1.48,3.22,1.71,3.19,1,32,32,2880,32.0,49,1.53,139,92,69.1,18,6,8,6,18.8,6,6,0,0,0.0,1,32.0,49,6,1,7,2,51.9,0.33,4.9,0.15,51,215,23.7,1117,169,16.7,24.9,221,13.1,20.5,461,29,6.3,64,2.0,16.6,28,32.0,623,390,298,219,106,316,603,52.4,287,382,114,268,303,926,630,20,28,61.5,32.0,24069,2375,7221,10360,6709,1122,24068,698,312,44.7,309,44.3,15183,78239,39544,814,522,295,473,303,17203,1751,28,32.0,887,27.72,684,52,54,52,25,20,106,3.31,83,7,6,4,2,4,28,32.0,60,489,174,35.6,15.28,5.44,0.12,0.34,16.5,9,1,1,55.5,54.7,0.11,4.5,4.3,28,32.0,79,4,2,352,436,73,579,303,390,1,6,2,1639,315,333,48.6
Newcastle Utd,6,32,15,5,12,69,52,17,50,1.56,61.4,54.1,7.3,0.23,L W D W W,52128,Alexander Isak - 17,Martin Dúbravka,,32,28.0,51.9,32,352,2880,32.0,68,44,112,61,7,7,64,1,61.4,55.9,40.5,96.4,598,1287,2.12,1.37,3.5,1.91,3.28,1.92,1.27,3.18,1.75,3.01,3,32,32,2880,32.0,52,1.62,162,110,70.4,15,5,12,10,31.3,5,4,1,0,20.0,3,32.0,52,4,1,4,1,53.5,0.31,2.5,0.08,82,255,32.2,676,203,19.5,36.3,232,53.0,40.3,380,25,6.6,45,1.41,19.5,32,32.0,551,322,265,218,68,243,576,42.2,333,414,122,292,236,787,590,14,32,51.9,32.0,20100,2087,6808,8562,4919,886,20093,602,290,48.2,238,39.5,11252,60896,30430,598,415,195,426,334,13389,1279,32,32.0,795,24.84,575,53,61,56,37,13,116,3.62,68,6,17,11,11,3,32,32.0,68,443,157,35.4,13.84,4.91,0.14,0.39,15.6,6,7,7,61.4,55.9,0.13,6.6,5.1,32,32.0,64,1,1,327,400,48,531,236,322,7,5,1,1544,389,352,52.5
Manchester Utd,7,32,15,5,12,47,48,-1,50,1.56,47.2,59.0,-11.7,-0.37,W D L D D,73522,Bruno Fernandes - 8,André Onana,,30,26.9,50.1,32,352,2880,32.0,47,30,77,42,5,6,75,1,47.2,42.5,33.2,75.7,621,1260,1.47,0.94,2.41,1.31,2.25,1.48,1.04,2.51,1.33,2.37,1,32,32,2880,32.0,48,1.5,168,121,75.0,15,5,12,8,25.0,6,6,0,0,0.0,1,32.0,48,6,1,9,1,49.7,0.27,2.7,0.08,130,439,29.6,977,117,36.3,31.5,284,29.6,26.6,527,35,6.6,30,0.94,13.0,30,32.0,565,341,278,198,89,288,605,47.6,317,464,178,286,265,830,770,9,30,50.1,32.0,20006,2509,6943,8079,5158,846,20000,585,256,43.8,260,44.4,11542,61978,32851,621,429,227,410,268,12881,1249,30,32.0,801,25.03,599,64,45,44,32,17,79,2.47,54,4,7,6,4,4,30,32.0,47,443,144,32.5,13.84,4.5,0.09,0.29,17.3,14,5,6,47.2,42.5,0.1,-0.2,-0.5,30,32.0,75,1,1,348,288,83,515,265,341,5,6,1,1594,369,392,48.5
West Ham,8,33,13,9,11,52,58,-6,48,1.45,46.0,60.7,-14.7,-0.45,D L D W L,62578,Jarrod Bowen - 15,Alphonse Areola,,25,29.0,41.7,33,363,2970,33.0,51,36,87,47,4,5,75,3,46.0,42.0,30.2,72.3,493,1092,1.55,1.09,2.64,1.42,2.52,1.39,0.92,2.31,1.27,2.19,2,33,33,2970,33.0,58,1.76,199,141,74.9,13,9,11,5,15.2,10,8,2,0,20.0,2,33.0,58,8,0,4,2,61.0,0.26,5.0,0.15,182,477,38.2,684,167,46.5,37.9,267,59.6,43.5,511,31,6.1,8,0.24,7.6,25,33.0,590,369,299,217,74,267,512,52.1,245,432,156,276,319,909,793,9,25,41.7,33.0,18355,2236,6247,8104,4195,664,18349,646,304,47.1,275,42.6,9794,53277,25587,493,329,148,451,330,10950,1077,25,33.0,686,20.79,461,77,49,38,40,21,91,2.76,60,9,8,7,4,3,25,33.0,51,390,125,32.1,11.82,3.79,0.12,0.38,16.2,14,4,5,46.0,42.0,0.11,5.0,5.0,25,33.0,75,3,3,342,344,63,599,319,369,4,10,2,1629,508,502,50.3
Chelsea,9,31,13,8,10,61,52,9,47,1.52,60.7,46.2,14.5,0.47,W D W D W,39553,Cole Palmer - 20,Robert Sánchez,,30,25.0,58.8,31,341,2790,31.0,60,39,99,49,11,12,94,3,60.7,51.3,40.5,91.8,711,1330,1.94,1.26,3.19,1.58,2.84,1.96,1.31,3.26,1.66,2.96,2,31,31,2790,31.0,52,1.68,156,104,68.6,13,8,10,6,19.4,5,3,1,1,25.0,2,31.0,52,3,0,7,1,45.2,0.27,-5.8,-0.19,110,300,36.7,934,163,23.4,28.7,221,36.7,31.6,417,30,7.2,44,1.42,15.1,30,31.0,541,311,265,195,81,264,511,51.7,247,373,133,240,246,787,613,20,30,58.8,31.0,22674,2416,7567,9894,5431,855,22662,696,311,44.7,300,43.1,13870,70235,36475,711,456,227,518,302,16228,1315,30,31.0,780,25.16,589,47,54,35,34,21,107,3.45,71,6,9,7,11,3,30,31.0,60,426,153,35.9,13.74,4.94,0.12,0.32,17.3,14,11,12,60.7,51.3,0.12,-0.7,-2.3,30,31.0,94,3,2,370,366,77,464,246,311,11,5,1,1529,366,327,52.8
Brighton,10,32,11,11,10,52,50,2,44,1.38,48.4,47.1,1.3,0.04,W L D L D,32915,João Pedro - 8,Bart Verbruggen,,29,26.7,61.3,32,352,2880,32.0,47,35,82,42,5,5,77,3,48.4,44.8,35.4,80.2,731,1577,1.47,1.09,2.56,1.31,2.41,1.51,1.11,2.62,1.4,2.51,2,32,32,2880,32.0,50,1.56,135,87,67.4,11,11,10,5,15.6,6,6,0,0,0.0,2,32.0,50,6,0,7,2,43.9,0.29,-4.1,-0.13,87,233,37.3,1098,158,19.9,27.2,223,6.3,12.4,334,22,6.6,49,1.53,19.8,29,32.0,525,303,238,207,80,249,547,45.5,298,369,117,252,247,772,504,19,29,61.3,32.0,25190,2730,7965,11503,5888,929,25185,618,253,40.9,283,45.8,16545,80495,42321,731,500,232,491,300,18747,1565,29,32.0,867,27.09,643,75,45,62,34,8,85,2.66,57,5,9,7,6,1,29,32.0,47,477,179,37.5,14.91,5.59,0.09,0.23,16.8,11,5,5,48.4,44.8,0.1,-1.4,-2.8,29,32.0,77,3,0,342,398,72,556,247,303,5,6,2,1520,364,298,55.0
